Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Bound/adjust/1,4.406910043131503e-8,4.404403938325074e-8,4.410640421625907e-8,1.0305467192994623e-10,7.123996088267633e-11,1.4033404593710717e-10
adjust/DeBruijn.Lazy.Bound/adjust/2,2.466990317554714e-7,2.465027740706955e-7,2.469883163516225e-7,7.593439961302382e-10,5.459753149979736e-10,1.021969796865194e-9
adjust/DeBruijn.Lazy.Bound/adjust/3,7.619261999285255e-7,7.59372787369436e-7,7.668383327923688e-7,1.1461841657386973e-8,7.555148946039596e-9,1.9959895590819855e-8
adjust/DeBruijn.Lazy.Bound/adjust/4,1.8977861914160063e-6,1.8948251801068283e-6,1.9016348156329845e-6,1.1401517105002434e-8,9.423369065358405e-9,1.6799777771846832e-8
adjust/DeBruijn.Lazy.Bound/adjust/5,3.858387139624799e-6,3.8552796139920185e-6,3.862751353189875e-6,1.279164827874498e-8,9.915183563894978e-9,1.7758911008895092e-8
adjust/DeBruijn.Lazy.Bound/adjust/6,7.112367768025373e-6,7.100937095024635e-6,7.126878406401711e-6,4.4031560410976e-8,3.392007388427849e-8,5.953911587101615e-8
adjust/DeBruijn.Lazy.Bound/adjust/7,1.194261395094316e-5,1.1932408060404047e-5,1.1961802518666038e-5,4.3331204505882995e-8,3.244612339244182e-8,6.773607642117353e-8
adjust/DeBruijn.Lazy.Bound/adjust/8,1.8763970812507827e-5,1.8748321756039974e-5,1.8784121437608465e-5,5.8043730703253274e-8,4.421154969902725e-8,9.00942059981303e-8
adjust/DeBruijn.Lazy.Bound/adjust/9,2.750264797861071e-5,2.747379503351674e-5,2.7544690076188998e-5,1.1702909105267545e-7,9.112329018132573e-8,1.7010759662584728e-7
adjust/DeBruijn.Lazy.Bound/adjust/10,4.0241167816828796e-5,4.019331500996351e-5,4.03038571768922e-5,1.8807406175989145e-7,1.502410568707859e-7,2.3919648557438647e-7
adjust/DeBruijn.Lazy.Bound/adjust/11,5.5144131167482386e-5,5.5091443975295836e-5,5.5212495157369235e-5,2.019700205882577e-7,1.5644450075027747e-7,2.500678453688451e-7
adjust/DeBruijn.Lazy.Bound/adjust/12,7.53949328578074e-5,7.533727448578526e-5,7.54683554705502e-5,2.19492403212767e-7,1.7220437089173748e-7,2.7588210303057287e-7
adjust/DeBruijn.Lazy.Bound/adjust/13,9.952988561698094e-5,9.945978611500414e-5,9.966741561171871e-5,3.1295883084380227e-7,2.2183472672063862e-7,4.7032659783370435e-7
adjust/DeBruijn.Lazy.Bound/adjust/14,1.2907573694086983e-4,1.2895778898371597e-4,1.2929460390394328e-4,5.394707688657204e-7,4.1181778243794964e-7,7.550212655946748e-7
adjust/DeBruijn.Lazy.Bound/adjust/15,1.6601433143921125e-4,1.6568603027034158e-4,1.6638028716755253e-4,1.2508811101407646e-6,1.0497294089976657e-6,1.5710476375847934e-6
adjust/DeBruijn.Lazy.Bound/adjust/16,2.0751660159932676e-4,2.0735702709214203e-4,2.0774258240005154e-4,6.567483416781571e-7,4.655463781316815e-7,1.1458815773337027e-6
adjust/DeBruijn.Lazy.Bound/adjust/17,2.606904864152499e-4,2.6025778640022707e-4,2.611353464599766e-4,1.4796512350098466e-6,1.2760036208502889e-6,1.694394805006389e-6
