Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.CPDT/adjust/1,2.339445699784131e-8,2.33713552349107e-8,2.342658793772914e-8,8.885876462993047e-11,6.75940858621762e-11,1.1068016444263925e-10
adjust/DeBruijn.Lazy.CPDT/adjust/2,1.0925565078610344e-7,1.091799271303264e-7,1.0939824326354525e-7,3.428039517376853e-10,1.632506095897448e-10,5.477144352071613e-10
adjust/DeBruijn.Lazy.CPDT/adjust/3,2.8416882088242314e-7,2.840200106820611e-7,2.8435755314113073e-7,5.89476874875464e-10,4.231968994220376e-10,7.67374162413655e-10
adjust/DeBruijn.Lazy.CPDT/adjust/4,5.461238994159541e-7,5.453173508306075e-7,5.482054824433694e-7,4.087212191866225e-9,2.197085934755355e-9,7.953432883489362e-9
adjust/DeBruijn.Lazy.CPDT/adjust/5,9.200903373417249e-7,9.194201935147598e-7,9.208818846292423e-7,2.478018248976398e-9,1.8134824103503213e-9,3.3873405022848058e-9
adjust/DeBruijn.Lazy.CPDT/adjust/6,1.3856252888815152e-6,1.384259012738136e-6,1.3903265491690776e-6,7.246168464904152e-9,2.727378683225802e-9,1.4323203565746653e-8
adjust/DeBruijn.Lazy.CPDT/adjust/7,1.977862048667206e-6,1.9767639024574965e-6,1.9794221740702163e-6,4.24353564435285e-9,3.194565163231133e-9,5.437403449725245e-9
adjust/DeBruijn.Lazy.CPDT/adjust/8,2.799526473091494e-6,2.7955561195718566e-6,2.8036804820171525e-6,1.3886785550711795e-8,1.1824206256961573e-8,1.7340831433155204e-8
adjust/DeBruijn.Lazy.CPDT/adjust/9,3.7469970661382743e-6,3.742844311263698e-6,3.7514195561744507e-6,1.4507485822448896e-8,1.1834191048041631e-8,1.8701764831365874e-8
adjust/DeBruijn.Lazy.CPDT/adjust/10,4.879492687266161e-6,4.876658432712827e-6,4.883098485926071e-6,1.1148755494332087e-8,8.187556099400222e-9,1.5097389662447257e-8
adjust/DeBruijn.Lazy.CPDT/adjust/11,6.327631027500277e-6,6.324807020352572e-6,6.331557386749112e-6,1.12906735135759e-8,8.157665352810645e-9,1.8627754603683737e-8
adjust/DeBruijn.Lazy.CPDT/adjust/12,7.862081384243847e-6,7.857524435709267e-6,7.867883849730762e-6,1.663914313001149e-8,1.2674204730454802e-8,2.177113203144366e-8
adjust/DeBruijn.Lazy.CPDT/adjust/13,9.703450707372731e-6,9.696301759624133e-6,9.720089134017082e-6,3.343516749129173e-8,1.9035225213679027e-8,6.021767359230699e-8
