Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Cornell/adjust/1,2.9681817070207542e-8,2.9666018679773032e-8,2.9704085194788262e-8,6.20362870701695e-11,4.6278672940847006e-11,7.92290593778523e-11
adjust/DeBruijn.Lazy.Cornell/adjust/2,1.4734973357208906e-7,1.4724027952186538e-7,1.4747174496139694e-7,3.983789201425091e-10,3.31492837862015e-10,5.247258973958934e-10
adjust/DeBruijn.Lazy.Cornell/adjust/3,3.8022846746521713e-7,3.7973935842910015e-7,3.8082563456183187e-7,1.7291273239836994e-9,1.4168077343186138e-9,2.135151561171463e-9
adjust/DeBruijn.Lazy.Cornell/adjust/4,6.696739951697178e-7,6.690445631557077e-7,6.704955240370464e-7,2.3186962206226457e-9,1.9232752640326204e-9,2.829575787436475e-9
adjust/DeBruijn.Lazy.Cornell/adjust/5,1.056755204285019e-6,1.0560362952331898e-6,1.057953160449788e-6,3.104137246492126e-9,2.2325989859086536e-9,4.283634362862971e-9
adjust/DeBruijn.Lazy.Cornell/adjust/6,1.5291956816113098e-6,1.5274326529551097e-6,1.5318586585537466e-6,7.081724217890614e-9,5.524687850467902e-9,8.63132162571091e-9
adjust/DeBruijn.Lazy.Cornell/adjust/7,2.110383656253538e-6,2.1087244463749952e-6,2.112653834488742e-6,6.172481038356752e-9,4.363249458852532e-9,8.796428301969531e-9
adjust/DeBruijn.Lazy.Cornell/adjust/8,2.8233765572092984e-6,2.819410010306612e-6,2.827884183193126e-6,1.4696209717269285e-8,1.2703695063777461e-8,1.9392487108620457e-8
adjust/DeBruijn.Lazy.Cornell/adjust/9,3.799040466487202e-6,3.793953068985291e-6,3.8127853768989955e-6,2.8060370416568828e-8,1.1073781104126594e-8,5.536367487378197e-8
adjust/DeBruijn.Lazy.Cornell/adjust/10,4.857615144267723e-6,4.848742621434636e-6,4.875751605620212e-6,4.014644247156265e-8,2.3110386276779514e-8,6.94179271094348e-8
adjust/DeBruijn.Lazy.Cornell/adjust/11,6.046526091080721e-6,6.041971217044239e-6,6.051770838144827e-6,1.5815171425867332e-8,1.2680499827563624e-8,2.0343059219844567e-8
adjust/DeBruijn.Lazy.Cornell/adjust/12,7.405161380106278e-6,7.398733310101705e-6,7.413463881036933e-6,2.398002991067871e-8,1.7518234922991166e-8,3.056843093364896e-8
adjust/DeBruijn.Lazy.Cornell/adjust/13,8.904623282949781e-6,8.893647315048596e-6,8.92286284651854e-6,4.887524423671816e-8,3.4098119710561355e-8,6.940088859301565e-8
adjust/DeBruijn.Lazy.Cornell/adjust/14,1.0631838480308496e-5,1.0623726188384533e-5,1.0641980450692006e-5,3.065195513351071e-8,2.344119737591152e-8,3.8259519301148756e-8
adjust/DeBruijn.Lazy.Cornell/adjust/15,1.250636007107792e-5,1.2499836657927526e-5,1.2516221392011327e-5,2.7511680053751214e-8,2.0533490256262933e-8,3.809667007745192e-8
