Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lift/adjust/1,2.36412938439065e-8,2.3607718845130963e-8,2.3687092854147093e-8,1.4037627336576275e-10,1.0534112825761182e-10,1.9570336661301026e-10
adjust/DeBruijn.Lazy.Lift/adjust/2,1.1399210036568687e-7,1.1266388549060544e-7,1.1542549030831951e-7,4.678879626847876e-9,3.73604380295255e-9,5.564682471448324e-9
adjust/DeBruijn.Lazy.Lift/adjust/3,2.691116850008229e-7,2.6674768400210413e-7,2.7144280481050567e-7,7.924547547728733e-9,7.219438121841681e-9,8.643689534314077e-9
adjust/DeBruijn.Lazy.Lift/adjust/4,5.159568614441825e-7,5.119132586287812e-7,5.196411746655929e-7,1.2654156695414348e-8,9.967903438483156e-9,1.6135740886299002e-8
adjust/DeBruijn.Lazy.Lift/adjust/5,8.91514649536712e-7,8.875090573273914e-7,8.962894849117976e-7,1.466061823304848e-8,1.1941941718821211e-8,1.9017447163222466e-8
adjust/DeBruijn.Lazy.Lift/adjust/6,1.3247013366945244e-6,1.3168419256903314e-6,1.3314272223864693e-6,2.4431217287727664e-8,2.07027484357196e-8,3.268156131286882e-8
adjust/DeBruijn.Lazy.Lift/adjust/7,1.6009438986513067e-6,1.5968797091880944e-6,1.6048163167912569e-6,1.2978240328579943e-8,1.079327332702538e-8,1.694451569669796e-8
adjust/DeBruijn.Lazy.Lift/adjust/8,2.4131251839928126e-6,2.402660801547894e-6,2.4224519228835887e-6,3.2424255858468234e-8,2.7419450089640805e-8,3.914224561008478e-8
adjust/DeBruijn.Lazy.Lift/adjust/9,3.2767649027295534e-6,3.2552280859319085e-6,3.3053114533260525e-6,7.909958653549437e-8,5.8263443658204034e-8,1.3979262356848076e-7
adjust/DeBruijn.Lazy.Lift/adjust/10,4.175470035041683e-6,4.151554110221305e-6,4.200314265593886e-6,8.356037164751539e-8,6.5453785980223e-8,1.1265542433852586e-7
adjust/DeBruijn.Lazy.Lift/adjust/11,5.255416265675967e-6,5.232266276233807e-6,5.273755535525986e-6,6.811435585751023e-8,5.698131794896006e-8,8.785163811334539e-8
adjust/DeBruijn.Lazy.Lift/adjust/12,6.341897965839674e-6,6.319057143051635e-6,6.362660897874704e-6,7.326440918984425e-8,6.128919413171892e-8,9.297157198269945e-8
adjust/DeBruijn.Lazy.Lift/adjust/13,7.83703418295344e-6,7.80033795955848e-6,7.867819793611587e-6,1.1497407677970936e-7,9.177268808506916e-8,1.6839919472237038e-7
adjust/DeBruijn.Lazy.Lift/adjust/14,9.337926854769912e-6,9.296959533853098e-6,9.37431534967633e-6,1.3238394987744186e-7,1.1163749241196364e-7,1.6680602667778174e-7
adjust/DeBruijn.Lazy.Lift/adjust/15,1.1066415781198484e-5,1.1026194324527213e-5,1.1096813352420252e-5,1.191900325671715e-7,9.670448856378424e-8,1.5936363660334038e-7
adjust/DeBruijn.Lazy.Lift/adjust/16,1.2220919471816051e-5,1.207201976820789e-5,1.2399675117170672e-5,5.701608945047297e-7,4.901413908977759e-7,6.694247188468863e-7
