Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.List/adjust/1,3.571208331668743e-8,3.545688914871232e-8,3.6136139242387836e-8,1.0692419932334119e-9,7.698838656327412e-10,1.3979041588161087e-9
adjust/DeBruijn.Lazy.List/adjust/2,1.44749480557195e-7,1.427815319804137e-7,1.4725626637036602e-7,7.339412877989711e-9,5.6842495322943635e-9,9.285423255705798e-9
adjust/DeBruijn.Lazy.List/adjust/3,3.4773794879539436e-7,3.450456596911262e-7,3.503711216489609e-7,9.431115689991835e-9,8.188712648344062e-9,1.078532907864247e-8
adjust/DeBruijn.Lazy.List/adjust/4,5.856037657278823e-7,5.765895324054054e-7,5.951382422742353e-7,3.289615225255524e-8,2.8696495823088113e-8,3.8056314409858366e-8
adjust/DeBruijn.Lazy.List/adjust/5,8.57621524037633e-7,8.527183045196971e-7,8.655197416360795e-7,2.0402993709274177e-8,1.1595619766941134e-8,2.9417576885193306e-8
adjust/DeBruijn.Lazy.List/adjust/6,1.2068225176117427e-6,1.2046363674400414e-6,1.211110476032865e-6,1.0141821835308325e-8,6.3154065874441274e-9,1.522147297533672e-8
adjust/DeBruijn.Lazy.List/adjust/7,1.656009664718672e-6,1.6549683808744005e-6,1.6572969869172275e-6,3.694146872344321e-9,2.992613973806114e-9,5.585846395255004e-9
adjust/DeBruijn.Lazy.List/adjust/8,2.248784384651631e-6,2.2473312693605128e-6,2.2510155886989745e-6,6.147755236424037e-9,3.6384207975379397e-9,9.91767591021015e-9
adjust/DeBruijn.Lazy.List/adjust/9,3.0422155943993e-6,3.0405992748002164e-6,3.044921120173604e-6,6.818648029830682e-9,4.6016446108025525e-9,9.341738129049269e-9
adjust/DeBruijn.Lazy.List/adjust/10,3.9722561841287875e-6,3.969664247658435e-6,3.975935809374219e-6,1.0555034779433453e-8,7.437909743326268e-9,1.4522648348069096e-8
adjust/DeBruijn.Lazy.List/adjust/11,5.397434765891724e-6,5.2978766308231185e-6,5.5158037942158585e-6,3.6013249248975056e-7,3.2301763847371297e-7,3.7836567758754923e-7
adjust/DeBruijn.Lazy.List/adjust/12,7.2940040928287396e-6,7.262099561359271e-6,7.321887543913823e-6,1.0173640094116864e-7,8.46185067977106e-8,1.2345271262261464e-7
adjust/DeBruijn.Lazy.List/adjust/13,8.804709151293263e-6,8.781017582650042e-6,8.827184280207857e-6,8.285622513809567e-8,6.962701620937455e-8,1.1378940782457126e-7
adjust/DeBruijn.Lazy.List/adjust/14,1.0363298026382992e-5,1.0329748853861583e-5,1.0394712390592342e-5,1.0313969278130244e-7,8.532399852233443e-8,1.3193709606121566e-7
adjust/DeBruijn.Lazy.List/adjust/15,1.2319596375209862e-5,1.2282736329069281e-5,1.2354350092270805e-5,1.1957899389041614e-7,9.816115250583441e-8,1.525945935058911e-7
adjust/DeBruijn.Lazy.List/adjust/16,1.446293919973671e-5,1.4415277108345671e-5,1.4505804608613808e-5,1.5040184519179147e-7,1.2986130579154032e-7,1.7848234427784939e-7
adjust/DeBruijn.Lazy.List/adjust/17,1.6646863854003402e-5,1.6580116341724514e-5,1.670466589768806e-5,2.174608315564941e-7,1.762406194909505e-7,2.9186027215684176e-7
adjust/DeBruijn.Lazy.List/adjust/18,1.9246888794682283e-5,1.9180965566614778e-5,1.9315196949516866e-5,2.2650887874263205e-7,1.8744361692959905e-7,3.034468400550922e-7
adjust/DeBruijn.Lazy.List/adjust/19,2.1543618352195135e-5,2.148522474253942e-5,2.1601606231038604e-5,1.940302209701045e-7,1.5975424967762738e-7,2.435433865584227e-7
adjust/DeBruijn.Lazy.List/adjust/20,2.452930618047637e-5,2.4468429185814008e-5,2.4584752060325806e-5,1.9826539093311836e-7,1.634601121618852e-7,2.489005757639751e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.List/adjust/1,3.4812551821091545e-8,3.4794164608172945e-8,3.4878132782622695e-8,9.51752491510463e-11,3.573528818525747e-11,2.0273353195761713e-10
adjust/DeBruijn.Lazy.List/adjust/2,1.4032404936857318e-7,1.40246768352183e-7,1.4039532465640688e-7,2.3612174386887024e-10,1.943668987156625e-10,2.9975699158638837e-10
adjust/DeBruijn.Lazy.List/adjust/3,3.009463863439596e-7,3.0073538357722867e-7,3.012312657934102e-7,8.485551882093117e-10,6.543853318127811e-10,1.1186323213201318e-9
adjust/DeBruijn.Lazy.List/adjust/4,5.373363333462212e-7,5.369041474650326e-7,5.380406759571212e-7,1.8298592736036576e-9,1.2243638992512927e-9,3.1161781614278196e-9
adjust/DeBruijn.Lazy.List/adjust/5,8.398453410846318e-7,8.395399468732049e-7,8.402573317042683e-7,1.186998130302461e-9,9.699316674815921e-10,1.5246545944019943e-9
adjust/DeBruijn.Lazy.List/adjust/6,1.2005217110448473e-6,1.199943341282529e-6,1.2011984271057406e-6,2.0893118817348854e-9,1.6375313903192005e-9,2.792304169700047e-9
adjust/DeBruijn.Lazy.List/adjust/7,1.6385601200570138e-6,1.6376874536738712e-6,1.639715471398792e-6,3.2236827277772203e-9,2.546304651809838e-9,4.0327416836015315e-9
