Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Nested/adjust/1,3.0353418705890313e-8,3.033470984651588e-8,3.0391275598230435e-8,8.413127922274727e-11,5.4926579875849025e-11,1.5172389280991685e-10
adjust/DeBruijn.Lazy.Nested/adjust/2,1.5422840561620843e-7,1.5411947273065358e-7,1.5436162172152177e-7,4.1178783146392205e-10,3.282765788300413e-10,4.867298807569383e-10
adjust/DeBruijn.Lazy.Nested/adjust/3,4.488861875608434e-7,4.486213902479774e-7,4.4928136981746964e-7,1.0609108419585402e-9,8.054734348610836e-10,1.3610928512541303e-9
adjust/DeBruijn.Lazy.Nested/adjust/4,9.20573504442151e-7,9.196788476875137e-7,9.216702510619091e-7,3.38653360599404e-9,2.6586053788886885e-9,4.547969684348357e-9
adjust/DeBruijn.Lazy.Nested/adjust/5,1.7213831306929756e-6,1.7188608769601556e-6,1.7244912605207616e-6,9.375268620528129e-9,7.701334673437209e-9,1.1763976480216521e-8
adjust/DeBruijn.Lazy.Nested/adjust/6,2.966323580428328e-6,2.9624582406928723e-6,2.973173157440271e-6,1.7378091437202003e-8,1.1740585873821531e-8,2.6636602371099442e-8
adjust/DeBruijn.Lazy.Nested/adjust/7,4.699715062391639e-6,4.695349638102645e-6,4.7056407011919e-6,1.6773342798318253e-8,1.2510860453588809e-8,2.3553061351009403e-8
adjust/DeBruijn.Lazy.Nested/adjust/8,7.0058549273838506e-6,6.9964025885411415e-6,7.026596094800151e-6,4.2805028532123674e-8,2.2308421733285226e-8,7.719474107080498e-8
adjust/DeBruijn.Lazy.Nested/adjust/9,1.004665479369705e-5,1.00378291275208e-5,1.0058107278748018e-5,3.286315756120648e-8,2.5845994343978617e-8,4.4802411183919184e-8
adjust/DeBruijn.Lazy.Nested/adjust/10,1.353816734247853e-5,1.352861666811588e-5,1.3551411564594706e-5,3.826951251923421e-8,3.074143549339255e-8,5.259235411813683e-8
