Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.B/adjust/1,6.835354522671398e-8,6.833565250390954e-8,6.8375754059901e-8,6.570049374362858e-11,5.317343413171385e-11,8.28425484590624e-11
adjust/DeBruijn.Lazy.Par.B/adjust/2,1.729292247620985e-7,1.7285144454822234e-7,1.731124306520819e-7,3.789160527422616e-10,1.8183983804550593e-10,6.743798682855583e-10
adjust/DeBruijn.Lazy.Par.B/adjust/3,3.9720752503381754e-7,3.969189654132683e-7,3.9763296354765354e-7,1.1777080649065505e-9,8.324647316308943e-10,1.898237197694128e-9
adjust/DeBruijn.Lazy.Par.B/adjust/4,7.784609099200304e-7,7.773888022046732e-7,7.796382368532161e-7,3.7246712932988474e-9,3.4069470859069372e-9,4.007508721413027e-9
adjust/DeBruijn.Lazy.Par.B/adjust/5,1.4000499643097772e-6,1.3992803080716948e-6,1.4009392646501036e-6,2.684955205968944e-9,2.1548007593610995e-9,3.6331193543299213e-9
adjust/DeBruijn.Lazy.Par.B/adjust/6,2.31991017369023e-6,2.318576323660099e-6,2.3214940979107453e-6,5.083172743061538e-9,3.959296625702495e-9,6.692186954450522e-9
adjust/DeBruijn.Lazy.Par.B/adjust/7,3.6045533581912077e-6,3.5994041587260396e-6,3.6114123779264594e-6,1.9621256922331512e-8,1.4765794643610205e-8,2.8981454577432183e-8
adjust/DeBruijn.Lazy.Par.B/adjust/8,5.2340880395925105e-6,5.229193661037968e-6,5.240015247646443e-6,1.7025839446089274e-8,1.4408991563743288e-8,2.017932180865138e-8
adjust/DeBruijn.Lazy.Par.B/adjust/9,7.478580964966767e-6,7.4758163718064286e-6,7.482423873606859e-6,1.0925239348919032e-8,7.682711635054368e-9,1.541374387422564e-8
adjust/DeBruijn.Lazy.Par.B/adjust/10,1.0066815927942887e-5,1.0061609807901577e-5,1.0072026048391469e-5,1.734219488125463e-8,1.4050205402552277e-8,2.262499361234346e-8
adjust/DeBruijn.Lazy.Par.B/adjust/11,1.3210022066741816e-5,1.317823567872575e-5,1.328426400783405e-5,1.4915144967573369e-7,9.333498084418103e-8,2.183813575287305e-7
adjust/DeBruijn.Lazy.Par.B/adjust/12,1.6933720668733164e-5,1.692537581097173e-5,1.6946972176125284e-5,3.3402174583694294e-8,2.38957582752503e-8,4.7866066280301745e-8
adjust/DeBruijn.Lazy.Par.B/adjust/13,2.125070692037331e-5,2.1241760724317556e-5,2.1267162200104478e-5,3.927342315253228e-8,2.2016174944156378e-8,6.133270944655161e-8
adjust/DeBruijn.Lazy.Par.B/adjust/14,2.624009156817234e-5,2.6223574618669937e-5,2.6267154564161205e-5,6.692721365239528e-8,4.779379553837966e-8,1.0143061840861967e-7
adjust/DeBruijn.Lazy.Par.B/adjust/15,3.2240594702769014e-5,3.220927537293881e-5,3.230029044752572e-5,1.4876481752939905e-7,7.366734787747163e-8,2.68613229812848e-7
adjust/DeBruijn.Lazy.Par.B/adjust/16,3.882914055612291e-5,3.8812371833413364e-5,3.88560781091736e-5,6.938869029618594e-8,4.6917566410255264e-8,1.0563456526807405e-7
adjust/DeBruijn.Lazy.Par.B/adjust/17,4.606177040769721e-5,4.6038738416596656e-5,4.6098239459012e-5,9.553828744118079e-8,6.616428918641077e-8,1.50440576272915e-7
adjust/DeBruijn.Lazy.Par.B/adjust/18,5.5255036438958715e-5,5.523339960689025e-5,5.5284707733290255e-5,8.205411487592084e-8,6.193128152824831e-8,1.174012852713119e-7
adjust/DeBruijn.Lazy.Par.B/adjust/19,6.494096608052993e-5,6.490803164654478e-5,6.499404035468797e-5,1.3774880742452803e-7,1.0053991312269323e-7,2.0941857987814437e-7
adjust/DeBruijn.Lazy.Par.B/adjust/20,7.576730766886193e-5,7.574450708568354e-5,7.580507736744924e-5,1.0041094095488308e-7,7.119962966371706e-8,1.6058295765049804e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.B/adjust/1,6.935244279965106e-8,6.924837739344285e-8,6.949651858012007e-8,4.1238542593683405e-10,3.34866713287223e-10,5.15398547831648e-10
adjust/DeBruijn.Lazy.Par.B/adjust/2,1.803782017657478e-7,1.7997878313361014e-7,1.812005676098991e-7,1.7683986968115037e-9,1.116125153154538e-9,3.4239759384683375e-9
adjust/DeBruijn.Lazy.Par.B/adjust/3,3.945231429275984e-7,3.940101356075354e-7,3.958824106763546e-7,2.7089398238819834e-9,1.1184242543183661e-9,5.283297845709318e-9
adjust/DeBruijn.Lazy.Par.B/adjust/4,7.779849598061319e-7,7.766688414453959e-7,7.799576239398369e-7,5.19859315168061e-9,3.5799816474244094e-9,8.299408739002355e-9
adjust/DeBruijn.Lazy.Par.B/adjust/5,1.4463301940909382e-6,1.4439626751099248e-6,1.4489813810855295e-6,8.369793823383192e-9,6.78753200092375e-9,1.040561774056896e-8
adjust/DeBruijn.Lazy.Par.B/adjust/6,2.345873113255941e-6,2.341686738846836e-6,2.350308378844471e-6,1.4863199813368908e-8,1.2351405568938674e-8,1.8426990282330653e-8
adjust/DeBruijn.Lazy.Par.B/adjust/7,3.636188356705618e-6,3.628452726369341e-6,3.6550565367754754e-6,3.776546205366381e-8,2.174941196536834e-8,7.208997305086518e-8
adjust/DeBruijn.Lazy.Par.B/adjust/8,5.295476643368578e-6,5.282774503616061e-6,5.313484189649958e-6,5.106868005170627e-8,4.044343062134039e-8,6.686152988820499e-8
adjust/DeBruijn.Lazy.Par.B/adjust/9,7.50816244576451e-6,7.499961727327793e-6,7.522346616081272e-6,3.562955293216936e-8,2.0546699876120206e-8,6.039824226030101e-8
adjust/DeBruijn.Lazy.Par.B/adjust/10,1.021989895415986e-5,1.0195958454054524e-5,1.0247512117846848e-5,8.774398516142957e-8,6.619671110110681e-8,1.235233480937633e-7
adjust/DeBruijn.Lazy.Par.B/adjust/11,1.33720903373735e-5,1.3353903511834547e-5,1.3396069144190458e-5,6.622111829834977e-8,5.2421820387367695e-8,8.869724944698271e-8
adjust/DeBruijn.Lazy.Par.B/adjust/12,1.7233100708849706e-5,1.7210349994360933e-5,1.7259411506576087e-5,7.738773492171312e-8,6.143064677438551e-8,1.0127110019195289e-7
adjust/DeBruijn.Lazy.Par.B/adjust/13,2.1895032147052377e-5,2.1850864271862322e-5,2.196307363190406e-5,1.8075337981591351e-7,1.3200615333192182e-7,2.580103783197125e-7
adjust/DeBruijn.Lazy.Par.B/adjust/14,2.707028720933172e-5,2.695620228336519e-5,2.729191246395899e-5,4.994395852141604e-7,2.6163040294087263e-7,8.17341278215398e-7
adjust/DeBruijn.Lazy.Par.B/adjust/15,3.289633041507419e-5,3.2865795925924484e-5,3.2951156091836935e-5,1.3471240631405045e-7,8.459259997150204e-8,2.235248962368021e-7
adjust/DeBruijn.Lazy.Par.B/adjust/16,3.998016145116411e-5,3.989816043266215e-5,4.017076342560551e-5,4.174341388127105e-7,2.2058924717967333e-7,7.259012957809375e-7
adjust/DeBruijn.Lazy.Par.B/adjust/17,4.7097909251679306e-5,4.702543711349518e-5,4.72129991595622e-5,3.0841092754127133e-7,2.1806474493896317e-7,4.625893856637567e-7
adjust/DeBruijn.Lazy.Par.B/adjust/18,5.681370097365946e-5,5.6705572193961226e-5,5.6980866280789635e-5,4.3412399493481686e-7,3.194115819988243e-7,6.132698506897451e-7
adjust/DeBruijn.Lazy.Par.B/adjust/19,6.793127966638572e-5,6.764114419856299e-5,6.824892487309135e-5,9.809569161179783e-7,8.302883790184831e-7,1.324096456074643e-6
adjust/DeBruijn.Lazy.Par.B/adjust/20,7.887003915460466e-5,7.848130731834313e-5,7.939330457173628e-5,1.5087437377159408e-6,1.043127873744054e-6,2.2311373098445916e-6
