Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.FB/adjust/1,5.3342116118212765e-8,5.3305215475934994e-8,5.3418913072619786e-8,1.6284434675176383e-10,8.270265549177606e-11,2.994048799704598e-10
adjust/DeBruijn.Lazy.Par.FB/adjust/2,1.6656849585041582e-7,1.6643910490560306e-7,1.6688181747167903e-7,6.537967599373754e-10,3.368211877854359e-10,1.2203187836153611e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/3,4.0213952648677e-7,4.018400107100427e-7,4.025555299398844e-7,1.1978269559570967e-9,8.65490987202962e-10,1.5509513535468778e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/4,7.835444201236561e-7,7.826714847295495e-7,7.850654404339568e-7,3.8825170858938804e-9,2.9250822021576525e-9,6.164839097652132e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/5,1.3986663537275967e-6,1.3976228724919825e-6,1.4004172605175533e-6,4.5384012676610815e-9,3.0115958279637713e-9,7.391905409748109e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/6,2.3386894181393705e-6,2.336920746377457e-6,2.3412069866284958e-6,7.425682286511041e-9,5.605517063445538e-9,9.798060136602989e-9
adjust/DeBruijn.Lazy.Par.FB/adjust/7,3.616031039391337e-6,3.6120558607103084e-6,3.6231128515385412e-6,1.654959345728548e-8,1.1412199856132538e-8,2.4005906134133226e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/8,5.244802110274917e-6,5.241743176715538e-6,5.2492443199761504e-6,1.240019624580138e-8,8.696247105123742e-9,1.7816606905871677e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/9,7.244720215524672e-6,7.237535486293556e-6,7.258848390504294e-6,3.37549443563881e-8,2.287236889452442e-8,5.7713387979139114e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/10,1.0063878059531412e-5,1.0056543403337113e-5,1.0072841717088772e-5,2.7021791915888932e-8,2.0078815919623622e-8,3.529562287332335e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/11,1.3169345009642146e-5,1.3133259382031327e-5,1.3301333777931918e-5,2.1494572008539708e-7,3.579749100677094e-8,4.507805021353527e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/12,1.647504054118273e-5,1.6466431037400845e-5,1.648952534766718e-5,3.7050801312277706e-8,2.6787625853606867e-8,5.171910939055595e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/13,2.1127251897514484e-5,2.111099790622656e-5,2.115088644384837e-5,6.573841392669702e-8,4.877311866528763e-8,8.448976515341214e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/14,2.623404000909958e-5,2.6220152562631114e-5,2.6253244721642623e-5,5.511331750917126e-8,4.477077604661103e-8,7.304258673693131e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/15,3.205326343583348e-5,3.203679031930366e-5,3.208215650861991e-5,6.83289822841311e-8,5.115361504108564e-8,8.884566635751357e-8
adjust/DeBruijn.Lazy.Par.FB/adjust/16,3.871810149739902e-5,3.8691410633658505e-5,3.875842020872527e-5,1.0682312071531377e-7,7.762882418167811e-8,1.5369513039215007e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/17,4.662614905458493e-5,4.658862853405981e-5,4.667626947587358e-5,1.4491189546373964e-7,1.1419153193547343e-7,2.0276444958696875e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/18,5.5035544493190726e-5,5.499989015129717e-5,5.507462979753346e-5,1.241554376837929e-7,9.517715617294626e-8,1.575101588915204e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/19,6.43855671421487e-5,6.427720769598706e-5,6.4529481311282e-5,4.118039872178512e-7,2.82168214377128e-7,5.279757719848012e-7
adjust/DeBruijn.Lazy.Par.FB/adjust/20,7.55435041763006e-5,7.530535859713392e-5,7.579616267809826e-5,8.384016974042588e-7,7.664710506562269e-7,9.13421639193925e-7
