Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.L/adjust/1,2.8732298400626644e-8,2.8717952385595987e-8,2.8751583552530452e-8,5.3936712036394925e-11,3.8218657207977387e-11,6.958194041527785e-11
adjust/DeBruijn.Lazy.Par.L/adjust/2,1.2156747830085597e-7,1.2150490456401788e-7,1.216482194825936e-7,2.338736021363995e-10,1.7550783381217463e-10,3.259550770367134e-10
adjust/DeBruijn.Lazy.Par.L/adjust/3,3.000450947569737e-7,2.999164782050118e-7,3.0019400353085493e-7,4.477628898202464e-10,3.5096775192053387e-10,6.25972726278766e-10
adjust/DeBruijn.Lazy.Par.L/adjust/4,5.600700628675672e-7,5.597900208249776e-7,5.605517365000205e-7,1.2274796508142936e-9,7.549855608596807e-10,2.099342168964444e-9
adjust/DeBruijn.Lazy.Par.L/adjust/5,9.70741664254976e-7,9.701683838534785e-7,9.716666089004989e-7,2.397724165015264e-9,1.6172791452463561e-9,3.977933380514655e-9
adjust/DeBruijn.Lazy.Par.L/adjust/6,1.4329367065709877e-6,1.431836470707057e-6,1.4349095801627341e-6,4.820182668449036e-9,3.2356030971797976e-9,7.4161203946135855e-9
adjust/DeBruijn.Lazy.Par.L/adjust/7,2.028405613704117e-6,2.0265524028634634e-6,2.0316960199308994e-6,8.469456477793942e-9,5.793027545440928e-9,1.3800621987947094e-8
adjust/DeBruijn.Lazy.Par.L/adjust/8,2.8120247521082626e-6,2.809470696344825e-6,2.8153158973016343e-6,8.881525070078945e-9,7.1565230057122266e-9,1.2031612926205006e-8
adjust/DeBruijn.Lazy.Par.L/adjust/9,3.7412683344063096e-6,3.737320729636364e-6,3.7472407640527777e-6,1.5714245572347683e-8,1.1230174590380778e-8,2.635638792048988e-8
adjust/DeBruijn.Lazy.Par.L/adjust/10,4.809244433263716e-6,4.806156151812169e-6,4.8127745768094255e-6,1.110151137072517e-8,8.849819981759384e-9,1.621471058645695e-8
adjust/DeBruijn.Lazy.Par.L/adjust/11,6.172498667009549e-6,6.168859246062573e-6,6.179474698469758e-6,1.657938812099544e-8,1.0681652885795068e-8,2.859291772127048e-8
adjust/DeBruijn.Lazy.Par.L/adjust/12,7.672811948073106e-6,7.667441826988313e-6,7.681750882340414e-6,2.390659375809292e-8,1.529830869395859e-8,3.923763478788206e-8
adjust/DeBruijn.Lazy.Par.L/adjust/13,9.335529367243386e-6,9.33221349769844e-6,9.34053424645244e-6,1.3783099677504931e-8,9.607946817537316e-9,2.086170217704293e-8
adjust/DeBruijn.Lazy.Par.L/adjust/14,1.1155665042513475e-5,1.1147164191062646e-5,1.1170473692814824e-5,3.994147162262249e-8,2.6663155642251084e-8,5.994000567967813e-8
adjust/DeBruijn.Lazy.Par.L/adjust/15,1.3197189404685225e-5,1.3184739231709872e-5,1.3222640610846279e-5,5.943139507195504e-8,3.047091499382683e-8,1.2034650817335265e-7
adjust/DeBruijn.Lazy.Par.L/adjust/16,1.5481733897298567e-5,1.5471632178246243e-5,1.5494795112038707e-5,3.780008094399711e-8,2.7607823841348864e-8,4.9058883795341466e-8
adjust/DeBruijn.Lazy.Par.L/adjust/17,1.8025912745577393e-5,1.801516051874409e-5,1.8047679318673638e-5,5.201654270242289e-8,3.0884569220663994e-8,8.687429487442204e-8
adjust/DeBruijn.Lazy.Par.L/adjust/18,2.0876963565254704e-5,2.0858661001395132e-5,2.090354381552927e-5,7.561034202567915e-8,5.635156900594508e-8,1.1494481590136261e-7
adjust/DeBruijn.Lazy.Par.L/adjust/19,2.4019395859771424e-5,2.400187411915559e-5,2.4046014361970316e-5,7.058803433151157e-8,4.127564072716611e-8,1.0083103425110324e-7
adjust/DeBruijn.Lazy.Par.L/adjust/20,2.747480849058341e-5,2.7465359766205832e-5,2.7485404599587725e-5,3.438997842488222e-8,2.6558913488142155e-8,4.7530373070543127e-8
