Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.P/adjust/1,2.760626993620266e-8,2.758765968919758e-8,2.7648524404197904e-8,9.019287726760083e-11,5.2288575578597076e-11,1.593007385693994e-10
adjust/DeBruijn.Lazy.Par.P/adjust/2,1.1793729469926227e-7,1.178756347445477e-7,1.1803501062012962e-7,2.5158285700646867e-10,1.6645933061195667e-10,3.8842639384930883e-10
adjust/DeBruijn.Lazy.Par.P/adjust/3,3.230884365462858e-7,3.2284888855090843e-7,3.2337695208483526e-7,8.656604854338559e-10,6.782543175508781e-10,1.1058000850806502e-9
adjust/DeBruijn.Lazy.Par.P/adjust/4,6.600547398527667e-7,6.597872297221182e-7,6.605448368736279e-7,1.187432266999962e-9,7.892308199905901e-10,1.993095855507047e-9
adjust/DeBruijn.Lazy.Par.P/adjust/5,1.2425420003518268e-6,1.2418873194661008e-6,1.243459840024204e-6,2.6299824937605386e-9,2.0188711171525843e-9,3.316819378912641e-9
adjust/DeBruijn.Lazy.Par.P/adjust/6,2.1294352375325357e-6,2.127426162663967e-6,2.131749555623886e-6,7.187276254361365e-9,5.1608095414964025e-9,1.0069249732914429e-8
adjust/DeBruijn.Lazy.Par.P/adjust/7,3.282873205408639e-6,3.2810036391828073e-6,3.285339525240503e-6,7.24299154826738e-9,5.036985697978702e-9,1.1128164444843277e-8
adjust/DeBruijn.Lazy.Par.P/adjust/8,4.861385704971516e-6,4.857884114087708e-6,4.864332742943523e-6,1.1313487268014295e-8,8.779006599022869e-9,1.5243331841270323e-8
adjust/DeBruijn.Lazy.Par.P/adjust/9,7.0011470358958e-6,6.995369156483697e-6,7.008422108532346e-6,2.0538037182437662e-8,1.696655109509823e-8,2.632663621005527e-8
adjust/DeBruijn.Lazy.Par.P/adjust/10,9.62055484340674e-6,9.608808192960704e-6,9.644881485829526e-6,5.3853015631190504e-8,2.4840411321164183e-8,9.978661038607017e-8
adjust/DeBruijn.Lazy.Par.P/adjust/11,1.2686573484603662e-5,1.2673711525203323e-5,1.2717568834236166e-5,6.599152716411505e-8,2.953254568457835e-8,1.2688222168835275e-7
adjust/DeBruijn.Lazy.Par.P/adjust/12,1.6555563955732113e-5,1.6547659011747475e-5,1.6570455699609977e-5,3.601351217419418e-8,2.369883935012081e-8,6.124217794685022e-8
adjust/DeBruijn.Lazy.Par.P/adjust/13,2.117069939450561e-5,2.116398229545574e-5,2.117836835240654e-5,2.4725103520383996e-8,1.9916245997803078e-8,3.2160379149475894e-8
adjust/DeBruijn.Lazy.Par.P/adjust/14,2.614792815606665e-5,2.6128277945831425e-5,2.620451515102041e-5,9.719208603245308e-8,4.097086967469145e-8,2.0514146150799822e-7
adjust/DeBruijn.Lazy.Par.P/adjust/15,3.182425228840951e-5,3.180780521339605e-5,3.1843534002963816e-5,5.835907427848697e-8,4.735766898610757e-8,7.080883937891233e-8
adjust/DeBruijn.Lazy.Par.P/adjust/16,3.9320724194723635e-5,3.930173272238852e-5,3.9346159498546124e-5,7.472624716748498e-8,5.680185993478942e-8,9.979786263258097e-8
adjust/DeBruijn.Lazy.Par.P/adjust/17,4.72290370321263e-5,4.7201139468859236e-5,4.726463135564574e-5,1.0798226157010754e-7,8.111346496015516e-8,1.399565393264768e-7
adjust/DeBruijn.Lazy.Par.P/adjust/18,5.560027728706921e-5,5.557087359556241e-5,5.5670726364053534e-5,1.3954371773224844e-7,7.420261375044318e-8,2.48370805397611e-7
adjust/DeBruijn.Lazy.Par.P/adjust/19,6.630794807132529e-5,6.627785563926207e-5,6.635055597464673e-5,1.2506054454789392e-7,8.591332134854476e-8,2.117493826977893e-7
adjust/DeBruijn.Lazy.Par.P/adjust/20,7.734180186863226e-5,7.730668663987412e-5,7.73848552449137e-5,1.2640451143072695e-7,9.513314610260638e-8,1.7998130091154306e-7
