Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lennart/adjust/1,2.0790084603362747e-8,2.0761396067683422e-8,2.0832258153073565e-8,1.1798881679063672e-10,7.928796936812624e-11,1.8420321093187738e-10
adjust/DeBruijn.Lennart/adjust/2,7.15295480002583e-8,7.148330157522116e-8,7.158313854847625e-8,1.6732318207444787e-10,1.346192028527953e-10,2.1941695932718585e-10
adjust/DeBruijn.Lennart/adjust/3,1.658451539517752e-7,1.657358661876085e-7,1.6598295301119171e-7,4.0376592242049065e-10,3.223316026486852e-10,5.190414754621669e-10
adjust/DeBruijn.Lennart/adjust/4,3.1730291995772836e-7,3.170941446302999e-7,3.175253318432403e-7,7.599451731379113e-10,6.507590485428096e-10,9.176771337712395e-10
adjust/DeBruijn.Lennart/adjust/5,5.111039607300535e-7,5.106024251390319e-7,5.118328393600107e-7,2.145562316786214e-9,1.6156561690878186e-9,2.8688160306181975e-9
adjust/DeBruijn.Lennart/adjust/6,7.707577465272295e-7,7.701692156272092e-7,7.71913691011188e-7,2.710702052281685e-9,1.9246072461982225e-9,4.047574995138221e-9
adjust/DeBruijn.Lennart/adjust/7,1.1459827765281116e-6,1.1450400751203624e-6,1.1474240246886894e-6,3.877737495722288e-9,2.7478013246752174e-9,5.3119189035331254e-9
adjust/DeBruijn.Lennart/adjust/8,1.566569933695752e-6,1.5655307348760868e-6,1.567782323767621e-6,3.801229643132998e-9,2.6973651806165786e-9,5.0068697486765305e-9
adjust/DeBruijn.Lennart/adjust/9,2.1232822429271803e-6,2.1208026179032503e-6,2.126566377282188e-6,9.736066714968942e-9,7.327449983488984e-9,1.321464398545903e-8
adjust/DeBruijn.Lennart/adjust/10,2.7739509744104763e-6,2.7682482763326716e-6,2.7813949704962668e-6,2.1552060204327878e-8,1.6365603467407334e-8,2.5937885169170972e-8
adjust/DeBruijn.Lennart/adjust/11,3.5593383446077916e-6,3.5544277658658845e-6,3.568983111258469e-6,2.1678515009080173e-8,1.2001329899555138e-8,3.386630667662453e-8
adjust/DeBruijn.Lennart/adjust/12,4.448768927060251e-6,4.444842803727832e-6,4.45608993387432e-6,1.8363850446055637e-8,1.255521260699297e-8,2.8768540300749103e-8
adjust/DeBruijn.Lennart/adjust/13,5.455930684294467e-6,5.4512918048435145e-6,5.4625562991785105e-6,1.6949444307932182e-8,1.2549832895066681e-8,2.3741693201808544e-8
adjust/DeBruijn.Lennart/adjust/14,6.653209846667115e-6,6.645624508556503e-6,6.667614790853735e-6,3.3204173545633475e-8,1.9332818446452074e-8,5.102020063057598e-8
adjust/DeBruijn.Lennart/adjust/15,7.973854100506154e-6,7.968056881410845e-6,7.982119288513179e-6,2.26269793058502e-8,1.4582931388092153e-8,3.376308362535502e-8
adjust/DeBruijn.Lennart/adjust/16,9.464543195064268e-6,9.459467834663127e-6,9.472135877683854e-6,2.025585252461025e-8,1.3968629952796388e-8,2.9046480134365953e-8
adjust/DeBruijn.Lennart/adjust/17,1.1149385168650093e-5,1.1141567437167304e-5,1.1161234263020827e-5,3.3076618781958744e-8,2.358808322451699e-8,5.1018649213348434e-8
adjust/DeBruijn.Lennart/adjust/18,1.281532396043688e-5,1.2792356086240815e-5,1.285262576845707e-5,9.807119151189335e-8,6.70001707559496e-8,1.316707335206702e-7
adjust/DeBruijn.Lennart/adjust/19,1.4938857705122016e-5,1.492922420548789e-5,1.4954039824659834e-5,4.0640701012927014e-8,2.9669806870214798e-8,5.496080334906388e-8
adjust/DeBruijn.Lennart/adjust/20,1.7148351524816077e-5,1.7133007879478042e-5,1.716943701032119e-5,6.090454962058071e-8,4.6897889853492336e-8,7.533171528567682e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lennart/adjust/1,2.1875092157974892e-8,2.178021152688567e-8,2.1979400952016828e-8,3.4074274251665644e-10,2.7673604692817386e-10,4.2216241534059247e-10
adjust/DeBruijn.Lennart/adjust/2,7.518169056824716e-8,7.460672979393568e-8,7.593853179452196e-8,2.2658915666738403e-9,1.554785950144896e-9,3.878432904177424e-9
adjust/DeBruijn.Lennart/adjust/3,1.7662000840586945e-7,1.7599371526311393e-7,1.7764956794381424e-7,2.411859867568308e-9,1.7349013111088217e-9,3.476904291795467e-9
adjust/DeBruijn.Lennart/adjust/4,3.266293584931549e-7,3.2338634156648944e-7,3.301703385346761e-7,1.1372834861738224e-8,1.0006318318801798e-8,1.3160195221653111e-8
adjust/DeBruijn.Lennart/adjust/5,5.325988867306065e-7,5.275386190378371e-7,5.373197234440984e-7,1.7614373242502606e-8,1.4622815216070791e-8,2.2523048393692518e-8
adjust/DeBruijn.Lennart/adjust/6,7.779105177582524e-7,7.727987784760664e-7,7.83093382216311e-7,1.780289177771377e-8,1.591914703701461e-8,2.0796684936285652e-8
adjust/DeBruijn.Lennart/adjust/7,1.182565669519119e-6,1.173055888892976e-6,1.1988673971855028e-6,4.1801340111242605e-8,2.8713831758119873e-8,6.977624287181515e-8
adjust/DeBruijn.Lennart/adjust/8,1.6029389419598902e-6,1.5922413611574357e-6,1.613658773960973e-6,3.597865454276362e-8,2.5078005974587734e-8,4.902892112769849e-8
adjust/DeBruijn.Lennart/adjust/9,2.1521254632504514e-6,2.1358318979028833e-6,2.172445808165481e-6,5.849278587997058e-8,4.708197467185468e-8,7.531669031838683e-8
adjust/DeBruijn.Lennart/adjust/10,2.8126602845019e-6,2.797495845215352e-6,2.8339714094708354e-6,6.090515881096184e-8,4.5781900440833864e-8,8.171031897467984e-8
adjust/DeBruijn.Lennart/adjust/11,3.537372598762273e-6,3.508114143738032e-6,3.562227414231381e-6,8.639457917498039e-8,7.032278679406188e-8,1.0275027556325831e-7
adjust/DeBruijn.Lennart/adjust/12,4.481656889768033e-6,4.43143684325636e-6,4.543854415848503e-6,1.8595269356843118e-7,1.37650834104055e-7,2.552921154233397e-7
adjust/DeBruijn.Lennart/adjust/13,5.275168570060749e-6,5.251586820108036e-6,5.29848350539739e-6,7.84454772151171e-8,6.621903072156084e-8,9.33445328528115e-8
adjust/DeBruijn.Lennart/adjust/14,6.271900714434808e-6,6.261274616836632e-6,6.2908787954692525e-6,4.698778089995867e-8,3.1344958930064874e-8,8.309348809232983e-8
adjust/DeBruijn.Lennart/adjust/15,7.605544153409602e-6,7.580819181016373e-6,7.643887024088158e-6,1.0622640180278212e-7,7.813325815654442e-8,1.4438517836994825e-7
adjust/DeBruijn.Lennart/adjust/16,9.336012128481853e-6,9.242596827770772e-6,9.436666149641238e-6,3.2758160633252616e-7,2.6953678907353756e-7,3.8867972185807646e-7
