Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,5.652325003316314e-8,5.6472052185781895e-8,5.6620887638736225e-8,2.332891457699339e-10,1.4675008660515698e-10,3.6659149084379933e-10
adjust/DeBruijn.Par.B/adjust/2,1.3622895107839057e-7,1.3614703599774674e-7,1.3635205884181208e-7,3.2460972231092785e-10,2.51053691346946e-10,4.3032914576160475e-10
adjust/DeBruijn.Par.B/adjust/3,2.794798061293203e-7,2.791448862654824e-7,2.799775129326908e-7,1.35527472757584e-9,9.8501860295341e-10,1.868672452108089e-9
adjust/DeBruijn.Par.B/adjust/4,5.282826508309092e-7,5.279781935806825e-7,5.289015545185401e-7,1.3883432552342924e-9,8.470477730471333e-10,2.4439705670299535e-9
adjust/DeBruijn.Par.B/adjust/5,8.679187948458456e-7,8.672756926587086e-7,8.693194760520726e-7,2.896994903528772e-9,1.7616651470161915e-9,4.988885043428642e-9
adjust/DeBruijn.Par.B/adjust/6,1.413065951085436e-6,1.4109664118954163e-6,1.4159693337005158e-6,8.244585640981805e-9,6.567429336154059e-9,1.0948000578397265e-8
adjust/DeBruijn.Par.B/adjust/7,2.0341791419351057e-6,2.032746451319594e-6,2.03644079521437e-6,5.8038612600790384e-9,3.655403574470741e-9,9.291963023399781e-9
adjust/DeBruijn.Par.B/adjust/8,2.9403769128151425e-6,2.938353111456215e-6,2.9428700355159346e-6,7.71977098430599e-9,6.145004886587878e-9,9.559593337817925e-9
adjust/DeBruijn.Par.B/adjust/9,4.0781511741992945e-6,4.076065586650702e-6,4.082732517721328e-6,9.752652933008376e-9,6.690159640712219e-9,1.584548915704401e-8
adjust/DeBruijn.Par.B/adjust/10,5.49392642220838e-6,5.490505018864005e-6,5.497908306130359e-6,1.2601628409338624e-8,9.903047292710166e-9,1.5723337954509003e-8
adjust/DeBruijn.Par.B/adjust/11,7.127166743052678e-6,7.121281079595417e-6,7.1345424566674636e-6,2.275884995715725e-8,1.7985472552342942e-8,2.7334834479023684e-8
adjust/DeBruijn.Par.B/adjust/12,9.302751959117227e-6,9.296639041230127e-6,9.313024455959194e-6,2.570412378212465e-8,1.6630608451898337e-8,3.8413372286016365e-8
adjust/DeBruijn.Par.B/adjust/13,1.165927088674268e-5,1.1650386107394704e-5,1.1671040760818786e-5,3.5723765769682306e-8,2.7674886686429976e-8,4.955833711089794e-8
adjust/DeBruijn.Par.B/adjust/14,1.4391850077648385e-5,1.4382093660009543e-5,1.4405585712521287e-5,3.829234876587122e-8,2.8487487985668926e-8,5.709837055361697e-8
adjust/DeBruijn.Par.B/adjust/15,1.7720911958164814e-5,1.770593327025379e-5,1.7744470399106106e-5,6.446678984003599e-8,4.469593779554993e-8,1.0226765953677322e-7
adjust/DeBruijn.Par.B/adjust/16,2.1281669682695296e-5,2.1269437023583272e-5,2.1297372876567066e-5,5.0627865073313225e-8,3.867182095690143e-8,6.53625271840321e-8
adjust/DeBruijn.Par.B/adjust/17,2.5287707641851417e-5,2.5273979299117656e-5,2.5312892633459926e-5,5.8620826542960544e-8,3.602450142022299e-8,8.767977631942909e-8
adjust/DeBruijn.Par.B/adjust/18,2.9936634773796138e-5,2.9924394834834542e-5,2.9953334387328844e-5,4.6656454339551775e-8,3.329256346085156e-8,6.798636360580623e-8
adjust/DeBruijn.Par.B/adjust/19,3.513593774087775e-5,3.511934439168527e-5,3.516566996828513e-5,7.290867916078775e-8,4.544906782883138e-8,1.2147939045064735e-7
adjust/DeBruijn.Par.B/adjust/20,4.048329457879688e-5,4.046169129206769e-5,4.051110949573378e-5,8.594032520484192e-8,6.835404358580134e-8,1.0962427977920812e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,5.6673453108496824e-8,5.6623892968888295e-8,5.6778591293847046e-8,2.2938693383634624e-10,1.2931246558509722e-10,4.3564562841652424e-10
adjust/DeBruijn.Par.B/adjust/2,1.262680725119983e-7,1.2611250746840514e-7,1.26536691914776e-7,6.62757963400234e-10,4.657919041645787e-10,1.0618455089049763e-9
adjust/DeBruijn.Par.B/adjust/3,2.7782489896778714e-7,2.774756252564518e-7,2.7831072672691017e-7,1.3452699986889467e-9,8.774143921155573e-10,1.995674415982461e-9
adjust/DeBruijn.Par.B/adjust/4,5.264621724067895e-7,5.262522144401012e-7,5.266877106420546e-7,7.753467204767219e-10,6.283899350364699e-10,9.850511728253465e-10
adjust/DeBruijn.Par.B/adjust/5,8.633165567097621e-7,8.627409481620015e-7,8.640605099325266e-7,2.1985046451894952e-9,1.6049480782284228e-9,2.9170845187923766e-9
adjust/DeBruijn.Par.B/adjust/6,1.4036998077370176e-6,1.4027012966991615e-6,1.405121914975246e-6,3.9361514727454385e-9,2.8624136147430214e-9,5.351269044671322e-9
adjust/DeBruijn.Par.B/adjust/7,2.0372702078501094e-6,2.0360455272395563e-6,2.039187289876824e-6,5.071137512657982e-9,3.718649070458048e-9,6.5790724623157545e-9
adjust/DeBruijn.Par.B/adjust/8,2.9385709764931357e-6,2.936863401384067e-6,2.9408719397308785e-6,6.504910181564639e-9,4.791764622204294e-9,8.867984284763484e-9
adjust/DeBruijn.Par.B/adjust/9,4.074812985779795e-6,4.073424203064387e-6,4.076513860062756e-6,4.85082113247323e-9,3.827875472633217e-9,6.753192367174718e-9
adjust/DeBruijn.Par.B/adjust/10,5.493463548118511e-6,5.4905565659048305e-6,5.497949931156698e-6,1.2294963575537401e-8,7.429296824196546e-9,1.86665382606044e-8
adjust/DeBruijn.Par.B/adjust/11,7.1256640572153985e-6,7.12315979455076e-6,7.129943037154798e-6,1.0136593694075886e-8,7.711107062970987e-9,1.3852438125073526e-8
adjust/DeBruijn.Par.B/adjust/12,9.30085475319085e-6,9.296778838749374e-6,9.309499256129636e-6,1.9448760075650244e-8,1.0369331048262134e-8,3.1009433370645424e-8
adjust/DeBruijn.Par.B/adjust/13,1.1643289469196617e-5,1.1637659236296554e-5,1.1651443487844612e-5,2.2205856859730763e-8,1.4669306948506423e-8,3.141085996218912e-8
adjust/DeBruijn.Par.B/adjust/14,1.4385400016037466e-5,1.437958092234112e-5,1.4393721313669057e-5,2.3777377570502815e-8,1.7990988244189423e-8,3.111120422797286e-8
adjust/DeBruijn.Par.B/adjust/15,1.7702004139448788e-5,1.7686565097178327e-5,1.7731462997549703e-5,6.895007010542869e-8,3.83124710414441e-8,1.1540603106129708e-7
adjust/DeBruijn.Par.B/adjust/16,2.12812226050434e-5,2.12722363797606e-5,2.129729970870482e-5,4.0872768145279865e-8,2.8087578188574966e-8,6.58918078794402e-8
adjust/DeBruijn.Par.B/adjust/17,2.529625979913557e-5,2.5284842497028644e-5,2.5317772556262522e-5,4.7243793325657096e-8,2.4760078693195872e-8,8.218049661515588e-8
adjust/DeBruijn.Par.B/adjust/18,2.9877559352226448e-5,2.986863077084869e-5,2.9889674606071967e-5,3.3120343191201755e-8,2.7335394357762004e-8,4.4058944753418515e-8
adjust/DeBruijn.Par.B/adjust/19,3.511560782151901e-5,3.5100517062791617e-5,3.515754380025506e-5,7.127791961929829e-8,3.701040414666821e-8,1.4398724914523532e-7
adjust/DeBruijn.Par.B/adjust/20,4.048248454176221e-5,4.0469756983157914e-5,4.0500884309044904e-5,5.092243472185442e-8,3.969072895871319e-8,7.300664329301881e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,5.62538763577338e-8,5.622914793693342e-8,5.628711452417579e-8,9.59870236468717e-11,7.115009128706277e-11,1.335031302963123e-10
adjust/DeBruijn.Par.B/adjust/2,1.2540148682946084e-7,1.2533995688020075e-7,1.254855707572552e-7,2.451929475141705e-10,1.9268917368919568e-10,3.158027495595467e-10
adjust/DeBruijn.Par.B/adjust/3,2.7627646279731853e-7,2.7609912342127796e-7,2.766015394542486e-7,7.992772935111079e-10,5.444840723176842e-10,1.2076240573972298e-9
adjust/DeBruijn.Par.B/adjust/4,5.232093789695655e-7,5.229515211858504e-7,5.237328240101393e-7,1.1936568805776322e-9,7.647226372382846e-10,1.9005101407623965e-9
adjust/DeBruijn.Par.B/adjust/5,8.602030382331741e-7,8.598610105429592e-7,8.606742444351434e-7,1.2626746468637472e-9,9.749498280132194e-10,1.6686983892690464e-9
adjust/DeBruijn.Par.B/adjust/6,1.395110049060773e-6,1.394396662447561e-6,1.395846690131346e-6,2.3903879242939433e-9,1.931650556194067e-9,3.1732857065503066e-9
adjust/DeBruijn.Par.B/adjust/7,2.023755783080935e-6,2.0226106148084697e-6,2.025958145379803e-6,5.179733021174555e-9,3.219406374375687e-9,9.172483111188114e-9
adjust/DeBruijn.Par.B/adjust/8,3.2246860976476957e-6,3.1442952403911965e-6,3.31201061397179e-6,2.697273637250437e-7,2.5376981904550336e-7,2.847110963918457e-7
adjust/DeBruijn.Par.B/adjust/9,4.717924029198147e-6,4.696509945131601e-6,4.738578934475361e-6,6.698130628097132e-8,5.602764688996091e-8,8.156545177231004e-8
adjust/DeBruijn.Par.B/adjust/10,6.2334769325013295e-6,6.210798450737432e-6,6.261200606345434e-6,8.001756582092561e-8,6.308354392933397e-8,1.0481152660797743e-7
adjust/DeBruijn.Par.B/adjust/11,8.053789327464824e-6,8.028079181051042e-6,8.081341160496215e-6,9.141021840336766e-8,7.836318946774635e-8,1.079771868421889e-7
adjust/DeBruijn.Par.B/adjust/12,1.0287990479765419e-5,1.0241727618003793e-5,1.0328685675351855e-5,1.4795725119107487e-7,1.1616288160347941e-7,1.8438851521588933e-7
adjust/DeBruijn.Par.B/adjust/13,1.2839072676058805e-5,1.2791732147344687e-5,1.2881568359371524e-5,1.488667460659216e-7,1.216396121590464e-7,1.8602725129149401e-7
adjust/DeBruijn.Par.B/adjust/14,1.592351623365011e-5,1.5876590003075135e-5,1.5963034586763798e-5,1.4564186218214766e-7,1.1529946052223581e-7,1.9680180496637276e-7
adjust/DeBruijn.Par.B/adjust/15,1.9257012429402124e-5,1.9189553677442767e-5,1.9323467094269795e-5,2.2370326046587383e-7,1.895891711302967e-7,2.795532886412876e-7
adjust/DeBruijn.Par.B/adjust/16,2.3154983734804247e-5,2.3077742365821057e-5,2.3216582182485535e-5,2.2964907551355597e-7,1.8521359444384483e-7,2.8834044634629426e-7
adjust/DeBruijn.Par.B/adjust/17,2.7289908419078542e-5,2.7232748172967285e-5,2.7352430649059163e-5,2.048606004144222e-7,1.714467886911921e-7,2.543904243870511e-7
adjust/DeBruijn.Par.B/adjust/18,3.2308331375437916e-5,3.2209677494592826e-5,3.243216047551658e-5,3.668068027869235e-7,2.621615447099183e-7,5.51586260664823e-7
adjust/DeBruijn.Par.B/adjust/19,3.76197195969614e-5,3.752516936826101e-5,3.772241398064268e-5,3.324543895225269e-7,2.772528769816478e-7,4.30006040224442e-7
adjust/DeBruijn.Par.B/adjust/20,4.299202014326367e-5,4.291318974936169e-5,4.308808477684557e-5,2.883719137510336e-7,2.2540817715499807e-7,4.0274642886234756e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,5.497787383473461e-8,5.495972389840383e-8,5.500014132374583e-8,6.980919639177704e-11,5.067440638953841e-11,1.1423948098040117e-10
adjust/DeBruijn.Par.B/adjust/2,1.2337429342659182e-7,1.2323018924406288e-7,1.2355546842394158e-7,5.341638615586002e-10,4.0164445689170293e-10,7.626484281914064e-10
adjust/DeBruijn.Par.B/adjust/3,2.76991387719781e-7,2.762623711128063e-7,2.778907812558703e-7,2.71668618666613e-9,2.2267593335665646e-9,3.824828611670412e-9
adjust/DeBruijn.Par.B/adjust/4,5.197196560606706e-7,5.194851523245292e-7,5.200594202959074e-7,9.736640297599577e-10,7.512412887822326e-10,1.3187209853625356e-9
adjust/DeBruijn.Par.B/adjust/5,8.685925002948625e-7,8.673766102877779e-7,8.702450210490465e-7,4.672233094895054e-9,3.4084980604658996e-9,6.977743191654118e-9
adjust/DeBruijn.Par.B/adjust/6,1.4332118845190506e-6,1.4313547863328143e-6,1.4350838688233742e-6,6.362228045116951e-9,5.360371212993459e-9,7.98296524879568e-9
adjust/DeBruijn.Par.B/adjust/7,2.0351403838832244e-6,2.0317625153123094e-6,2.038052582367761e-6,1.09655301964056e-8,9.30444874127532e-9,1.2787051418059001e-8
adjust/DeBruijn.Par.B/adjust/8,2.916234334921656e-6,2.9121455714190105e-6,2.9223362002976016e-6,1.79279170009757e-8,1.2779409207981531e-8,2.6532144199535828e-8
adjust/DeBruijn.Par.B/adjust/9,4.04902678788085e-6,4.045523562140452e-6,4.055015099761508e-6,1.4850007161987954e-8,1.035042573865838e-8,2.1488954109027004e-8
adjust/DeBruijn.Par.B/adjust/10,5.437023525898565e-6,5.434665613148475e-6,5.440666802505241e-6,9.852831222466414e-9,6.909923087694134e-9,1.6847282633491447e-8
adjust/DeBruijn.Par.B/adjust/11,7.133139881547023e-6,7.1209656507271894e-6,7.157017270971138e-6,5.706510725845789e-8,3.702044353005813e-8,8.537243560779688e-8
adjust/DeBruijn.Par.B/adjust/12,9.257712142887925e-6,9.24566043971458e-6,9.281535760937767e-6,5.1838843228536965e-8,3.0423132856738293e-8,8.743717006046259e-8
adjust/DeBruijn.Par.B/adjust/13,1.1559112662414509e-5,1.1554254077308417e-5,1.156650979120453e-5,2.027403993805876e-8,1.3033165321576535e-8,3.220129718795096e-8
adjust/DeBruijn.Par.B/adjust/14,1.4327242269366783e-5,1.4305945931668875e-5,1.4362805697620067e-5,8.794450210527671e-8,5.368170395170682e-8,1.3988992490572183e-7
adjust/DeBruijn.Par.B/adjust/15,1.758427938576438e-5,1.7564552418562466e-5,1.76091501895744e-5,7.46414720120801e-8,5.932298669738809e-8,1.0088806218505716e-7
adjust/DeBruijn.Par.B/adjust/16,2.116594239673759e-5,2.1150432207950076e-5,2.1189658953543945e-5,6.578465293739135e-8,4.876318012309081e-8,1.0181055008779399e-7
adjust/DeBruijn.Par.B/adjust/17,2.5263045854311408e-5,2.5233278788114953e-5,2.531802702833469e-5,1.243258682789e-7,7.977904654815796e-8,2.2335532495469268e-7
adjust/DeBruijn.Par.B/adjust/18,2.987150280911401e-5,2.9844917463448205e-5,2.990253449486488e-5,9.58780858103828e-8,7.676976431871553e-8,1.162677480342487e-7
adjust/DeBruijn.Par.B/adjust/19,3.48510647250644e-5,3.483222626931307e-5,3.489186415362707e-5,8.97591890495605e-8,4.797391008044077e-8,1.642772199989369e-7
adjust/DeBruijn.Par.B/adjust/20,4.150136607263558e-5,4.145682171633845e-5,4.158819446936449e-5,2.120286019966499e-7,1.3374116718165035e-7,3.4387806253640886e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,5.552963146853084e-8,5.545896051893149e-8,5.563178640928013e-8,2.848299195605565e-10,1.9850579693232294e-10,4.720217633368086e-10
adjust/DeBruijn.Par.B/adjust/2,1.2499772334844102e-7,1.247910930636637e-7,1.252772770239845e-7,8.561295513040758e-10,6.652858306848355e-10,1.1842933491959195e-9
adjust/DeBruijn.Par.B/adjust/3,2.7721668720125444e-7,2.767853332819756e-7,2.7784972535770606e-7,1.7269934787268405e-9,1.3521078489764109e-9,2.447796386188998e-9
adjust/DeBruijn.Par.B/adjust/4,5.267521241055656e-7,5.260894618899557e-7,5.278029263498738e-7,2.831593407365606e-9,2.0162263782086723e-9,4.5183035003145796e-9
adjust/DeBruijn.Par.B/adjust/5,8.650915817621604e-7,8.63296897768689e-7,8.671866559660713e-7,6.349458862163636e-9,4.80552013758885e-9,8.257317745918264e-9
adjust/DeBruijn.Par.B/adjust/6,1.400133348286491e-6,1.3946868745058445e-6,1.4119463339095563e-6,2.647354324834025e-8,1.4449038858373338e-8,4.8147614529206444e-8
adjust/DeBruijn.Par.B/adjust/7,2.016194282183686e-6,2.0123759549837443e-6,2.0218974290654057e-6,1.6002406176998622e-8,1.1449087710785433e-8,2.2560542344818536e-8
adjust/DeBruijn.Par.B/adjust/8,2.9277221479507677e-6,2.923522591483566e-6,2.933422707968227e-6,1.63866203240227e-8,1.2659971754228586e-8,2.224697225246446e-8
adjust/DeBruijn.Par.B/adjust/9,4.049774186844379e-6,4.046353656864626e-6,4.054712019631506e-6,1.3593056683220039e-8,8.574954190253912e-9,1.9262873906480354e-8
adjust/DeBruijn.Par.B/adjust/10,5.486165504504036e-6,5.476075683707785e-6,5.497554424925072e-6,3.8622672570919704e-8,3.253814718421026e-8,4.82461423058275e-8
adjust/DeBruijn.Par.B/adjust/11,7.108704142377735e-6,7.096773042163856e-6,7.123990218829643e-6,4.564715810830916e-8,3.470295847756489e-8,6.72551762115295e-8
adjust/DeBruijn.Par.B/adjust/12,9.211469231985018e-6,9.194780147590638e-6,9.235750901442937e-6,7.024812286038305e-8,5.207553455927843e-8,9.951764492588671e-8
adjust/DeBruijn.Par.B/adjust/13,1.1533246578162032e-5,1.1515319534474884e-5,1.1558879934822132e-5,7.127021187863344e-8,5.324611569060867e-8,9.264004707655545e-8
adjust/DeBruijn.Par.B/adjust/14,1.4309106064111032e-5,1.4285255107834623e-5,1.4348731105005116e-5,1.0342950794081007e-7,7.934867066049992e-8,1.4804719299687023e-7
adjust/DeBruijn.Par.B/adjust/15,1.7547654223268312e-5,1.75325721937392e-5,1.7568242267075503e-5,5.9326512692099705e-8,4.3074582100438175e-8,8.813315416469492e-8
adjust/DeBruijn.Par.B/adjust/16,2.1245026382738168e-5,2.1209077687088553e-5,2.129292194147343e-5,1.3906638733547164e-7,1.1088356048532586e-7,1.7130227545634535e-7
adjust/DeBruijn.Par.B/adjust/17,2.527369772141773e-5,2.5213044979831197e-5,2.5398439227111374e-5,2.7647762860914975e-7,1.622172117884556e-7,5.083693531963295e-7
adjust/DeBruijn.Par.B/adjust/18,2.9532371846256004e-5,2.950345206655814e-5,2.959010715392794e-5,1.2590278977592666e-7,7.520981060806776e-8,2.0248663455818153e-7
adjust/DeBruijn.Par.B/adjust/19,3.4665188885885835e-5,3.458703590166131e-5,3.475848885951255e-5,2.8355040165515965e-7,2.2446864577677448e-7,3.7525416759455646e-7
adjust/DeBruijn.Par.B/adjust/20,4.041075720378749e-5,4.034625085726825e-5,4.049428838652024e-5,2.4486849479685343e-7,1.7909031373201058e-7,3.446305938790546e-7
