Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.FB/adjust/1,4.589599647899964e-8,4.5874058664532244e-8,4.592249731262711e-8,8.391173117520511e-11,6.616682266729657e-11,1.1344289895356446e-10
adjust/DeBruijn.Par.FB/adjust/2,1.2941145863328e-7,1.2899629869237317e-7,1.3009876810456628e-7,1.7117288307687213e-9,1.1134250919227383e-9,2.9823015831627254e-9
adjust/DeBruijn.Par.FB/adjust/3,2.9848274039294493e-7,2.979314493977552e-7,2.993536000839719e-7,2.182823547918859e-9,1.6034249499506022e-9,2.966478606896503e-9
adjust/DeBruijn.Par.FB/adjust/4,5.939440408403479e-7,5.934862502275406e-7,5.946666780835537e-7,2.0111944990563223e-9,1.328720862681862e-9,3.14754246480684e-9
adjust/DeBruijn.Par.FB/adjust/5,9.79565693092895e-7,9.786136035158847e-7,9.80822155850531e-7,3.775683830127006e-9,2.8323219421495384e-9,5.219762448938734e-9
adjust/DeBruijn.Par.FB/adjust/6,1.6256410836790608e-6,1.6238793839433318e-6,1.6276835242437276e-6,6.443564390542614e-9,5.221007089396851e-9,8.579474339261404e-9
adjust/DeBruijn.Par.FB/adjust/7,2.360447729837744e-6,2.358302262684459e-6,2.3636155372554732e-6,8.419224005081691e-9,6.404156606005716e-9,1.1195355311709345e-8
adjust/DeBruijn.Par.FB/adjust/8,3.39318844028625e-6,3.39040888372931e-6,3.397135625536351e-6,1.1207465798473434e-8,8.544934481850256e-9,1.5878794177503814e-8
adjust/DeBruijn.Par.FB/adjust/9,4.700756331380595e-6,4.693475503760848e-6,4.708950936065222e-6,2.609787313132349e-8,1.9262498832151694e-8,3.440559894990358e-8
adjust/DeBruijn.Par.FB/adjust/10,6.241371824785181e-6,6.235796008149562e-6,6.249341800909818e-6,2.188935784965354e-8,1.6496066855288434e-8,2.822917967965519e-8
adjust/DeBruijn.Par.FB/adjust/11,8.147525253315756e-6,8.141531888172158e-6,8.155663546452753e-6,2.3742187779513726e-8,1.7722248598491207e-8,3.192796427746609e-8
adjust/DeBruijn.Par.FB/adjust/12,1.0413498579638038e-5,1.0405836866693798e-5,1.0426794461677561e-5,3.123658819075536e-8,2.122044496779794e-8,4.293416583036623e-8
adjust/DeBruijn.Par.FB/adjust/13,1.3089020646639061e-5,1.3077711546492795e-5,1.3106753441934124e-5,4.950534989126555e-8,2.994542295863111e-8,7.535229105364283e-8
adjust/DeBruijn.Par.FB/adjust/14,1.6337629785583414e-5,1.632806442314398e-5,1.6351768972941204e-5,3.8328504103355826e-8,2.9751865617087124e-8,4.889132753391271e-8
adjust/DeBruijn.Par.FB/adjust/15,1.9985928028590616e-5,1.9971804128384945e-5,2.000582885389947e-5,5.936366309991745e-8,4.316059494030843e-8,7.81760788839167e-8
adjust/DeBruijn.Par.FB/adjust/16,2.4021651587755488e-5,2.4008176300064006e-5,2.4042984033072774e-5,5.5908074747174344e-8,4.045704230195884e-8,8.475497174536568e-8
adjust/DeBruijn.Par.FB/adjust/17,2.8622421857222354e-5,2.859980165583257e-5,2.86439391372293e-5,7.638159895764284e-8,6.250627418060718e-8,9.329574098036132e-8
adjust/DeBruijn.Par.FB/adjust/18,3.378182358544282e-5,3.3763195570730544e-5,3.38060751791718e-5,6.994892802318265e-8,5.262289786416401e-8,9.772506933588215e-8
