Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.L/adjust/1,2.321857695940613e-8,2.3208748457366556e-8,2.323316926935185e-8,3.9427461267275247e-11,2.785141062374508e-11,5.2301635399527005e-11
adjust/DeBruijn.Par.L/adjust/2,9.039370955597391e-8,9.034351219459231e-8,9.048175463682933e-8,2.153941994495312e-10,1.4926512488498562e-10,3.444238910049222e-10
adjust/DeBruijn.Par.L/adjust/3,2.1630358175986618e-7,2.1622374022366728e-7,2.1643570752946782e-7,3.3488780220568485e-10,2.383589829744417e-10,4.869879014348688e-10
adjust/DeBruijn.Par.L/adjust/4,4.332825777090399e-7,4.328581578603903e-7,4.338741462734159e-7,1.6497650822154095e-9,1.3194399637777568e-9,2.1276293656947184e-9
adjust/DeBruijn.Par.L/adjust/5,6.928760324280066e-7,6.924994434090048e-7,6.935228269764308e-7,1.6700535430959562e-9,1.1623729288721864e-9,2.3593275964568757e-9
adjust/DeBruijn.Par.L/adjust/6,1.0411380283731663e-6,1.0402573071563911e-6,1.0422501451096216e-6,3.3887432356880307e-9,2.540608777100882e-9,4.7616187497038015e-9
adjust/DeBruijn.Par.L/adjust/7,1.4629541365416194e-6,1.4623518530123014e-6,1.463577123529631e-6,2.120142426329137e-9,1.6261046832868863e-9,2.8127142382606635e-9
adjust/DeBruijn.Par.L/adjust/8,2.056298743950598e-6,2.054977893573225e-6,2.057960238042309e-6,4.802460176615307e-9,4.0290206202273494e-9,5.739761459388679e-9
adjust/DeBruijn.Par.L/adjust/9,2.769939761218325e-6,2.76810071046904e-6,2.772589306345213e-6,7.3743644867504285e-9,5.28405819322247e-9,1.1588945230320464e-8
adjust/DeBruijn.Par.L/adjust/10,3.6084139565324236e-6,3.6065170209198757e-6,3.6107791685424323e-6,7.075632293485822e-9,5.5263868727234085e-9,9.34029327283867e-9
adjust/DeBruijn.Par.L/adjust/11,4.667331569248249e-6,4.664352619771827e-6,4.671075157044622e-6,1.0942758992497209e-8,8.487448780161935e-9,1.4035028664440282e-8
adjust/DeBruijn.Par.L/adjust/12,5.890028234613323e-6,5.887434014131534e-6,5.8935687485361536e-6,9.9856905295441e-9,7.602619697002893e-9,1.4646155691179099e-8
adjust/DeBruijn.Par.L/adjust/13,7.289872781392884e-6,7.285603932172685e-6,7.295306518491388e-6,1.669124621797335e-8,1.1620818198059693e-8,2.2948602955243085e-8
adjust/DeBruijn.Par.L/adjust/14,8.971389802811414e-6,8.967486812660894e-6,8.977537443196311e-6,1.5795460999190562e-8,1.189863631431628e-8,2.0954947827215322e-8
adjust/DeBruijn.Par.L/adjust/15,1.0655778232542267e-5,1.0648111320102628e-5,1.0669119621446016e-5,3.256318498774381e-8,2.2198951025455352e-8,5.360415498427006e-8
adjust/DeBruijn.Par.L/adjust/16,1.2677159920043912e-5,1.2669105833923973e-5,1.2688374553048747e-5,3.119928836256337e-8,2.407214486187778e-8,4.1460343972318526e-8
adjust/DeBruijn.Par.L/adjust/17,1.4937347789698043e-5,1.491368150114519e-5,1.4966250236110887e-5,9.071661668523103e-8,7.996840207522433e-8,1.0897657555461935e-7
adjust/DeBruijn.Par.L/adjust/18,1.7229732608210093e-5,1.7202222641837016e-5,1.7258580453433535e-5,9.53909153382975e-8,7.539516320650145e-8,1.158758598411886e-7
adjust/DeBruijn.Par.L/adjust/19,2.0017429341206784e-5,2.000244903188206e-5,2.002878694556499e-5,4.418576299621844e-8,2.8707192838781283e-8,7.159847829154144e-8
