Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.P/adjust/1,2.537715749405292e-8,2.5361731381381577e-8,2.5397826378660048e-8,5.94978165611855e-11,4.3974471342116124e-11,7.958422566889478e-11
adjust/DeBruijn.Par.P/adjust/2,8.721444098846255e-8,8.71563913852965e-8,8.729568684455065e-8,2.2084169103075272e-10,1.7471118710625466e-10,2.8430261154839586e-10
adjust/DeBruijn.Par.P/adjust/3,2.348727513446438e-7,2.3472780117271343e-7,2.3508415461545448e-7,5.96067711507835e-10,4.691577180644106e-10,8.744037143217057e-10
adjust/DeBruijn.Par.P/adjust/4,4.6802325144461317e-7,4.676049508942401e-7,4.6855397191053337e-7,1.553852371736896e-9,1.2227068517477466e-9,2.3039978226956523e-9
adjust/DeBruijn.Par.P/adjust/5,8.097334181513313e-7,8.090294686682322e-7,8.104914297276274e-7,2.5370408836505056e-9,2.138041282361703e-9,3.1752442092916172e-9
adjust/DeBruijn.Par.P/adjust/6,1.3227586066484614e-6,1.322186864004549e-6,1.3236514012958863e-6,2.2899999548777452e-9,1.6115538822959953e-9,3.4970529693973144e-9
adjust/DeBruijn.Par.P/adjust/7,1.9892139242369995e-6,1.987784328163818e-6,1.9912201372124687e-6,5.512193922242332e-9,4.246281993983976e-9,7.39180551451353e-9
adjust/DeBruijn.Par.P/adjust/8,2.9128022907788726e-6,2.9114030766699475e-6,2.9149681241032453e-6,5.5480355285931795e-9,4.149059159507768e-9,7.89020174285872e-9
adjust/DeBruijn.Par.P/adjust/9,4.042237606522204e-6,4.039320867516305e-6,4.0466475287112815e-6,1.169309844666215e-8,8.850167811559641e-9,1.4854568134576804e-8
adjust/DeBruijn.Par.P/adjust/10,5.445196547405879e-6,5.441814465745303e-6,5.448508028518328e-6,1.131471243530963e-8,9.361160064116419e-9,1.3600425231119174e-8
adjust/DeBruijn.Par.P/adjust/11,7.169635465432614e-6,7.165977580866849e-6,7.17630667683219e-6,1.6139211784783266e-8,1.2270761598061229e-8,2.1375214090201918e-8
adjust/DeBruijn.Par.P/adjust/12,9.281094799706833e-6,9.274607098941729e-6,9.291088636012117e-6,2.7387150590243908e-8,2.003652796062292e-8,3.761215225991392e-8
adjust/DeBruijn.Par.P/adjust/13,1.158932809753864e-5,1.1581402668667986e-5,1.160264471639577e-5,3.193788482585759e-8,2.275663945560805e-8,5.048569653670975e-8
adjust/DeBruijn.Par.P/adjust/14,1.429637684800657e-5,1.4285681221223587e-5,1.4316818037226721e-5,4.862679263834115e-8,3.3106551196522945e-8,7.505709616218812e-8
adjust/DeBruijn.Par.P/adjust/15,1.7549483196739915e-5,1.7542968212850815e-5,1.7558042892869256e-5,2.5426999288168678e-8,1.9409087831942466e-8,3.6612735576100694e-8
adjust/DeBruijn.Par.P/adjust/16,2.1156868518780585e-5,2.1138090673640213e-5,2.118864318853774e-5,8.272127786595311e-8,5.31698166079141e-8,1.4763046458112357e-7
adjust/DeBruijn.Par.P/adjust/17,2.5221155863192627e-5,2.5204965226668383e-5,2.52409763712718e-5,6.02934357265502e-8,4.744876493047297e-8,7.448766405089532e-8
adjust/DeBruijn.Par.P/adjust/18,2.96730365667165e-5,2.9655323089530278e-5,2.9703252602288377e-5,7.627426400369488e-8,5.26098527975191e-8,1.0659139346123361e-7
adjust/DeBruijn.Par.P/adjust/19,3.5182739227209484e-5,3.5151224112682e-5,3.522413782853586e-5,1.2177894081560346e-7,9.796140044565157e-8,1.4954038943624437e-7
adjust/DeBruijn.Par.P/adjust/20,4.0866454010806026e-5,4.083894142675909e-5,4.0896381252997444e-5,9.68446172703905e-8,7.519103888027958e-8,1.1984594583442006e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.P/adjust/1,2.566379277614826e-8,2.5641606126267392e-8,2.5696281102453893e-8,8.604208811159674e-11,6.048052972735891e-11,1.235188413237791e-10
adjust/DeBruijn.Par.P/adjust/2,8.640043139280778e-8,8.636848668480372e-8,8.646197374387884e-8,1.4210372840149223e-10,7.754473080554551e-11,2.2348684298680835e-10
adjust/DeBruijn.Par.P/adjust/3,2.3423034313469515e-7,2.3411625955413741e-7,2.3439808688007051e-7,4.66018943787188e-10,3.566785715205344e-10,6.258313637576938e-10
adjust/DeBruijn.Par.P/adjust/4,4.661288050234268e-7,4.657517478552857e-7,4.6662750478489645e-7,1.5057328071940222e-9,1.0685609805129979e-9,2.322425586840319e-9
adjust/DeBruijn.Par.P/adjust/5,7.994890571558747e-7,7.990191477685072e-7,8.00292200405795e-7,2.0929717661217342e-9,1.411005006949605e-9,3.6001999547335936e-9
adjust/DeBruijn.Par.P/adjust/6,1.3248880138914116e-6,1.3234792256907673e-6,1.328485537817352e-6,7.2408630970280024e-9,3.861903642349141e-9,1.3468680968714243e-8
adjust/DeBruijn.Par.P/adjust/7,1.981548689117242e-6,1.980709388960215e-6,1.9824027823636567e-6,2.8998758984697598e-9,2.3948545434442202e-9,3.706090246083296e-9
adjust/DeBruijn.Par.P/adjust/8,2.9083751426111036e-6,2.9072559378882354e-6,2.910567848878807e-6,5.122275193938728e-9,3.1127842550441116e-9,8.922020285084389e-9
adjust/DeBruijn.Par.P/adjust/9,4.036919391752175e-6,4.035650230488967e-6,4.038811597269844e-6,5.1804279181062696e-9,4.150351614492721e-9,7.219612953890208e-9
adjust/DeBruijn.Par.P/adjust/10,5.458763500479362e-6,5.456189453481373e-6,5.462445746920157e-6,1.0093483253276455e-8,7.432441719580227e-9,1.5328832018661543e-8
adjust/DeBruijn.Par.P/adjust/11,7.188240415874852e-6,7.184547877376755e-6,7.193706803609263e-6,1.4160767587729592e-8,9.036335570727435e-9,1.9699326190399406e-8
adjust/DeBruijn.Par.P/adjust/12,9.34118738786953e-6,9.324210248507873e-6,9.392652463125634e-6,9.437453799275645e-8,3.6227977288786964e-8,1.8749293118189772e-7
adjust/DeBruijn.Par.P/adjust/13,1.1683683568162911e-5,1.1654210476864387e-5,1.1741288725089294e-5,1.346647060222262e-7,9.465023921841557e-8,2.0103924047477412e-7
adjust/DeBruijn.Par.P/adjust/14,1.4417824678283843e-5,1.4382880739178234e-5,1.4480402909877449e-5,1.5041484984214652e-7,9.826265503647356e-8,2.438607346780508e-7
adjust/DeBruijn.Par.P/adjust/15,1.7651247849312635e-5,1.762873496499534e-5,1.7677617334016426e-5,8.420379892643041e-8,6.960455021295322e-8,1.1057735448302872e-7
adjust/DeBruijn.Par.P/adjust/16,2.1225397768224402e-5,2.12033182291147e-5,2.1257760621453913e-5,8.629738188011529e-8,6.298790685962226e-8,1.1981357042780404e-7
adjust/DeBruijn.Par.P/adjust/17,2.5262050765915807e-5,2.52512885035061e-5,2.52772603089274e-5,4.387813923563594e-8,3.375904062269625e-8,5.8158194904365e-8
adjust/DeBruijn.Par.P/adjust/18,2.9754006228171082e-5,2.9732602637145077e-5,2.9788350897382738e-5,8.907604398129492e-8,6.293204602115419e-8,1.3977754892405534e-7
adjust/DeBruijn.Par.P/adjust/19,3.529153571622463e-5,3.5262488456531735e-5,3.534344431000158e-5,1.2493783789672463e-7,8.769027436681376e-8,1.9894280440560865e-7
adjust/DeBruijn.Par.P/adjust/20,4.0972949512755165e-5,4.095841630095208e-5,4.09927222565121e-5,5.662498676772134e-8,4.241653749529415e-8,8.42914365778853e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.P/adjust/1,2.5667170140118088e-8,2.5633469687732387e-8,2.578979757313426e-8,1.9340008501548853e-10,5.120314843747951e-11,3.9636644194716466e-10
adjust/DeBruijn.Par.P/adjust/2,8.638970514827e-8,8.631718918921575e-8,8.65115658153783e-8,3.0644053931179644e-10,2.2681574129939026e-10,4.564039925067514e-10
adjust/DeBruijn.Par.P/adjust/3,2.3416943943605403e-7,2.3394478585847132e-7,2.3465543219754223e-7,1.0601664445816466e-9,5.80424803530941e-10,1.9170597289819874e-9
adjust/DeBruijn.Par.P/adjust/4,4.6506745213257023e-7,4.6486281113116927e-7,4.6539716119980877e-7,8.303563687985585e-10,5.192241334343852e-10,1.2527855494040513e-9
adjust/DeBruijn.Par.P/adjust/5,7.996413321606899e-7,7.991492552872312e-7,8.001540311728076e-7,1.7110810159844526e-9,1.3961946164786934e-9,2.275243600903119e-9
adjust/DeBruijn.Par.P/adjust/6,1.317198921395939e-6,1.3163530819467948e-6,1.3181907758966854e-6,2.9361461837467497e-9,2.2537485092195114e-9,3.836010961720059e-9
adjust/DeBruijn.Par.P/adjust/7,1.9785303169108137e-6,1.9776453079486596e-6,1.979878122122527e-6,3.713139339179361e-9,2.4490413727670897e-9,5.101302174246827e-9
adjust/DeBruijn.Par.P/adjust/8,2.905219327009849e-6,2.9033051292704543e-6,2.9081038202534433e-6,7.8030544895792e-9,5.573200333261361e-9,1.081441182223253e-8
adjust/DeBruijn.Par.P/adjust/9,4.030565020959486e-6,4.028924937568432e-6,4.0336539874040585e-6,7.298207499107352e-9,5.01099536986257e-9,1.2222978597375466e-8
adjust/DeBruijn.Par.P/adjust/10,5.4488225174337695e-6,5.445813242207062e-6,5.452919672043262e-6,1.1903134239981625e-8,9.057834868897737e-9,1.5260597947817904e-8
adjust/DeBruijn.Par.P/adjust/11,7.178811881954726e-6,7.173445305889267e-6,7.186713002203338e-6,2.142232358928196e-8,1.5635929953193065e-8,2.8123718798508035e-8
adjust/DeBruijn.Par.P/adjust/12,9.28776164548049e-6,9.28279596250692e-6,9.298786888320065e-6,2.2719874344464203e-8,1.3158649832722368e-8,3.937242790405309e-8
adjust/DeBruijn.Par.P/adjust/13,1.1584152891257151e-5,1.1576936320583245e-5,1.1596984391822863e-5,3.0759892531571425e-8,2.257760500816599e-8,3.978160537209314e-8
adjust/DeBruijn.Par.P/adjust/14,1.4290690784567941e-5,1.4283945848052813e-5,1.4299499262636746e-5,2.529736167845348e-8,1.6703855896457305e-8,3.741196169553057e-8
adjust/DeBruijn.Par.P/adjust/15,1.756387680914869e-5,1.7553772083851418e-5,1.7581367835006032e-5,4.4435554775502456e-8,3.009346667600937e-8,6.177742273071586e-8
adjust/DeBruijn.Par.P/adjust/16,2.1160193055330823e-5,2.114205026318603e-5,2.1184826687648047e-5,7.09251175127473e-8,5.0025575762170444e-8,1.0110296811247754e-7
adjust/DeBruijn.Par.P/adjust/17,2.5219697297113263e-5,2.521222304322839e-5,2.5232015771353656e-5,3.125879021380479e-8,2.313304210912356e-8,4.819545789223146e-8
adjust/DeBruijn.Par.P/adjust/18,2.9648257920961723e-5,2.963057761661722e-5,2.9674138065995432e-5,6.983324734104331e-8,5.038818968696999e-8,9.607207450736378e-8
adjust/DeBruijn.Par.P/adjust/19,3.518602395500638e-5,3.51302642786725e-5,3.5327628530072954e-5,2.7784797737036673e-7,1.6620956474021612e-7,5.352087353478635e-7
adjust/DeBruijn.Par.P/adjust/20,4.100682907593976e-5,4.0985622862596124e-5,4.1043002883850615e-5,9.052197056321737e-8,6.716842017598631e-8,1.411884062199423e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.P/adjust/1,2.4901850433922858e-8,2.487893989452115e-8,2.4939071615381988e-8,1.033190861037151e-10,7.449300272351911e-11,1.472893579649041e-10
adjust/DeBruijn.Par.P/adjust/2,9.870267787000608e-8,9.828670223167057e-8,9.915279179030815e-8,1.46171400792484e-9,1.197748595659266e-9,1.9455342954430377e-9
adjust/DeBruijn.Par.P/adjust/3,2.48203678909078e-7,2.477713062465e-7,2.4865345802604265e-7,1.5043055809783596e-9,1.2529981757370716e-9,2.002670458855737e-9
adjust/DeBruijn.Par.P/adjust/4,5.225904594926063e-7,5.201643001685566e-7,5.247132653541542e-7,7.531896070310383e-9,6.118334174397797e-9,9.551717159911877e-9
adjust/DeBruijn.Par.P/adjust/5,9.098128676370203e-7,9.049488287783909e-7,9.143793568225075e-7,1.5668901886798485e-8,1.2749237558571399e-8,1.9502996263744495e-8
adjust/DeBruijn.Par.P/adjust/6,1.5295570871077763e-6,1.5092608307796628e-6,1.540902494929069e-6,5.3006819064387684e-8,2.6383349219126154e-8,8.477856216280003e-8
adjust/DeBruijn.Par.P/adjust/7,1.9192382028886554e-6,1.9181353020056047e-6,1.9206419563980585e-6,4.26475861573945e-9,3.3140156477203882e-9,6.345291523627414e-9
adjust/DeBruijn.Par.P/adjust/8,2.799424620534867e-6,2.7960208291641796e-6,2.8050213800807408e-6,1.4996469913731536e-8,9.62827795450771e-9,2.6613446583944866e-8
adjust/DeBruijn.Par.P/adjust/9,3.88026977179639e-6,3.876544788422204e-6,3.886166897057408e-6,1.514946042147553e-8,1.112636632669363e-8,2.2887081401802196e-8
adjust/DeBruijn.Par.P/adjust/10,5.226159333050696e-6,5.2218549315893545e-6,5.236196287249904e-6,2.0928774240686826e-8,1.0650732406525432e-8,4.1676530899109174e-8
adjust/DeBruijn.Par.P/adjust/11,6.872337540914479e-6,6.864041437758696e-6,6.88905357651498e-6,3.843155635272243e-8,2.2887966007148894e-8,6.495382061551915e-8
adjust/DeBruijn.Par.P/adjust/12,8.883367021081281e-6,8.872422670237601e-6,8.901202453614296e-6,4.833947611471932e-8,3.5847980483154745e-8,6.878587789546983e-8
adjust/DeBruijn.Par.P/adjust/13,1.1098782631473344e-5,1.1094502535014013e-5,1.1104504179376262e-5,1.7390415258302183e-8,1.284996848339888e-8,2.398880929228889e-8
adjust/DeBruijn.Par.P/adjust/14,1.374831400619185e-5,1.3733882634213009e-5,1.3769905639400224e-5,5.789283287673503e-8,3.8990085121376305e-8,8.839708407412876e-8
adjust/DeBruijn.Par.P/adjust/15,1.6837368689854974e-5,1.6816235445058767e-5,1.6876613380431915e-5,9.561675711714069e-8,5.8166151206378126e-8,1.5730699161096056e-7
