Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Scoped/adjust/1,4.209832197615114e-8,4.207766759082234e-8,4.2131768785251855e-8,8.638256803519157e-11,5.477334068613607e-11,1.3176207833031676e-10
adjust/DeBruijn.Par.Scoped/adjust/2,1.346728142330883e-7,1.3453598532150552e-7,1.348905168783505e-7,5.64350948291616e-10,3.416313004075059e-10,8.139928376126873e-10
adjust/DeBruijn.Par.Scoped/adjust/3,3.6345550098896923e-7,3.6327359620240913e-7,3.636795785101387e-7,6.67376732231175e-10,4.80887245535774e-10,8.80126128475225e-10
adjust/DeBruijn.Par.Scoped/adjust/4,7.906240950975912e-7,7.896232802201933e-7,7.919247916334727e-7,3.7179629131776476e-9,2.969543310413542e-9,5.10918153913501e-9
adjust/DeBruijn.Par.Scoped/adjust/5,1.408788104016919e-6,1.407416910025903e-6,1.4126969314327744e-6,6.980558940391937e-9,3.150656654899171e-9,1.319870433956371e-8
adjust/DeBruijn.Par.Scoped/adjust/6,2.3742939349583272e-6,2.3725814452831685e-6,2.376754338770875e-6,6.749340521199389e-9,5.250042679921496e-9,1.0454758485213525e-8
adjust/DeBruijn.Par.Scoped/adjust/7,3.569039556996248e-6,3.566380360771025e-6,3.57320847249708e-6,1.0874917103308949e-8,7.998429539066425e-9,1.4926927093310984e-8
adjust/DeBruijn.Par.Scoped/adjust/8,5.226466381212814e-6,5.222370007985774e-6,5.239185712749805e-6,2.388236639728861e-8,4.96486632744811e-9,4.537881836049435e-8
adjust/DeBruijn.Par.Scoped/adjust/9,7.34553201865733e-6,7.343345296193128e-6,7.351911116343256e-6,1.117667206978692e-8,5.851909404113512e-9,2.066816450923408e-8
adjust/DeBruijn.Par.Scoped/adjust/10,9.983273625540446e-6,9.978960586879606e-6,9.99161060481294e-6,1.9614388561092476e-8,1.0381288110160658e-8,3.5216793079391313e-8
adjust/DeBruijn.Par.Scoped/adjust/11,1.3229996215425276e-5,1.3224206955643412e-5,1.323649083357616e-5,2.057449553952078e-8,1.6195336182785983e-8,2.555812846698389e-8
adjust/DeBruijn.Par.Scoped/adjust/12,1.7239534428272556e-5,1.7234157924803363e-5,1.724508633834626e-5,1.7228296782699034e-8,1.3821693994842949e-8,2.3469411819988375e-8
adjust/DeBruijn.Par.Scoped/adjust/13,2.1849017620764748e-5,2.1841099340539826e-5,2.186046104868347e-5,3.015224108315403e-8,2.2038949786336912e-8,5.18390872885464e-8
adjust/DeBruijn.Par.Scoped/adjust/14,2.7583817329757734e-5,2.757165409203716e-5,2.761366697865853e-5,6.045534593786645e-8,3.45838762937548e-8,1.1483828094472226e-7
adjust/DeBruijn.Par.Scoped/adjust/15,3.4357276329689785e-5,3.433776409508511e-5,3.438297484234522e-5,7.453616581498198e-8,5.64513290792959e-8,9.663525732293445e-8
adjust/DeBruijn.Par.Scoped/adjust/16,4.2048430963379696e-5,4.20296242834548e-5,4.207283959894068e-5,7.089347921800021e-8,5.1902655794490704e-8,9.194213624953984e-8
adjust/DeBruijn.Par.Scoped/adjust/17,5.1063712239144726e-5,5.104388199448527e-5,5.1095167210095025e-5,8.835227517757004e-8,6.09585824728216e-8,1.471569561230611e-7
adjust/DeBruijn.Par.Scoped/adjust/18,6.183024183803396e-5,6.179691158961634e-5,6.187531479688368e-5,1.2924801572501017e-7,8.849709590830035e-8,1.9064884107818517e-7
adjust/DeBruijn.Par.Scoped/adjust/19,7.39080590727186e-5,7.387387643147075e-5,7.395029842207729e-5,1.2231450045336897e-7,9.568641642451006e-8,1.6638688182293739e-7
adjust/DeBruijn.Par.Scoped/adjust/20,8.73667344607937e-5,8.725418236030351e-5,8.76890645007425e-5,6.459096919702719e-7,1.48082731206714e-7,1.2229296949994677e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Scoped/adjust/1,4.150426849967652e-8,4.147963713719541e-8,4.1541198046529616e-8,9.903241706938458e-11,7.60315984677922e-11,1.3706708636338759e-10
adjust/DeBruijn.Par.Scoped/adjust/2,1.3542173309210966e-7,1.3535358600899858e-7,1.355163005297734e-7,2.6508532623807226e-10,2.0307269251426233e-10,3.6266172763203013e-10
adjust/DeBruijn.Par.Scoped/adjust/3,3.667353497350224e-7,3.6649310361702843e-7,3.6703579593126934e-7,8.944791240762227e-10,7.24602872430389e-10,1.0870771926429236e-9
adjust/DeBruijn.Par.Scoped/adjust/4,7.870916558465766e-7,7.862974103515462e-7,7.888405453044234e-7,3.830416423396489e-9,2.3242612888066226e-9,6.645623903227561e-9
adjust/DeBruijn.Par.Scoped/adjust/5,1.4042987862094961e-6,1.4033570527092228e-6,1.4052571104610857e-6,3.268250885425306e-9,2.6859019483498737e-9,4.274278586459164e-9
adjust/DeBruijn.Par.Scoped/adjust/6,2.381441622875211e-6,2.3794483828691816e-6,2.38416201116759e-6,7.866912196409955e-9,6.235530127898215e-9,1.1908673759475498e-8
adjust/DeBruijn.Par.Scoped/adjust/7,3.57894310529639e-6,3.576870448262385e-6,3.581385470546327e-6,7.563278913338856e-9,5.967534605772692e-9,9.467635301905843e-9
adjust/DeBruijn.Par.Scoped/adjust/8,5.239148159799741e-6,5.236685098152303e-6,5.2424581488346896e-6,9.27857946026027e-9,7.1664816769779985e-9,1.1737199155287149e-8
adjust/DeBruijn.Par.Scoped/adjust/9,7.373654522403257e-6,7.368171620656128e-6,7.381294618759267e-6,2.2207566011850232e-8,1.6747183927102786e-8,2.8884257103917587e-8
adjust/DeBruijn.Par.Scoped/adjust/10,1.0010758933419424e-5,1.000551912586098e-5,1.0018221730086736e-5,2.08519416581779e-8,1.5110195007164324e-8,3.1552510080542306e-8
adjust/DeBruijn.Par.Scoped/adjust/11,1.3250510509659635e-5,1.3243736306740368e-5,1.3261438389460664e-5,2.784964138017219e-8,2.0353227090197068e-8,3.758821979121395e-8
adjust/DeBruijn.Par.Scoped/adjust/12,1.733390537575327e-5,1.7324901765828156e-5,1.7347709066653468e-5,3.697785844438726e-8,2.441819440522783e-8,5.503708165667349e-8
adjust/DeBruijn.Par.Scoped/adjust/13,2.1942107622706927e-5,2.19299683983572e-5,2.1958083679150132e-5,4.7861782519699896e-8,3.6737556885958266e-8,6.571393372139133e-8
adjust/DeBruijn.Par.Scoped/adjust/14,2.776561689535004e-5,2.7753996224351833e-5,2.778453088704421e-5,4.84423914859932e-8,3.3312960182414814e-8,8.411609136709121e-8
adjust/DeBruijn.Par.Scoped/adjust/15,3.4525544791805126e-5,3.45073390804541e-5,3.456153890852673e-5,8.24590557731664e-8,5.424690087516444e-8,1.3019906968501923e-7
adjust/DeBruijn.Par.Scoped/adjust/16,4.23086997919684e-5,4.2283232745982834e-5,4.234542090417107e-5,9.898392414366584e-8,7.388233840665452e-8,1.2987899859326602e-7
adjust/DeBruijn.Par.Scoped/adjust/17,5.1432316616261615e-5,5.140284558151585e-5,5.146725876965864e-5,1.0465197859215097e-7,8.70991465167502e-8,1.257405335322203e-7
adjust/DeBruijn.Par.Scoped/adjust/18,6.253258415606857e-5,6.248519842408904e-5,6.258931650791324e-5,1.7015626443209597e-7,1.4426209745361307e-7,2.042933256284346e-7
adjust/DeBruijn.Par.Scoped/adjust/19,7.433388849343375e-5,7.42946043522693e-5,7.43869572391014e-5,1.5464459659537354e-7,1.2273557574461143e-7,2.0201127592485393e-7
adjust/DeBruijn.Par.Scoped/adjust/20,8.828347260269371e-5,8.820910630033448e-5,8.839159651404273e-5,3.0227081046898054e-7,2.2730834372560282e-7,4.683017024219118e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Scoped/adjust/1,4.139921077296073e-8,4.138366276564235e-8,4.1419260056465055e-8,5.763200655088788e-11,4.504752515170734e-11,8.042503377362091e-11
adjust/DeBruijn.Par.Scoped/adjust/2,1.3506939942691945e-7,1.350259446210186e-7,1.3513464076691746e-7,1.6877471862946937e-10,1.227842564505619e-10,2.543160773289213e-10
adjust/DeBruijn.Par.Scoped/adjust/3,3.6630172089791494e-7,3.6605146288648534e-7,3.6671960741935706e-7,1.109111807754061e-9,8.037072597588003e-10,1.6420377393295653e-9
adjust/DeBruijn.Par.Scoped/adjust/4,7.836440547301156e-7,7.832596574170412e-7,7.846576439317009e-7,1.8417372548985214e-9,9.456418040698604e-10,3.4248948856310692e-9
adjust/DeBruijn.Par.Scoped/adjust/5,1.3994536870891184e-6,1.3984246410352793e-6,1.4009005519597641e-6,4.054325585334525e-9,2.8346371637536176e-9,5.307197701682637e-9
adjust/DeBruijn.Par.Scoped/adjust/6,2.3755756594910306e-6,2.3746567829159514e-6,2.377504761746918e-6,4.3592666894245945e-9,2.405434953570135e-9,7.431339835623362e-9
adjust/DeBruijn.Par.Scoped/adjust/7,3.568082863696802e-6,3.5665156292645973e-6,3.5707517146920316e-6,7.1396787497165516e-9,5.06240901548776e-9,1.005902506686077e-8
adjust/DeBruijn.Par.Scoped/adjust/8,5.228507421590896e-6,5.225167672817173e-6,5.234288070836975e-6,1.4167814722417907e-8,9.224394259273525e-9,2.130344457065806e-8
