Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.TAPL/adjust/1,5.176894495928772e-8,5.140966188166525e-8,5.203013261360654e-8,1.0096775081409577e-9,7.780867138809976e-10,1.4751921212894107e-9
adjust/DeBruijn.TAPL/adjust/2,1.683703187545336e-7,1.6754691891452478e-7,1.6901386340438177e-7,2.3501742026237074e-9,1.836737214330085e-9,3.262839932685353e-9
adjust/DeBruijn.TAPL/adjust/3,3.6970285647251444e-7,3.6848539527773163e-7,3.712933155875807e-7,4.7749564170225175e-9,3.7363974780197974e-9,6.6905074952917826e-9
adjust/DeBruijn.TAPL/adjust/4,6.922603855558525e-7,6.883714642103315e-7,6.961445129636973e-7,1.3017170907060087e-8,1.0694106247921277e-8,1.555203642313404e-8
adjust/DeBruijn.TAPL/adjust/5,1.0404174340788322e-6,1.036624412701066e-6,1.0445250803674393e-6,1.3293761945763258e-8,1.0783694284725903e-8,1.7229374576411554e-8
adjust/DeBruijn.TAPL/adjust/6,1.6133415057222955e-6,1.603921983551269e-6,1.6238486606147633e-6,3.2562438151608314e-8,2.7766180797447698e-8,4.135672778313344e-8
adjust/DeBruijn.TAPL/adjust/7,2.154146722752648e-6,2.1391538753898595e-6,2.1672314346029397e-6,4.7149232975179955e-8,3.795009470978534e-8,5.987740861163194e-8
adjust/DeBruijn.TAPL/adjust/8,2.9228747556401316e-6,2.90590956703764e-6,2.9380177084910296e-6,5.557133392774744e-8,4.5505554905186015e-8,7.29112591945755e-8
adjust/DeBruijn.TAPL/adjust/9,3.81147422124508e-6,3.793179292156462e-6,3.829417344611507e-6,6.169845249080354e-8,5.1194395435254635e-8,8.03349975280346e-8
adjust/DeBruijn.TAPL/adjust/10,4.124437637549469e-6,4.122842238434643e-6,4.1268459378100635e-6,6.317504725711832e-9,4.672490782588401e-9,9.73270874571735e-9
adjust/DeBruijn.TAPL/adjust/11,5.207901880876905e-6,5.20541420338251e-6,5.211881329511896e-6,1.0393762925144707e-8,6.772722796602804e-9,1.7470875009152133e-8
adjust/DeBruijn.TAPL/adjust/12,6.359912499242901e-6,6.357028223611642e-6,6.363605770226228e-6,1.1690167307785991e-8,8.845015209795955e-9,1.4823826216169196e-8
adjust/DeBruijn.TAPL/adjust/13,7.71335422875459e-6,7.709549311878772e-6,7.721360049921572e-6,1.7573389381600925e-8,1.0056853614158687e-8,2.991907963629539e-8
adjust/DeBruijn.TAPL/adjust/14,9.208383268083219e-6,9.203709092769328e-6,9.214682964969757e-6,1.8861102261672094e-8,1.31394612612884e-8,2.61173198881219e-8
adjust/DeBruijn.TAPL/adjust/15,1.094862859353978e-5,1.0940986977645708e-5,1.0961233318867475e-5,3.171442807046043e-8,1.8399027966406743e-8,4.394293099329496e-8
