Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Opt/adjust/1,5.1793013377530486e-8,5.1720526424120625e-8,5.19493088149537e-8,3.266983023138823e-10,2.0611297529354496e-10,5.708049524613984e-10
adjust/LocallyNameless.Opt/adjust/2,1.7163841124715794e-7,1.7091241459497056e-7,1.7314917414796798e-7,3.2236378609863974e-9,2.1896303239101913e-9,4.7093799281796625e-9
adjust/LocallyNameless.Opt/adjust/3,3.8575018215172244e-7,3.816282357802075e-7,4.021087062918663e-7,2.6055094565787963e-8,1.9986750998925303e-9,5.53403803500497e-8
adjust/LocallyNameless.Opt/adjust/4,7.070199716468164e-7,7.06244253449005e-7,7.080468915523037e-7,3.053363920608311e-9,2.0889363488687487e-9,4.6994386578464505e-9
adjust/LocallyNameless.Opt/adjust/5,1.11298748738603e-6,1.1115782267031389e-6,1.1152966499484503e-6,5.744451325165643e-9,3.415930667386485e-9,8.37305161415719e-9
adjust/LocallyNameless.Opt/adjust/6,1.6192501607756803e-6,1.6177918513341096e-6,1.6212066549058552e-6,5.7172981305173e-9,4.345268517438864e-9,8.282967665091526e-9
adjust/LocallyNameless.Opt/adjust/7,2.27301069921428e-6,2.2691238584478873e-6,2.2792077631623123e-6,1.5267741262403023e-8,1.024567130726395e-8,2.2703833425870453e-8
adjust/LocallyNameless.Opt/adjust/8,3.1324271730816032e-6,3.129120636618615e-6,3.1361573721459193e-6,1.1970368028074482e-8,1.0295112334415233e-8,1.4243524457130963e-8
adjust/LocallyNameless.Opt/adjust/9,4.246073242809164e-6,4.241579033070707e-6,4.25323184576433e-6,1.922752743284208e-8,1.2426247118991398e-8,2.8919541672828253e-8
adjust/LocallyNameless.Opt/adjust/10,5.548772388100179e-6,5.54572617477163e-6,5.5528163897160635e-6,1.1821122344437221e-8,9.204263231260582e-9,1.771855393239936e-8
adjust/LocallyNameless.Opt/adjust/11,7.087133039198895e-6,7.082311263861758e-6,7.0957258802135814e-6,2.0612348205152503e-8,1.3192374592433119e-8,3.5473513491683565e-8
adjust/LocallyNameless.Opt/adjust/12,8.7825506472573e-6,8.777658155832635e-6,8.787963316695783e-6,1.7667657880039885e-8,1.4838916601075002e-8,2.1998208831414172e-8
adjust/LocallyNameless.Opt/adjust/13,1.0553180189270616e-5,1.0537167605764817e-5,1.057128248877934e-5,5.8691704927772914e-8,4.477077650542209e-8,8.274348781481897e-8
adjust/LocallyNameless.Opt/adjust/14,1.2757588620446786e-5,1.2724957447353289e-5,1.281550854368148e-5,1.4098936468803376e-7,9.523523536285611e-8,2.3850779402427705e-7
adjust/LocallyNameless.Opt/adjust/15,1.481553763311577e-5,1.480622814384572e-5,1.4846362922625503e-5,5.2728962346545375e-8,1.6373153749946272e-8,1.1473352106411083e-7
adjust/LocallyNameless.Opt/adjust/16,1.74637032320135e-5,1.7448128041800378e-5,1.7482651020033624e-5,5.583682556262585e-8,4.736099531656736e-8,7.215157578910693e-8
adjust/LocallyNameless.Opt/adjust/17,2.0543444968254195e-5,2.0532776107359954e-5,2.0563875307865363e-5,4.874210578077184e-8,2.7514054994488434e-8,7.948069222648977e-8
adjust/LocallyNameless.Opt/adjust/18,2.3801126299708798e-5,2.379057139051994e-5,2.3813978861165325e-5,3.782749196665914e-8,3.0746507011357324e-8,4.849451401456515e-8
adjust/LocallyNameless.Opt/adjust/19,2.7262814317160344e-5,2.7229705581572417e-5,2.733746189421627e-5,1.6154687462310335e-7,8.082726081562173e-8,2.812751550027442e-7
adjust/LocallyNameless.Opt/adjust/20,3.130015190215646e-5,3.1230593378374056e-5,3.160451174912121e-5,4.078447349614051e-7,7.157010127738793e-8,9.243277161629415e-7
