Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Opt/capt/1,9.701431344023167e-8,9.672918856427764e-8,9.775418765049256e-8,1.4430979483138927e-9,8.059895936120643e-10,2.834141227704464e-9
capt/LocallyNameless.Opt/capt/2,1.2119929538459262e-7,1.2103570312498803e-7,1.2142922126637818e-7,6.094097698567612e-10,4.4188643210614073e-10,8.710637315865839e-10
capt/LocallyNameless.Opt/capt/3,1.4756909339440536e-7,1.4735652093127844e-7,1.4813696419695957e-7,1.1260179911734497e-9,4.2122048758510713e-10,2.077875888516092e-9
capt/LocallyNameless.Opt/capt/4,1.7399668584562008e-7,1.736920163376705e-7,1.7450284616653576e-7,1.330321682544978e-9,8.328796183525712e-10,2.120255880157852e-9
capt/LocallyNameless.Opt/capt/5,2.0065637562928484e-7,2.0025253610218486e-7,2.0123436923464766e-7,1.6053659906300454e-9,1.2497186325317414e-9,2.069474835354392e-9
capt/LocallyNameless.Opt/capt/6,2.2957806498157911e-7,2.289228484478962e-7,2.321736219584611e-7,3.741568493963351e-9,1.1142285977639978e-9,7.580150199803633e-9
capt/LocallyNameless.Opt/capt/7,2.6405297481305737e-7,2.6316197083829314e-7,2.6578251005273795e-7,3.868641574936416e-9,2.5362058224728187e-9,5.756742821573568e-9
capt/LocallyNameless.Opt/capt/8,2.9432280788601067e-7,2.9383857452341083e-7,2.949591639439701e-7,1.8325127556153908e-9,1.3408337112441216e-9,2.6713322612417683e-9
capt/LocallyNameless.Opt/capt/9,3.2539214525896696e-7,3.2500916944653785e-7,3.2587967130478413e-7,1.37653509345556e-9,1.0692406463538095e-9,2.0872244152032636e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Opt/capt/1,9.786826572509759e-8,9.778900786817287e-8,9.796547070503846e-8,2.893277435569322e-10,2.2050748422444625e-10,3.740613410509737e-10
capt/LocallyNameless.Opt/capt/2,1.2344045052183205e-7,1.233847445881451e-7,1.2350977223376764e-7,1.993428858206632e-10,1.5741605679797236e-10,2.752647112866832e-10
capt/LocallyNameless.Opt/capt/3,1.4968523696554439e-7,1.495744991002901e-7,1.498235994466197e-7,4.2385911903215017e-10,3.388792117666045e-10,5.466275930977761e-10
capt/LocallyNameless.Opt/capt/4,1.7696963748358584e-7,1.7671746560854396e-7,1.7749448550786709e-7,1.14555287742701e-9,6.615332474333928e-10,2.0561671461258366e-9
capt/LocallyNameless.Opt/capt/5,2.0522933316924905e-7,2.0460470518475148e-7,2.0636095075859332e-7,2.808256144411391e-9,1.6925669257389377e-9,4.6986953347403285e-9
capt/LocallyNameless.Opt/capt/6,2.317095296644972e-7,2.3156615725095224e-7,2.318854360689139e-7,5.538208372320926e-10,4.1093267071462847e-10,8.148617116593154e-10
capt/LocallyNameless.Opt/capt/7,2.652438889550612e-7,2.6505817136258077e-7,2.654185128152998e-7,6.27212265784783e-10,5.182941128828631e-10,7.909655120921683e-10
capt/LocallyNameless.Opt/capt/8,2.9972572743473067e-7,2.994766120864045e-7,2.99998474014998e-7,8.904247715285338e-10,7.726686485989387e-10,1.041413143004972e-9
capt/LocallyNameless.Opt/capt/9,3.311397200460676e-7,3.308394805659416e-7,3.3160920082315763e-7,1.259528610680426e-9,8.837090714632725e-10,1.8884168733989305e-9
