Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Opt/con/1,4.5651784779951804e-8,4.5591292228641994e-8,4.572374935674364e-8,2.1285087735429728e-10,1.7035518226336404e-10,2.6515959826198354e-10
con/LocallyNameless.Opt/con/2,7.129860660979684e-8,7.11696470937396e-8,7.147044923828554e-8,4.743435108572791e-10,3.5326133457419837e-10,7.162457493199325e-10
con/LocallyNameless.Opt/con/3,9.528457138972369e-8,9.5134092423e-8,9.550622319500552e-8,6.07908842155632e-10,4.288074439379016e-10,9.914345896927303e-10
con/LocallyNameless.Opt/con/4,1.2081720378536917e-7,1.205148633940762e-7,1.2117383543786204e-7,1.1236884352243095e-9,8.974756588006332e-10,1.4671502803442484e-9
con/LocallyNameless.Opt/con/5,1.456139919389491e-7,1.4547747001440907e-7,1.4579444084369566e-7,5.177398894298461e-10,4.050589756691508e-10,6.449150157885536e-10
con/LocallyNameless.Opt/con/6,1.7176760882230894e-7,1.7150315362811942e-7,1.7243942465799447e-7,1.4053964700729512e-9,7.723713749307537e-10,2.7413342874997804e-9
con/LocallyNameless.Opt/con/7,1.9930842118259684e-7,1.989666515311836e-7,1.99873215087425e-7,1.4552751364870485e-9,9.617158270965895e-10,2.2578248933898304e-9
con/LocallyNameless.Opt/con/8,2.332484366958733e-7,2.3290873538829131e-7,2.3382306703104065e-7,1.456463566580669e-9,8.769905650665747e-10,2.2998403422653434e-9
con/LocallyNameless.Opt/con/9,2.5957771570294663e-7,2.589273169919959e-7,2.6072658212467475e-7,2.733129799824926e-9,1.808473231520603e-9,4.790498409738022e-9
con/LocallyNameless.Opt/con/10,2.9174040146201636e-7,2.9123337037310683e-7,2.926777697416327e-7,2.234211490953736e-9,1.3436652388392806e-9,3.751025496050175e-9
con/LocallyNameless.Opt/con/11,3.2970104335496347e-7,3.291359780841777e-7,3.303704971557382e-7,2.074533017198534e-9,1.7788697625172912e-9,2.483981897757472e-9
con/LocallyNameless.Opt/con/12,3.662132593704527e-7,3.654158479259364e-7,3.6809440483286695e-7,4.095883717891764e-9,2.381066009641724e-9,7.243884672412157e-9
con/LocallyNameless.Opt/con/13,3.8600891692503773e-7,3.852093290241792e-7,3.869079161364305e-7,3.0122408742932273e-9,2.49191820818708e-9,3.784022213796275e-9
con/LocallyNameless.Opt/con/14,4.201591851772705e-7,4.194316328484405e-7,4.213495422675039e-7,3.1279477962380366e-9,2.03427846471053e-9,5.1556151084658285e-9
con/LocallyNameless.Opt/con/15,4.464666551818539e-7,4.4537789971206427e-7,4.480040987467074e-7,4.207221174347984e-9,3.0650362968643933e-9,5.930985530234822e-9
con/LocallyNameless.Opt/con/16,4.736214183983605e-7,4.7242648551724216e-7,4.760559805403978e-7,5.648786442339582e-9,3.002611104558885e-9,9.813305843108172e-9
con/LocallyNameless.Opt/con/17,5.001300332986463e-7,4.992719851659171e-7,5.016269729035207e-7,3.8704857709571e-9,2.333979886253867e-9,6.962705212167975e-9
