Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Opt/ids/1,4.5884961513235336e-8,4.574166449984991e-8,4.621205064791099e-8,6.903127173176546e-10,4.084402171042751e-10,1.2681210369607027e-9
ids/LocallyNameless.Opt/ids/2,5.624015984635586e-8,5.607266826974453e-8,5.65759843768136e-8,8.0090935197865e-10,4.182831575999714e-10,1.3638018545770484e-9
ids/LocallyNameless.Opt/ids/3,6.487971945377541e-8,6.485041188889208e-8,6.491328825504119e-8,1.0827978939729975e-10,8.525971593008141e-11,1.4514384570760875e-10
ids/LocallyNameless.Opt/ids/4,8.51764301762974e-8,8.498728810040938e-8,8.553875675405693e-8,8.565965338025963e-10,4.744229249547443e-10,1.435726707551973e-9
ids/LocallyNameless.Opt/ids/5,9.042920912401419e-8,9.030796231707449e-8,9.057882937641723e-8,4.471985384859258e-10,3.645748251282449e-10,5.541598324812278e-10
ids/LocallyNameless.Opt/ids/6,9.988893404657182e-8,9.980775131834967e-8,9.997932263092267e-8,2.9464051598412195e-10,2.3283297595180796e-10,3.974577398304829e-10
ids/LocallyNameless.Opt/ids/7,1.1023082637371792e-7,1.0984484950432508e-7,1.1104649956032579e-7,1.8671220382273652e-9,9.610714919083329e-10,3.3918314130074047e-9
ids/LocallyNameless.Opt/ids/8,1.1943773649975884e-7,1.1892682017555284e-7,1.208409828109126e-7,2.5838379664707077e-9,1.0971236472488055e-9,5.387300354264333e-9
ids/LocallyNameless.Opt/ids/9,1.2764117489266163e-7,1.2736209006835136e-7,1.2817444570979608e-7,1.2752094637159315e-9,7.5738789686444e-10,1.947596528936376e-9
ids/LocallyNameless.Opt/ids/10,1.3809073833775284e-7,1.3784642136156726e-7,1.390620489634187e-7,1.496708933492507e-9,5.39601438140945e-10,3.0085780617679137e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Opt/ids/1,4.63092923529854e-8,4.629212068718308e-8,4.633862543630602e-8,7.709185632948086e-11,4.6820372151760023e-11,1.2405292016789337e-10
ids/LocallyNameless.Opt/ids/2,5.695757056880825e-8,5.6913046683003524e-8,5.704903110898741e-8,1.9544798810079776e-10,1.1136226380400327e-10,3.453156789511471e-10
ids/LocallyNameless.Opt/ids/3,6.825732790816984e-8,6.819060481543316e-8,6.836964347311936e-8,2.767547836305821e-10,1.7382378247512533e-10,4.6045800011109766e-10
ids/LocallyNameless.Opt/ids/4,8.919946512891664e-8,8.914754616656099e-8,8.925521176018764e-8,1.8380627077394763e-10,1.6264157212428073e-10,2.1340748553311194e-10
ids/LocallyNameless.Opt/ids/5,9.364576800717088e-8,9.355382492534096e-8,9.375573910448772e-8,3.523010153394749e-10,2.369018879245992e-10,4.933707754203686e-10
ids/LocallyNameless.Opt/ids/6,1.0379668978472173e-7,1.0347789216707284e-7,1.0464611304145385e-7,1.6211550229695759e-9,6.247884144179344e-10,2.8547548957244806e-9
ids/LocallyNameless.Opt/ids/7,1.1283310618056244e-7,1.1273561947042917e-7,1.1298469248901712e-7,3.94444112328295e-10,2.8829899839044794e-10,5.424823456883312e-10
ids/LocallyNameless.Opt/ids/8,1.2297727584640958e-7,1.229095126150893e-7,1.2314731776047954e-7,3.481324589727521e-10,1.552604254966796e-10,6.817090501670818e-10
ids/LocallyNameless.Opt/ids/9,1.3337047161767829e-7,1.3327533029065498e-7,1.3358446009539287e-7,4.6003219918223885e-10,2.40252068187419e-10,9.079195332930686e-10
ids/LocallyNameless.Opt/ids/10,1.4296046089723024e-7,1.4284775929328207e-7,1.4315883712152036e-7,4.909601378241534e-10,2.6824454949346716e-10,9.183162596780804e-10
