Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Ott/adjust/1,4.100341673924411e-8,4.0687651336117653e-8,4.145427047887609e-8,1.1957164259000498e-9,9.595002701299098e-10,1.7034162558231374e-9
adjust/LocallyNameless.Ott/adjust/2,1.8720877555391608e-7,1.8571574742298263e-7,1.8908752432392125e-7,5.5532032501746844e-9,4.769507084793498e-9,6.725297181227837e-9
adjust/LocallyNameless.Ott/adjust/3,4.884083341557903e-7,4.85910332867381e-7,4.931335094559253e-7,1.1352605067482565e-8,4.844737937225978e-9,1.8192163215563867e-8
adjust/LocallyNameless.Ott/adjust/4,1.0792256782473416e-6,1.0702327430555196e-6,1.0963765080226383e-6,4.097353551978822e-8,1.9747657102465965e-8,6.456909493145543e-8
adjust/LocallyNameless.Ott/adjust/5,1.860373798631918e-6,1.8437574875068284e-6,1.8992928670772164e-6,7.971579456724644e-8,4.252110060778937e-8,1.42770911086142e-7
adjust/LocallyNameless.Ott/adjust/6,2.842147941366637e-6,2.8389130814518048e-6,2.8466151104184986e-6,1.2896452377525437e-8,1.003567549654958e-8,1.681370648750038e-8
adjust/LocallyNameless.Ott/adjust/7,4.193301891225246e-6,4.175828998694524e-6,4.259132721890498e-6,1.083377397530372e-7,1.672290174512003e-8,2.2866219249203397e-7
adjust/LocallyNameless.Ott/adjust/8,5.9333278700510355e-6,5.925745042067981e-6,5.940950916806422e-6,2.6317736195520565e-8,2.0254558313400883e-8,3.620567010828925e-8
adjust/LocallyNameless.Ott/adjust/9,8.142953257820412e-6,8.137012076138834e-6,8.153717190142088e-6,2.5422422517369004e-8,1.76957030474869e-8,4.3722525651552227e-8
adjust/LocallyNameless.Ott/adjust/10,1.0811718137028663e-5,1.0804235718540114e-5,1.0823556686611569e-5,3.1246279754960426e-8,2.1495549699855064e-8,5.502649193052752e-8
adjust/LocallyNameless.Ott/adjust/11,1.4016917965913596e-5,1.4006541486567032e-5,1.403923535969725e-5,4.998907717769189e-8,2.9577530292932102e-8,7.964176913379075e-8
adjust/LocallyNameless.Ott/adjust/12,1.7745367832545923e-5,1.7735590426415836e-5,1.7755342545803556e-5,3.193481020176944e-8,2.6921537085950533e-8,4.238324131102381e-8
adjust/LocallyNameless.Ott/adjust/13,2.266889777898369e-5,2.2569987880350463e-5,2.302761932901416e-5,5.448513803441564e-7,1.823077653868152e-7,1.0823735416423265e-6
adjust/LocallyNameless.Ott/adjust/14,2.7591993793016298e-5,2.7560457746344234e-5,2.7667624459408354e-5,1.4983102031873358e-7,8.242901707443537e-8,2.7723311422466693e-7
adjust/LocallyNameless.Ott/adjust/15,3.318303195230282e-5,3.3145630820742324e-5,3.327049316232763e-5,1.8715787638655867e-7,9.777272783771736e-8,2.9979302341191034e-7
adjust/LocallyNameless.Ott/adjust/16,3.979607655788495e-5,3.975757742308323e-5,3.987124709509713e-5,1.8383325396014654e-7,9.845806069814402e-8,3.1442887678417505e-7
adjust/LocallyNameless.Ott/adjust/17,4.8064087412688056e-5,4.7984321304990535e-5,4.8438322296812644e-5,4.892659700424168e-7,5.2574951458852055e-8,1.116459638899045e-6
adjust/LocallyNameless.Ott/adjust/18,5.633648931887455e-5,5.629939874277374e-5,5.638870110346314e-5,1.5074957989561773e-7,1.2345345271227433e-7,1.9311447384353466e-7
adjust/LocallyNameless.Ott/adjust/19,6.549388850878058e-5,6.544122538220529e-5,6.558687576384277e-5,2.3123271414721312e-7,1.4177358208019737e-7,3.6393183738532137e-7
adjust/LocallyNameless.Ott/adjust/20,7.544926147470729e-5,7.532151954355982e-5,7.567011846318998e-5,5.676384312794424e-7,3.301384877814551e-7,8.334835307170048e-7
