Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Ott/capt/1,8.326422320296663e-8,8.310647531644111e-8,8.345536432534157e-8,6.117064989386023e-10,4.876218893686526e-10,7.897207818432887e-10
capt/LocallyNameless.Ott/capt/2,1.1549312475693843e-7,1.1518704172504392e-7,1.1607992295518283e-7,1.3907324375838246e-9,8.803673459127442e-10,2.3476051214376954e-9
capt/LocallyNameless.Ott/capt/3,1.5140477106985903e-7,1.512864329340146e-7,1.5171812112017724e-7,5.918802566715431e-10,2.505179301678738e-10,1.1388375430587753e-9
capt/LocallyNameless.Ott/capt/4,1.927385912440479e-7,1.9235223172099965e-7,1.93331237584779e-7,1.5918288012054095e-9,1.1825841909525205e-9,2.5162196287622756e-9
capt/LocallyNameless.Ott/capt/5,2.365767128573658e-7,2.3625821221971256e-7,2.3698793945354503e-7,1.2227417829583963e-9,1.013397513063055e-9,1.4666988641748786e-9
capt/LocallyNameless.Ott/capt/6,2.9081454382515097e-7,2.9005514536912357e-7,2.914896249566619e-7,2.493085942718343e-9,2.173865085132182e-9,3.0229931362278447e-9
capt/LocallyNameless.Ott/capt/7,3.361387361675913e-7,3.355790211646862e-7,3.3692346387022216e-7,2.2025165260363366e-9,1.698457855868531e-9,3.2109392535283623e-9
capt/LocallyNameless.Ott/capt/8,4.0613713610529074e-7,4.0419372820226654e-7,4.109649403338721e-7,9.463073547130315e-9,4.661109456887957e-9,1.7781256513888127e-8
capt/LocallyNameless.Ott/capt/9,4.662776580207544e-7,4.6559885347712843e-7,4.6761183645258826e-7,3.1500076764150976e-9,2.105330403616737e-9,5.326505477435145e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Ott/capt/1,8.546864891075397e-8,8.530691096923494e-8,8.582589506890137e-8,7.83990800502238e-10,3.029041029647606e-10,1.4672736013171662e-9
capt/LocallyNameless.Ott/capt/2,1.1848510056011274e-7,1.1840076080558299e-7,1.1868013464231964e-7,4.052177663988373e-10,1.9695791653334827e-10,7.755241327484475e-10
capt/LocallyNameless.Ott/capt/3,1.5697821197662903e-7,1.5685695396472484e-7,1.5724122658913857e-7,5.441844716996657e-10,3.687934717086777e-10,9.091205967001241e-10
capt/LocallyNameless.Ott/capt/4,1.984727476163276e-7,1.9786048383261907e-7,2.007936637380535e-7,3.625458246708371e-9,8.196828353021345e-10,7.543172835637684e-9
capt/LocallyNameless.Ott/capt/5,2.4216511124846065e-7,2.4188682843876766e-7,2.4262414923344604e-7,1.1517925885440618e-9,7.651992843456419e-10,1.91183403532173e-9
capt/LocallyNameless.Ott/capt/6,2.9322124718440897e-7,2.93015666500307e-7,2.934870648095157e-7,7.736192506736535e-10,6.198485176289272e-10,1.0190867253730945e-9
capt/LocallyNameless.Ott/capt/7,3.4745262179217024e-7,3.458089096735151e-7,3.5062111288799806e-7,7.601199144454882e-9,3.3773858106428598e-9,1.2536556890567924e-8
capt/LocallyNameless.Ott/capt/8,4.1767193372118125e-7,4.16659395972095e-7,4.1879416832342856e-7,3.473942930753659e-9,3.0935229604622503e-9,3.93086295297816e-9
capt/LocallyNameless.Ott/capt/9,4.836025902294233e-7,4.822769810749022e-7,4.894795586802453e-7,7.396531499662048e-9,2.2521248297552857e-9,1.5987910364674496e-8
