Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Ott/con/1,3.2601550567451656e-8,3.252789029010725e-8,3.272308347549692e-8,3.079045881764083e-10,2.1964811668598081e-10,4.689451305768079e-10
con/LocallyNameless.Ott/con/2,5.523331460449263e-8,5.517005611361385e-8,5.533280802417671e-8,2.769451891506364e-10,2.2070911867809584e-10,3.7745044951917657e-10
con/LocallyNameless.Ott/con/3,8.253426714384595e-8,8.242144826476318e-8,8.267717898571268e-8,4.4474975991025804e-10,3.274413994904073e-10,6.109415647821723e-10
con/LocallyNameless.Ott/con/4,1.1365124709107583e-7,1.1339199204807813e-7,1.1404217278066408e-7,1.0881003347660402e-9,7.824618315106791e-10,1.4732698105634616e-9
con/LocallyNameless.Ott/con/5,1.4930565876818414e-7,1.4863203237590424e-7,1.509356834059718e-7,3.2548959448639896e-9,1.914213408051113e-9,5.852981501369018e-9
con/LocallyNameless.Ott/con/6,1.9751310781228924e-7,1.9636790090358053e-7,1.9852799741548242e-7,3.735365201828783e-9,3.1448127943179467e-9,4.6062569348643096e-9
con/LocallyNameless.Ott/con/7,2.3464375828110452e-7,2.336006560762972e-7,2.3579984285430779e-7,3.7754212800028725e-9,2.9370930448513028e-9,4.931531260833154e-9
con/LocallyNameless.Ott/con/8,2.763280549433654e-7,2.758857714911441e-7,2.7722169458271695e-7,2.0637246453694903e-9,1.2610763746677406e-9,3.4965386700797027e-9
con/LocallyNameless.Ott/con/9,3.4684396845093397e-7,3.464594461222718e-7,3.4732665895696197e-7,1.4279991278668857e-9,1.1659771050568223e-9,1.7597244688800182e-9
con/LocallyNameless.Ott/con/10,4.1563698904810175e-7,4.1485988809566376e-7,4.170242833734419e-7,3.339491521114933e-9,2.2895653464517167e-9,5.715047135822397e-9
con/LocallyNameless.Ott/con/11,4.6964278744488967e-7,4.6882008615472214e-7,4.708316554066588e-7,3.176990258711242e-9,2.427218365887857e-9,4.1021608338295414e-9
con/LocallyNameless.Ott/con/12,5.593217930469304e-7,5.582436430366126e-7,5.607106956301131e-7,4.032658905193761e-9,3.4343331884422105e-9,5.2743561917038524e-9
con/LocallyNameless.Ott/con/13,6.471657418169162e-7,6.460366860869285e-7,6.48928791753903e-7,4.853682805510423e-9,3.6508724021611584e-9,7.524790886384628e-9
con/LocallyNameless.Ott/con/14,7.241545018203543e-7,7.230825206908747e-7,7.257252322660695e-7,4.289189002996306e-9,3.0221608130009996e-9,7.392004962896421e-9
con/LocallyNameless.Ott/con/15,8.164929704657665e-7,8.153427376275672e-7,8.178999977130161e-7,4.1166978190313135e-9,3.2856208602019026e-9,5.207032241514526e-9
con/LocallyNameless.Ott/con/16,9.118816980583374e-7,9.100553927993383e-7,9.142766447683722e-7,7.173339313211872e-9,5.9514027749823045e-9,8.847112952033091e-9
con/LocallyNameless.Ott/con/17,9.96751568024524e-7,9.950191228741201e-7,1.0003464416161862e-6,8.671875733185588e-9,5.742898550213531e-9,1.3523369018748852e-8
con/LocallyNameless.Ott/con/18,1.0868705971656761e-6,1.0851258780745515e-6,1.0898677446914752e-6,7.202083411793632e-9,4.798454459296563e-9,1.261097199249475e-8
con/LocallyNameless.Ott/con/19,1.199093543280468e-6,1.197497801982821e-6,1.200953366021891e-6,5.728080763658169e-9,4.728887506119333e-9,7.124093792664209e-9
