Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Ott/ids/1,3.2620895627652394e-8,3.256923767595984e-8,3.2676635132898267e-8,1.72972988087649e-10,1.421576587548952e-10,2.12491246632555e-10
ids/LocallyNameless.Ott/ids/2,3.9476249286647105e-8,3.9437399330080146e-8,3.954592284615124e-8,1.6959411060519983e-10,1.1084093530459062e-10,2.793586665059833e-10
ids/LocallyNameless.Ott/ids/3,4.5061665930695985e-8,4.4948928778858804e-8,4.525105740781119e-8,4.547121806631364e-10,2.877816620683473e-10,7.703177623173297e-10
ids/LocallyNameless.Ott/ids/4,5.0317255768244475e-8,5.019728023175967e-8,5.054986604061665e-8,5.37628403661431e-10,3.297604037371295e-10,9.143496120010538e-10
ids/LocallyNameless.Ott/ids/5,6.792241613527412e-8,6.78204690337033e-8,6.804579592441887e-8,3.9083340435599533e-10,3.372342018250546e-10,4.765074782019301e-10
ids/LocallyNameless.Ott/ids/6,6.827583062185817e-8,6.814596539041886e-8,6.849210070284978e-8,5.576996518440471e-10,4.173950195662578e-10,7.517232278462938e-10
ids/LocallyNameless.Ott/ids/7,7.36388890645089e-8,7.34997172912424e-8,7.382026086614851e-8,5.337018424963837e-10,4.124258620237399e-10,7.662590550991823e-10
ids/LocallyNameless.Ott/ids/8,7.959762986897203e-8,7.946593326172112e-8,7.979256163500473e-8,5.286588811075249e-10,4.050794027509769e-10,7.179375629347182e-10
ids/LocallyNameless.Ott/ids/9,8.528053783006624e-8,8.506630715587209e-8,8.560156162879186e-8,8.815416177970373e-10,6.80286773235452e-10,1.2510942250216053e-9
ids/LocallyNameless.Ott/ids/10,9.022855252178296e-8,9.012073268595753e-8,9.04060906055674e-8,4.490876879859354e-10,3.285339142317925e-10,6.642568319338649e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Ott/ids/1,3.348704316966663e-8,3.34519198318953e-8,3.3560151457630635e-8,1.6692672454442338e-10,1.0742072713326761e-10,2.5938298438581426e-10
ids/LocallyNameless.Ott/ids/2,4.0722676739435625e-8,4.0609253301569935e-8,4.104580485820811e-8,5.66233257095906e-10,1.5121075645982343e-10,1.1923103249066271e-9
ids/LocallyNameless.Ott/ids/3,4.587614881213289e-8,4.586051872943407e-8,4.58957450473193e-8,5.839377599375669e-11,4.7346964737778e-11,7.857627333287711e-11
ids/LocallyNameless.Ott/ids/4,5.2367951967706387e-8,5.2282045938265446e-8,5.2767216665572974e-8,4.802886191825843e-10,2.0499729123351535e-10,1.0690363224055095e-9
ids/LocallyNameless.Ott/ids/5,6.957575043957147e-8,6.952919525388208e-8,6.966815318545406e-8,2.155205216061678e-10,1.1459280511884083e-10,4.375734335113236e-10
ids/LocallyNameless.Ott/ids/6,6.9645327418577e-8,6.95135989077837e-8,7.001132535967922e-8,6.918374843108997e-10,3.051280977784088e-10,1.4613536612633274e-9
ids/LocallyNameless.Ott/ids/7,7.553309796548042e-8,7.540562962746636e-8,7.575782794690209e-8,5.201021352319762e-10,3.1361798346580136e-10,7.508653739998276e-10
ids/LocallyNameless.Ott/ids/8,8.184356577617742e-8,8.164964676803453e-8,8.216865712170889e-8,8.415499446233632e-10,4.712239371948055e-10,1.4026996156838231e-9
ids/LocallyNameless.Ott/ids/9,8.598890076039194e-8,8.593353961753688e-8,8.60697224280148e-8,2.1551852298985836e-10,1.5575687708698762e-10,3.4918095669638923e-10
ids/LocallyNameless.Ott/ids/10,9.285104483571131e-8,9.280586962299265e-8,9.29017618586966e-8,1.684045359604445e-10,1.265911200831338e-10,2.221022754917323e-10
