Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.ParOpt/adjust/1,9.517115974011776e-8,9.496753184402431e-8,9.567677517631452e-8,1.0294806304611825e-9,2.3238047901896725e-10,1.9741725183018603e-9
adjust/LocallyNameless.ParOpt/adjust/2,2.823501250309376e-7,2.8214894382746707e-7,2.826612032119262e-7,8.515786836615013e-10,5.728658619314816e-10,1.1817543505721765e-9
adjust/LocallyNameless.ParOpt/adjust/3,6.823853068895719e-7,6.820301507820377e-7,6.827118811601125e-7,1.1349379737937634e-9,9.371513957442776e-10,1.4505466411126626e-9
adjust/LocallyNameless.ParOpt/adjust/4,1.3543798651921749e-6,1.352910663875101e-6,1.3557892231087173e-6,4.7763131537825396e-9,3.917931300731002e-9,6.188896765060043e-9
adjust/LocallyNameless.ParOpt/adjust/5,2.2530110779359186e-6,2.2510858466223545e-6,2.2560306118963255e-6,7.751870031364616e-9,5.726393094178082e-9,1.0990871197122916e-8
adjust/LocallyNameless.ParOpt/adjust/6,3.485806618938817e-6,3.4819081823916218e-6,3.4993044036529558e-6,2.1189035783453238e-8,6.364213475892182e-9,4.330372607087081e-8
adjust/LocallyNameless.ParOpt/adjust/7,5.162098582711586e-6,5.158676390778142e-6,5.166495210784283e-6,1.363631600446036e-8,1.0961454046464355e-8,1.6873787418919964e-8
adjust/LocallyNameless.ParOpt/adjust/8,7.352192674878936e-6,7.346877143585882e-6,7.361077784313545e-6,2.1595337882510893e-8,1.5469917173495322e-8,3.372303535368345e-8
adjust/LocallyNameless.ParOpt/adjust/9,9.931988200998006e-6,9.924466157456513e-6,9.942156194284922e-6,2.7990121048839655e-8,2.1881089893766966e-8,3.565542835155973e-8
adjust/LocallyNameless.ParOpt/adjust/10,1.301275502749097e-5,1.3006709900205725e-5,1.3021417724865467e-5,2.475421061343412e-8,1.7431426349086854e-8,3.7173903610335226e-8
adjust/LocallyNameless.ParOpt/adjust/11,1.7007291572557793e-5,1.699473414228274e-5,1.7022289756556697e-5,4.446973078562715e-8,3.412441766815844e-8,5.4341914872402593e-8
adjust/LocallyNameless.ParOpt/adjust/12,2.1593126691280935e-5,2.1584510894969503e-5,2.160619831188225e-5,3.563007819573966e-8,2.7055637407615625e-8,4.686858937823755e-8
adjust/LocallyNameless.ParOpt/adjust/13,2.7213924589979057e-5,2.719853826125499e-5,2.7236085851119296e-5,6.122457164855383e-8,4.070345281936672e-8,8.632938209442033e-8
adjust/LocallyNameless.ParOpt/adjust/14,3.299935647716183e-5,3.2981542422810425e-5,3.3026504045966354e-5,7.342841132836303e-8,5.224906961616987e-8,9.882103857991262e-8
adjust/LocallyNameless.ParOpt/adjust/15,4.008821107227237e-5,4.007008825006185e-5,4.0111812330243994e-5,7.172333858660533e-8,5.602412802060768e-8,9.887176583041124e-8
