Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParOpt/capt/1,2.194238471314806e-7,2.188934911194799e-7,2.2064234517902465e-7,2.475653821687959e-9,1.350024217055926e-9,4.473450966921771e-9
capt/LocallyNameless.ParOpt/capt/2,3.0920281939779685e-7,3.079368786686597e-7,3.118463512222753e-7,6.223094934052426e-9,2.790612486006186e-9,1.1925590751131383e-8
capt/LocallyNameless.ParOpt/capt/3,4.382933009474527e-7,4.378925529292117e-7,4.390591203365533e-7,1.8639894588725954e-9,1.2304078925194282e-9,2.8745842134698007e-9
capt/LocallyNameless.ParOpt/capt/4,5.855505740298834e-7,5.844718584104243e-7,5.870409714287193e-7,4.392221313803733e-9,3.6167729745521994e-9,5.472686491954223e-9
capt/LocallyNameless.ParOpt/capt/5,7.40610960871838e-7,7.396421717628113e-7,7.42030067802831e-7,3.8581826368525804e-9,2.7484713930023227e-9,5.7401546214472184e-9
capt/LocallyNameless.ParOpt/capt/6,9.081340450670686e-7,9.06980848645869e-7,9.101993687688587e-7,5.058170856310709e-9,3.533410661801831e-9,8.546164097307635e-9
capt/LocallyNameless.ParOpt/capt/7,1.1144403049373103e-6,1.1116047709303543e-6,1.118962662356354e-6,1.2285456649575793e-8,8.540493967219558e-9,1.910640372212935e-8
capt/LocallyNameless.ParOpt/capt/8,1.3190528634550454e-6,1.3136701319404213e-6,1.3384772382104887e-6,3.1064764428621897e-8,9.616165350235492e-9,6.870922860659745e-8
capt/LocallyNameless.ParOpt/capt/9,1.4924717387070062e-6,1.4912081896474614e-6,1.4940088955600643e-6,4.751378566843915e-9,3.7823037774227905e-9,5.934273282126569e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParOpt/capt/1,2.7965531703406805e-7,2.793221606833113e-7,2.7989055242878284e-7,9.31462229837867e-10,7.011466824300078e-10,1.161177033936325e-9
capt/LocallyNameless.ParOpt/capt/2,3.819766679598283e-7,3.815597445115792e-7,3.8245753730149207e-7,1.4616278631258496e-9,1.1309883749136423e-9,2.0597869694834848e-9
capt/LocallyNameless.ParOpt/capt/3,5.290998877921137e-7,5.285572433069289e-7,5.298961688500636e-7,2.130345985935121e-9,1.3938968743745253e-9,3.3203518868203173e-9
capt/LocallyNameless.ParOpt/capt/4,7.101192385591473e-7,7.096424768055043e-7,7.106696027466309e-7,1.6982925403659801e-9,1.390789233563208e-9,2.1575418082448447e-9
capt/LocallyNameless.ParOpt/capt/5,8.644915719389536e-7,8.627294110030878e-7,8.670814610114295e-7,7.316291420789151e-9,5.010083994830107e-9,1.0824859378796829e-8
capt/LocallyNameless.ParOpt/capt/6,1.0761593741168835e-6,1.0745352196970562e-6,1.079128062066207e-6,6.635708583541372e-9,4.500968357789288e-9,1.1863427610907153e-8
capt/LocallyNameless.ParOpt/capt/7,1.2734384612384288e-6,1.2723203208620927e-6,1.2743317062319725e-6,3.4141601870374166e-9,2.5857498462266097e-9,4.325269196152759e-9
capt/LocallyNameless.ParOpt/capt/8,1.5066918084418541e-6,1.5057632849098668e-6,1.5080592131767052e-6,3.6499558173725287e-9,2.8111835886645e-9,4.9993438186000165e-9
capt/LocallyNameless.ParOpt/capt/9,1.740650092409919e-6,1.739415673705514e-6,1.7425306789740065e-6,5.01211972453813e-9,3.762739538046278e-9,7.538643600150457e-9
