Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParOpt/ids/1,8.341413135768859e-8,8.327592012936426e-8,8.359833760315033e-8,5.270922251812947e-10,3.8086032021462084e-10,7.514877346551528e-10
ids/LocallyNameless.ParOpt/ids/2,1.2240259660203495e-7,1.221414002738609e-7,1.2273901026336246e-7,9.83534659962248e-10,7.872512246661146e-10,1.4662469743000533e-9
ids/LocallyNameless.ParOpt/ids/3,1.5552186835931488e-7,1.551520803963487e-7,1.5618323893793004e-7,1.61651688083937e-9,1.1137144928078036e-9,2.618525759091628e-9
ids/LocallyNameless.ParOpt/ids/4,1.8017957190507434e-7,1.789288068965683e-7,1.8121696661043548e-7,3.782519653946976e-9,3.5851426765109735e-9,4.005971283570302e-9
ids/LocallyNameless.ParOpt/ids/5,2.088873610320749e-7,2.085275083841993e-7,2.0929812317684774e-7,1.3156254878044665e-9,1.085805856463146e-9,1.7016115654652e-9
ids/LocallyNameless.ParOpt/ids/6,2.3517666307913748e-7,2.3411701309557684e-7,2.3641992720276295e-7,3.752770886945385e-9,3.2462912757122356e-9,4.5035685510378295e-9
ids/LocallyNameless.ParOpt/ids/7,2.5948260560537023e-7,2.5902190711595313e-7,2.60494220331064e-7,2.276339805762324e-9,1.0378688359362137e-9,4.343518385900197e-9
ids/LocallyNameless.ParOpt/ids/8,2.9028677042223224e-7,2.8929781717808677e-7,2.9122116547245933e-7,3.0729824606934326e-9,2.563822375833412e-9,3.827560608110268e-9
ids/LocallyNameless.ParOpt/ids/9,3.1832506127450813e-7,3.1732995312744223e-7,3.2059661268605936e-7,4.50599403919798e-9,2.7568850129851657e-9,7.261432421555367e-9
ids/LocallyNameless.ParOpt/ids/10,3.411533969620482e-7,3.3977922717416643e-7,3.44416714154894e-7,6.703523255874254e-9,4.123656880363438e-9,1.100569650588862e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParOpt/ids/1,1.2408209132443035e-7,1.2384464454089548e-7,1.253668989907667e-7,1.3894084102281989e-9,3.7249296199163293e-10,3.255396713066461e-9
ids/LocallyNameless.ParOpt/ids/2,1.6005306805711288e-7,1.5986570272586352e-7,1.6053021845334878e-7,9.409050082499664e-10,4.0734554631211344e-10,1.9234471485713114e-9
ids/LocallyNameless.ParOpt/ids/3,2.07655366260863e-7,2.0744192466724668e-7,2.0787407549621e-7,7.159693846802732e-10,6.00929039031809e-10,8.565230420186183e-10
ids/LocallyNameless.ParOpt/ids/4,2.36108664102792e-7,2.3593670077099438e-7,2.3638367168121577e-7,6.973298319690088e-10,5.069816133197232e-10,1.085328769879255e-9
ids/LocallyNameless.ParOpt/ids/5,2.6951348884487024e-7,2.69316870327032e-7,2.6975671441110315e-7,7.234107001343841e-10,5.330592936734087e-10,1.1207543074883052e-9
ids/LocallyNameless.ParOpt/ids/6,3.0860927530178103e-7,3.0816094120982457e-7,3.0911073165308035e-7,1.5580922940442728e-9,1.190792196483229e-9,2.3110169472224284e-9
ids/LocallyNameless.ParOpt/ids/7,3.455197879962891e-7,3.4459372335226427e-7,3.481261687301495e-7,4.846623322978584e-9,1.693795680744349e-9,9.678676785168114e-9
ids/LocallyNameless.ParOpt/ids/8,3.753858107321238e-7,3.7512989390091317e-7,3.758416000588247e-7,1.071163436919526e-9,7.709458647081016e-10,1.675825106013622e-9
ids/LocallyNameless.ParOpt/ids/9,4.1567524773173693e-7,4.1536128065349954e-7,4.1614529518219325e-7,1.3262271642416662e-9,9.887956046552602e-10,1.8998025904049704e-9
ids/LocallyNameless.ParOpt/ids/10,4.5367416653330124e-7,4.5323187920100894e-7,4.543431451311337e-7,1.795979900434209e-9,1.268958650932427e-9,2.609566162778224e-9
