Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParScoped/capt/1,1.6221214818188649e-7,1.6190838164397845e-7,1.6262867616161784e-7,1.1700691263756924e-9,9.144582355160795e-10,1.474756995514417e-9
capt/LocallyNameless.ParScoped/capt/2,2.5902582238172773e-7,2.5798378550134996e-7,2.602617591648712e-7,3.87753351160383e-9,3.0155068089025436e-9,5.167811776909602e-9
capt/LocallyNameless.ParScoped/capt/3,3.7124625534475613e-7,3.702821962010531e-7,3.7270398008884426e-7,3.927112409761754e-9,2.861409089780823e-9,5.502517527641167e-9
capt/LocallyNameless.ParScoped/capt/4,4.4203938665267584e-7,4.4103848960816744e-7,4.4353599231293006e-7,3.989412304417297e-9,2.8199336535317743e-9,5.9887638290464454e-9
capt/LocallyNameless.ParScoped/capt/5,6.318340567277016e-7,6.257451746657645e-7,6.380691329005357e-7,2.1788201954914495e-8,1.7443720928637376e-8,2.9662780583162638e-8
capt/LocallyNameless.ParScoped/capt/6,7.281182465633625e-7,7.210810240121684e-7,7.365643127781432e-7,2.576136046201203e-8,2.2503271105884297e-8,3.036167345484454e-8
capt/LocallyNameless.ParScoped/capt/7,8.397083953057321e-7,8.327142377464603e-7,8.470504396158527e-7,2.4060431528012047e-8,1.9859938402093575e-8,3.195593952556725e-8
capt/LocallyNameless.ParScoped/capt/8,9.970601858477028e-7,9.91138586552866e-7,1.0041675623363245e-6,2.2653444644631473e-8,1.839788549444671e-8,2.9388883010897094e-8
capt/LocallyNameless.ParScoped/capt/9,1.1270925439207072e-6,1.1193294215935246e-6,1.1344425575652636e-6,2.4900638582417813e-8,2.087982783675184e-8,3.1654841251484274e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParScoped/capt/1,1.757109235977735e-7,1.7553039632737714e-7,1.7590699239458647e-7,6.375761513362877e-10,4.782326110203942e-10,9.45767726926996e-10
capt/LocallyNameless.ParScoped/capt/2,2.855310209287352e-7,2.841978246901164e-7,2.8696545590529474e-7,4.662985143934113e-9,3.622578936961554e-9,6.593694604426009e-9
capt/LocallyNameless.ParScoped/capt/3,4.004708524408204e-7,3.986738776974381e-7,4.028508901981894e-7,6.930900332102551e-9,5.33423707139735e-9,9.134562043390725e-9
capt/LocallyNameless.ParScoped/capt/4,4.406066996284645e-7,4.4011031217096366e-7,4.410974785832924e-7,1.725833835101756e-9,1.4396894266663647e-9,2.1194823128791286e-9
capt/LocallyNameless.ParScoped/capt/5,6.564036501918456e-7,6.527807322426374e-7,6.594503098274407e-7,1.1254122632895518e-8,8.429383056539957e-9,1.5548511638887368e-8
capt/LocallyNameless.ParScoped/capt/6,6.495770584459172e-7,6.490105995557609e-7,6.50764512910372e-7,2.705911216065643e-9,1.512276796856583e-9,4.7235784456374315e-9
capt/LocallyNameless.ParScoped/capt/7,7.681133141773467e-7,7.667030737070578e-7,7.70201711253116e-7,5.8086862836820395e-9,4.410209714182092e-9,7.835654253316168e-9
capt/LocallyNameless.ParScoped/capt/8,9.049901863737249e-7,9.042390958773599e-7,9.059563256864763e-7,2.8227056495636195e-9,2.1773205523473395e-9,3.818619502606235e-9
capt/LocallyNameless.ParScoped/capt/9,1.0331771407141726e-6,1.0315607377239288e-6,1.0350217453844198e-6,5.8080791098133666e-9,4.853437304389128e-9,7.210651430692409e-9
