Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.ParScoped/con/1,4.2985545260530416e-8,4.2891652075521186e-8,4.312282173080864e-8,3.9797701075501673e-10,3.059697425762374e-10,5.486719618320084e-10
con/LocallyNameless.ParScoped/con/2,9.799899586074072e-8,9.782674642918107e-8,9.831666338687656e-8,7.39704936217506e-10,4.4748710521670405e-10,1.192570448768845e-9
con/LocallyNameless.ParScoped/con/3,1.6246314050459e-7,1.6224443093950889e-7,1.6266364651327123e-7,7.208490488442228e-10,5.404435083994754e-10,9.65185820829786e-10
con/LocallyNameless.ParScoped/con/4,2.437792360622e-7,2.4336843153862445e-7,2.444041180150284e-7,1.716837356163735e-9,1.2830966304195736e-9,2.686198102998874e-9
con/LocallyNameless.ParScoped/con/5,3.352747325166077e-7,3.346190387918515e-7,3.3606902783105455e-7,2.537220013566609e-9,2.078648881083615e-9,3.3328100293802024e-9
con/LocallyNameless.ParScoped/con/6,4.2584937077023206e-7,4.244524228985957e-7,4.271973607661302e-7,4.579494498551609e-9,4.229389661994478e-9,4.99833822952765e-9
con/LocallyNameless.ParScoped/con/7,5.288952349783997e-7,5.270096022882382e-7,5.319299018035865e-7,7.926809896006899e-9,5.347623965667762e-9,1.2074863774859243e-8
con/LocallyNameless.ParScoped/con/8,6.558524137121241e-7,6.552337752982532e-7,6.571644483488915e-7,2.840759460327241e-9,1.738852239292669e-9,4.760994552979536e-9
con/LocallyNameless.ParScoped/con/9,8.097146339684659e-7,8.088937589018869e-7,8.114409194116018e-7,3.888423613708658e-9,2.233586273400273e-9,6.980731415205087e-9
con/LocallyNameless.ParScoped/con/10,9.42985387624622e-7,9.412709818618471e-7,9.483137828293301e-7,9.516712514348628e-9,3.6714600218528806e-9,1.8936603017331312e-8
con/LocallyNameless.ParScoped/con/11,1.097640223132914e-6,1.0960628921066315e-6,1.1001737583979504e-6,6.430071815740234e-9,4.890374278250081e-9,9.844842269481844e-9
con/LocallyNameless.ParScoped/con/12,1.28796222580327e-6,1.2813218685525192e-6,1.3123347797214865e-6,3.781619309138698e-8,7.434225117213029e-9,7.813821890218012e-8
con/LocallyNameless.ParScoped/con/13,1.482156726517563e-6,1.475937570864126e-6,1.49433487972811e-6,2.7921419258271513e-8,1.5502713622658288e-8,5.3289809357973817e-8
con/LocallyNameless.ParScoped/con/14,1.6508850748460697e-6,1.6487089686956744e-6,1.6537470708891216e-6,8.868903545520446e-9,6.918337192355895e-9,1.128628579848055e-8
con/LocallyNameless.ParScoped/con/15,1.8649096457621309e-6,1.8626430687645715e-6,1.867996460199986e-6,8.930933839325177e-9,6.589415149240159e-9,1.3067133026676967e-8
con/LocallyNameless.ParScoped/con/16,2.0703606998230907e-6,2.0667125162165835e-6,2.07563361642792e-6,1.418476383274809e-8,1.1546494243349025e-8,1.9300629651210755e-8
con/LocallyNameless.ParScoped/con/17,2.2722783360871127e-6,2.2683923970546154e-6,2.2765925109232596e-6,1.4166402902234463e-8,1.146985070335306e-8,1.7918891344062505e-8
con/LocallyNameless.ParScoped/con/18,2.523387204934966e-6,2.519578591747632e-6,2.5287471244414574e-6,1.4290364425108822e-8,1.1644628233691056e-8,1.7777905248183153e-8
con/LocallyNameless.ParScoped/con/19,2.749614766694743e-6,2.7441832660183264e-6,2.756229509141754e-6,2.013915661643061e-8,1.546897146456987e-8,2.5927745283522965e-8
con/LocallyNameless.ParScoped/con/20,2.977409092403916e-6,2.9729942035944926e-6,2.9830647539455588e-6,1.791143583090354e-8,1.3128967962027494e-8,2.483838770479255e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.ParScoped/con/1,4.313749709479419e-8,4.310721631532402e-8,4.319064285053075e-8,1.3047812137999276e-10,9.095817039921968e-11,2.0061128262756342e-10
con/LocallyNameless.ParScoped/con/2,9.917020470247398e-8,9.909740149934247e-8,9.935095113768136e-8,3.72590240537266e-10,2.23938129224303e-10,6.508456652250465e-10
con/LocallyNameless.ParScoped/con/3,1.6273960886304888e-7,1.6266589519759743e-7,1.6283619148543376e-7,2.727757739511045e-10,2.0156852451319222e-10,3.737213278467752e-10
con/LocallyNameless.ParScoped/con/4,2.443990440253776e-7,2.4411133485302507e-7,2.447495753881935e-7,1.0654559135683243e-9,7.588683031514121e-10,1.3914230299763668e-9
con/LocallyNameless.ParScoped/con/5,3.225100103019326e-7,3.220333988800103e-7,3.240449529537114e-7,2.5828573874550176e-9,7.781917499593316e-10,5.214815622027904e-9
con/LocallyNameless.ParScoped/con/6,4.1456523345633964e-7,4.1398838821673174e-7,4.1558143604815005e-7,2.5083707683178253e-9,1.7449695443135253e-9,3.821679259078252e-9
con/LocallyNameless.ParScoped/con/7,5.164240721346543e-7,5.159930005254923e-7,5.170011715681226e-7,1.650239051323903e-9,1.2318841119636056e-9,2.393394236883742e-9
con/LocallyNameless.ParScoped/con/8,6.516434090015594e-7,6.506227762992434e-7,6.524685071092281e-7,3.170099786796493e-9,2.6547970103818304e-9,4.014720157015065e-9
con/LocallyNameless.ParScoped/con/9,7.893051016762138e-7,7.886792048659271e-7,7.899827436010759e-7,2.1733905329252586e-9,1.8320453693537318e-9,2.9699886214813118e-9
con/LocallyNameless.ParScoped/con/10,9.403076560990164e-7,9.362324581702824e-7,9.443294088879234e-7,1.3878824626300401e-8,1.1451874970034749e-8,1.552903400757188e-8
con/LocallyNameless.ParScoped/con/11,1.0897153992369132e-6,1.087149334347438e-6,1.0989884860985033e-6,1.4741889937463343e-8,3.0344557461284587e-9,3.058221501816833e-8
con/LocallyNameless.ParScoped/con/12,1.2580377592484764e-6,1.2561722617078769e-6,1.2605836637597638e-6,8.245074513615645e-9,6.400126023297785e-9,1.271121455756712e-8
con/LocallyNameless.ParScoped/con/13,1.4407184014201819e-6,1.4390546530828261e-6,1.4427863862372092e-6,6.307952795810006e-9,5.075117020540442e-9,9.448901282888847e-9
con/LocallyNameless.ParScoped/con/14,1.6449584247959968e-6,1.6389131632421143e-6,1.6542619325334977e-6,2.6280195911919516e-8,1.69742710102447e-8,3.502751493401772e-8
