Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.TypedOpt/adjust/1,5.088772939704839e-8,5.086778996880788e-8,5.091318043632677e-8,7.814761771032645e-11,6.010278376745913e-11,1.0094117046730601e-10
adjust/LocallyNameless.TypedOpt/adjust/2,1.730583790562785e-7,1.7296088353860041e-7,1.7322261357270676e-7,4.1624883404769164e-10,2.8041673875449394e-10,6.88598571402038e-10
adjust/LocallyNameless.TypedOpt/adjust/3,3.905233221442214e-7,3.8942939709932054e-7,3.928980055536758e-7,4.986426118645577e-9,9.969588879338352e-10,8.854211898574377e-9
adjust/LocallyNameless.TypedOpt/adjust/4,6.986675643274258e-7,6.983714941672754e-7,6.991155309300591e-7,1.193670278906973e-9,7.499079518101156e-10,1.8805536958983894e-9
adjust/LocallyNameless.TypedOpt/adjust/5,1.1071120332985612e-6,1.1065385048474705e-6,1.1084387718726313e-6,2.9555319443892255e-9,1.3707700683890715e-9,5.613428051538798e-9
adjust/LocallyNameless.TypedOpt/adjust/6,1.6069385067510984e-6,1.6056704386867373e-6,1.6085535795529967e-6,4.8450653990169875e-9,3.808802330971466e-9,6.249246418678533e-9
adjust/LocallyNameless.TypedOpt/adjust/7,2.6874476575173697e-6,2.6716668294708707e-6,2.7003066348311104e-6,4.879560374585328e-8,3.696207601630998e-8,7.486142156348393e-8
adjust/LocallyNameless.TypedOpt/adjust/8,3.5216203305873773e-6,3.4770350586183195e-6,3.5692455407525757e-6,1.5775530333501846e-7,1.451866118879456e-7,1.7177375981861654e-7
adjust/LocallyNameless.TypedOpt/adjust/9,4.535132042925912e-6,4.522018537395382e-6,4.54999711558056e-6,4.58067904444928e-8,3.9414722570847614e-8,5.5826294683849966e-8
adjust/LocallyNameless.TypedOpt/adjust/10,5.930181938695018e-6,5.917211606046574e-6,5.944613673936292e-6,4.8436045326085174e-8,3.877101436319031e-8,6.202368752815455e-8
adjust/LocallyNameless.TypedOpt/adjust/11,7.45530262411536e-6,7.428059519102153e-6,7.4799421047469945e-6,8.83083574865525e-8,7.134240287113054e-8,1.1544940394464145e-7
