Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOpt/capt/1,1.1071645954757522e-7,1.104479831387365e-7,1.112534984947116e-7,1.212301553636245e-9,7.293719182799421e-10,1.8581934891281057e-9
capt/LocallyNameless.TypedOpt/capt/2,1.4803948949032556e-7,1.4746946861846027e-7,1.4861165065194719e-7,2.0394071692830326e-9,1.6279065835590448e-9,2.6705895446687637e-9
capt/LocallyNameless.TypedOpt/capt/3,1.819839902247449e-7,1.8121950089727374e-7,1.827876458753103e-7,2.656853323990694e-9,2.300034425158209e-9,3.2566631458427312e-9
capt/LocallyNameless.TypedOpt/capt/4,2.0963024617394224e-7,2.0918265908443376e-7,2.1012386790163635e-7,1.5003696211063967e-9,1.174545515831773e-9,1.960494544407904e-9
capt/LocallyNameless.TypedOpt/capt/5,2.523518256112469e-7,2.509742589592546e-7,2.540894027661905e-7,5.084862644155264e-9,3.8296965407164125e-9,7.117825054928414e-9
capt/LocallyNameless.TypedOpt/capt/6,2.9571016910499494e-7,2.943826635676159e-7,2.9704219103889504e-7,4.196826087577597e-9,3.4521900287495475e-9,5.256169353684306e-9
capt/LocallyNameless.TypedOpt/capt/7,3.138437853325708e-7,3.1303247296800456e-7,3.150381895738257e-7,3.3226041817741023e-9,2.3529946320599526e-9,4.832345697159616e-9
capt/LocallyNameless.TypedOpt/capt/8,3.6625166600257503e-7,3.6497887491377874e-7,3.678829114058752e-7,4.850991408634943e-9,3.846595279008513e-9,6.382042234186008e-9
capt/LocallyNameless.TypedOpt/capt/9,4.01419129366338e-7,4.0026769835316995e-7,4.0317439041717317e-7,4.839408109030086e-9,3.5345489071656175e-9,6.617137266774439e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOpt/capt/1,1.1294249670370026e-7,1.1286589004356098e-7,1.1304525458141444e-7,2.966427009025988e-10,2.2143962357498902e-10,4.346840539899188e-10
capt/LocallyNameless.TypedOpt/capt/2,1.4585962774996703e-7,1.4574192492278691e-7,1.460364406393636e-7,4.939686734478735e-10,3.556380717844756e-10,7.964203645477981e-10
capt/LocallyNameless.TypedOpt/capt/3,1.7653436669334842e-7,1.7619216406729328e-7,1.769586568382181e-7,1.3046330884643659e-9,1.030815223054321e-9,1.6094177432295132e-9
capt/LocallyNameless.TypedOpt/capt/4,2.122231937534821e-7,2.109846009805341e-7,2.163727599626925e-7,6.67788312492538e-9,2.262958981834636e-9,1.3288471097600845e-8
capt/LocallyNameless.TypedOpt/capt/5,2.4283832439880215e-7,2.4234641621612625e-7,2.4411358848894355e-7,2.480233017326059e-9,1.0835323255975193e-9,4.519305821584071e-9
capt/LocallyNameless.TypedOpt/capt/6,2.8490779167292263e-7,2.842714843409298e-7,2.856409488251344e-7,2.230610439345122e-9,1.9280353963475634e-9,2.6156467261584085e-9
capt/LocallyNameless.TypedOpt/capt/7,3.2277161799868786e-7,3.222680529259585e-7,3.235479448275644e-7,2.051449733066407e-9,1.4268567660996888e-9,3.2931634195561657e-9
capt/LocallyNameless.TypedOpt/capt/8,3.613686842057904e-7,3.608111665668486e-7,3.6200208222076275e-7,1.964512853970262e-9,1.6449167874617563e-9,2.4068703861825667e-9
capt/LocallyNameless.TypedOpt/capt/9,3.9694165106051104e-7,3.9603159361601275e-7,3.9808834202358643e-7,3.5150740234643963e-9,2.5777825353734923e-9,4.677294795504976e-9
