Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOpt/ids/1,4.6528826895578315e-8,4.636991067846119e-8,4.6759164745595016e-8,6.348921647418923e-10,3.9868217421940727e-10,9.33024856242972e-10
ids/LocallyNameless.TypedOpt/ids/2,5.743116638901596e-8,5.736868935745473e-8,5.7550098614399736e-8,2.782994198269374e-10,1.7807990608357262e-10,4.2461698025057453e-10
ids/LocallyNameless.TypedOpt/ids/3,6.752608514883122e-8,6.743631484637015e-8,6.766296250997885e-8,3.701772370958869e-10,2.832536012827672e-10,5.064080649886123e-10
ids/LocallyNameless.TypedOpt/ids/4,8.825055609550517e-8,8.810774754276506e-8,8.84280520334098e-8,5.125228951469839e-10,4.4450956166464313e-10,6.237978077770445e-10
ids/LocallyNameless.TypedOpt/ids/5,9.268721771102593e-8,9.253763044345641e-8,9.289293358089839e-8,6.042210888236524e-10,4.5576117749923285e-10,8.111449585005812e-10
ids/LocallyNameless.TypedOpt/ids/6,1.0177637451940595e-7,1.0164129879795457e-7,1.0198526506252352e-7,5.819545753732983e-10,4.2933259792184525e-10,8.13654340334452e-10
ids/LocallyNameless.TypedOpt/ids/7,1.1083400164535259e-7,1.1050962718667672e-7,1.1151910187684221e-7,1.4193574387252257e-9,8.738766002372589e-10,2.387835183618784e-9
ids/LocallyNameless.TypedOpt/ids/8,1.1962994730068734e-7,1.1953208651147935e-7,1.1976163649325017e-7,3.712113055905366e-10,2.651149091026978e-10,5.173525194375008e-10
ids/LocallyNameless.TypedOpt/ids/9,1.2999902639812133e-7,1.2950110782760313e-7,1.3170948215900223e-7,2.7822876022341466e-9,9.411615990744866e-10,5.561064182836247e-9
ids/LocallyNameless.TypedOpt/ids/10,1.381164430269006e-7,1.378661225218716e-7,1.3857624822058126e-7,1.0853914252035703e-9,7.446870051732982e-10,1.7347304856212342e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOpt/ids/1,4.920720100467126e-8,4.915999115383611e-8,4.9272734318926826e-8,1.8967074350567128e-10,1.337028606173791e-10,3.215618731374011e-10
ids/LocallyNameless.TypedOpt/ids/2,6.214453300353954e-8,6.210406292167133e-8,6.21898328502208e-8,1.4371485020870068e-10,1.1498706702700188e-10,2.1384754472201258e-10
ids/LocallyNameless.TypedOpt/ids/3,7.27276829212352e-8,7.267857650197983e-8,7.285983082813414e-8,2.425831815936575e-10,1.1091360255518986e-10,4.811558344336316e-10
ids/LocallyNameless.TypedOpt/ids/4,9.570994632264703e-8,9.55980945139912e-8,9.591478334300078e-8,5.065077447507403e-10,2.8744606622058344e-10,8.883782113134765e-10
ids/LocallyNameless.TypedOpt/ids/5,1.0092309879783367e-7,1.00825716353381e-7,1.0110945206697961e-7,4.251444611426394e-10,2.420755644539183e-10,7.117497803454211e-10
ids/LocallyNameless.TypedOpt/ids/6,1.107701594947855e-7,1.1069858377171926e-7,1.1087313473013582e-7,2.937880712287651e-10,1.9515364353115253e-10,4.2396622057241126e-10
ids/LocallyNameless.TypedOpt/ids/7,1.2217160359641224e-7,1.2207440633293345e-7,1.2228646541092708e-7,3.4597998806609705e-10,2.9274614795626766e-10,4.1627565587974733e-10
ids/LocallyNameless.TypedOpt/ids/8,1.3373497925552814e-7,1.3367640540178526e-7,1.3379188249954192e-7,1.9150885807253768e-10,1.4145811765343703e-10,2.7032899709005753e-10
ids/LocallyNameless.TypedOpt/ids/9,1.4486900403842452e-7,1.4480600981504143e-7,1.4493307481449166e-7,2.063271039638844e-10,1.676294524946201e-10,2.5168614522586257e-10
ids/LocallyNameless.TypedOpt/ids/10,1.592933045797112e-7,1.5870174190911101e-7,1.5992696250026324e-7,2.0687454447588506e-9,1.9089729723690425e-9,2.21294683256526e-9
