Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.TypedOtt/adjust/1,5.193234132653964e-8,5.179799576446495e-8,5.215237627499066e-8,5.654697877460786e-10,3.8933531347299836e-10,9.768808089598912e-10
adjust/LocallyNameless.TypedOtt/adjust/2,2.388550712721609e-7,2.3758235303275175e-7,2.400657240730022e-7,4.266148602806129e-9,3.606318108851031e-9,5.385242229478782e-9
adjust/LocallyNameless.TypedOtt/adjust/3,6.382975059957212e-7,6.372850161984499e-7,6.392427786648101e-7,3.236917434238094e-9,2.742683205747002e-9,4.1065136531237934e-9
adjust/LocallyNameless.TypedOtt/adjust/4,1.3027332931943428e-6,1.3007738802043194e-6,1.3055687671407876e-6,7.887884556105696e-9,5.8580236016110644e-9,1.1108958355808353e-8
adjust/LocallyNameless.TypedOtt/adjust/5,2.23626808404878e-6,2.2345081641471914e-6,2.2382570216374025e-6,6.696441770256239e-9,4.979222675874086e-9,9.433948293414384e-9
adjust/LocallyNameless.TypedOtt/adjust/6,3.3865040426641998e-6,3.37999781069811e-6,3.3939894427751788e-6,2.2556934763916523e-8,1.8558325430111645e-8,3.3046332666159415e-8
adjust/LocallyNameless.TypedOtt/adjust/7,5.0528941432086665e-6,5.03112384005064e-6,5.08674087395855e-6,8.455631491227318e-8,6.0578522698422e-8,1.4228734739239248e-7
adjust/LocallyNameless.TypedOtt/adjust/8,7.02912776808561e-6,7.019447988262903e-6,7.052511184843961e-6,4.563227277874579e-8,2.2988313535660202e-8,8.764494282182907e-8
adjust/LocallyNameless.TypedOtt/adjust/9,9.744727309481418e-6,9.732993728393509e-6,9.760211784878942e-6,4.93216747043195e-8,3.6035536622911275e-8,7.516982273300341e-8
adjust/LocallyNameless.TypedOtt/adjust/10,1.269627995548264e-5,1.2679338287914315e-5,1.2719925927978355e-5,6.54371162474116e-8,5.2199481332173686e-8,8.986039882761308e-8
adjust/LocallyNameless.TypedOtt/adjust/11,1.6165377205823856e-5,1.6144923817954616e-5,1.6191759435033602e-5,7.795639653292279e-8,6.746321523027332e-8,9.721777156169884e-8
adjust/LocallyNameless.TypedOtt/adjust/12,2.0787303301381443e-5,2.075499387896447e-5,2.0831056771204495e-5,1.259271223305905e-7,1.0286700065633157e-7,1.6473076815251252e-7
adjust/LocallyNameless.TypedOtt/adjust/13,2.6214155417084435e-5,2.610082837539811e-5,2.6359762824383422e-5,4.4603822489881425e-7,3.194042524972004e-7,5.910469750507516e-7
adjust/LocallyNameless.TypedOtt/adjust/14,3.146539100296565e-5,3.141359034883785e-5,3.156221778758368e-5,2.3106689827535656e-7,1.2962528088147993e-7,3.9549866376826194e-7
adjust/LocallyNameless.TypedOtt/adjust/15,3.809788872618045e-5,3.8020821827246106e-5,3.819966344131333e-5,2.965171380355181e-7,2.3300073591844185e-7,4.068155093000988e-7
