Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOtt/capt/1,1.224557370218507e-7,1.222924443860506e-7,1.2266102481665712e-7,6.105903418690336e-10,4.672398246060522e-10,8.117687238975719e-10
capt/LocallyNameless.TypedOtt/capt/2,1.7595216081878258e-7,1.7568710403640048e-7,1.7634583179152514e-7,1.1129201041600054e-9,8.187600159024998e-10,1.6039813671557998e-9
capt/LocallyNameless.TypedOtt/capt/3,2.3132643271057996e-7,2.3066331063722796e-7,2.3312716974678938e-7,3.4793832215218e-9,1.4557368601697377e-9,6.7194165859883455e-9
capt/LocallyNameless.TypedOtt/capt/4,3.0792084334511225e-7,3.0740424600292037e-7,3.0870876452505384e-7,2.1747116425853874e-9,1.5845004174993828e-9,3.1114552568675426e-9
capt/LocallyNameless.TypedOtt/capt/5,3.7569841074635806e-7,3.7520183620623316e-7,3.7653472968420537e-7,2.212860044086431e-9,1.421998170021629e-9,3.8719242651418154e-9
capt/LocallyNameless.TypedOtt/capt/6,4.538901737826272e-7,4.5314087033049243e-7,4.548709421827409e-7,2.6951084728108567e-9,2.2359468977141143e-9,3.3536145664063186e-9
capt/LocallyNameless.TypedOtt/capt/7,5.362009488129983e-7,5.354260410909581e-7,5.371818497611073e-7,2.8838032146250447e-9,2.1099413812085483e-9,3.9434985309957995e-9
capt/LocallyNameless.TypedOtt/capt/8,6.430313520752034e-7,6.417799642151215e-7,6.445572592194093e-7,4.711100196106519e-9,3.5340774240211362e-9,6.118746685838824e-9
capt/LocallyNameless.TypedOtt/capt/9,7.428835036132606e-7,7.402717383303961e-7,7.531956735128392e-7,1.468917519622337e-8,4.661745655331205e-9,3.214281905491833e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOtt/capt/1,1.3270628462703562e-7,1.3252630573225337e-7,1.3302624038205774e-7,7.78824545985688e-10,5.036202339358473e-10,1.3082892848270484e-9
capt/LocallyNameless.TypedOtt/capt/2,1.8496703215137442e-7,1.8483386209733685e-7,1.8550207050236815e-7,7.016623402436797e-10,2.6420769683435793e-10,1.4875416656155174e-9
capt/LocallyNameless.TypedOtt/capt/3,2.4540226173494985e-7,2.4502422272046883e-7,2.4575464819791085e-7,1.258521776765089e-9,1.0997688908491808e-9,1.4345885045723958e-9
capt/LocallyNameless.TypedOtt/capt/4,3.358733766552498e-7,3.3555602641901635e-7,3.362313711205971e-7,1.1040816278373022e-9,8.196901889414889e-10,1.7045072223956091e-9
capt/LocallyNameless.TypedOtt/capt/5,3.989267126948355e-7,3.971909858684567e-7,4.0084119344790845e-7,6.501952185314259e-9,5.701820395621251e-9,7.3389002872254114e-9
capt/LocallyNameless.TypedOtt/capt/6,4.821742920350223e-7,4.789224255952931e-7,4.849955093681718e-7,1.0401827969344802e-8,8.94277049368237e-9,1.1747273551964817e-8
capt/LocallyNameless.TypedOtt/capt/7,5.524439843079219e-7,5.513223388721058e-7,5.546047233157218e-7,5.075434987117686e-9,2.984505803823448e-9,8.684992114246736e-9
capt/LocallyNameless.TypedOtt/capt/8,6.5057322953042e-7,6.503154921203137e-7,6.509972275552995e-7,1.1231918268280918e-9,7.767866245449477e-10,1.6353703998514932e-9
capt/LocallyNameless.TypedOtt/capt/9,7.714083466006223e-7,7.682501237683159e-7,7.743313126942131e-7,1.0285086552805182e-8,9.487494932587988e-9,1.1215448348478628e-8
