Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.TypedOtt/con/1,4.334593358236765e-8,4.32782842595428e-8,4.344455036803175e-8,2.756611583666948e-10,2.052513772726935e-10,4.0824831978336835e-10
con/LocallyNameless.TypedOtt/con/2,8.089482945049516e-8,8.075203030475317e-8,8.113931684202359e-8,6.192408945403793e-10,3.7469073322925926e-10,9.445361555476925e-10
con/LocallyNameless.TypedOtt/con/3,1.2395902218863265e-7,1.2305787457004304e-7,1.2584762700376644e-7,4.1477441603933735e-9,2.4031921615615168e-9,7.65698368575837e-9
con/LocallyNameless.TypedOtt/con/4,1.6836577829030048e-7,1.681415493273529e-7,1.6859796266842205e-7,7.508454329664794e-10,6.086592426100569e-10,9.804074790627376e-10
con/LocallyNameless.TypedOtt/con/5,2.2487926994386259e-7,2.2414145259137426e-7,2.2603170395571583e-7,3.165921017282384e-9,2.4052712494857285e-9,4.914631226301184e-9
con/LocallyNameless.TypedOtt/con/6,3.2918860988470684e-7,3.2785952485483554e-7,3.314399993879757e-7,5.759968596478286e-9,3.5371783747150564e-9,9.759999632811094e-9
con/LocallyNameless.TypedOtt/con/7,3.9526252974803107e-7,3.9478600647379986e-7,3.9573503944863934e-7,1.6397787134999122e-9,1.4247482135203102e-9,1.9400712066936082e-9
con/LocallyNameless.TypedOtt/con/8,4.673724715150742e-7,4.6661327546863516e-7,4.6810143181535086e-7,2.5597752483653957e-9,2.0926116743829646e-9,3.1149205969298662e-9
con/LocallyNameless.TypedOtt/con/9,5.555728081090751e-7,5.538418119041894e-7,5.573284122957465e-7,6.216360885509036e-9,5.534823260499113e-9,7.1763386550895055e-9
con/LocallyNameless.TypedOtt/con/10,6.409487781418648e-7,6.399703185783703e-7,6.427945543299561e-7,4.262011923402124e-9,2.5925502592326337e-9,7.920928547327986e-9
con/LocallyNameless.TypedOtt/con/11,7.516267182154197e-7,7.50501582268331e-7,7.531029318778793e-7,4.2295809668575745e-9,3.5029719095858393e-9,5.2301828474566975e-9
con/LocallyNameless.TypedOtt/con/12,8.85596559663797e-7,8.831233505200495e-7,8.887250767112512e-7,9.141532862417097e-9,7.217304792835963e-9,1.154798691681684e-8
con/LocallyNameless.TypedOtt/con/13,9.91034639717977e-7,9.901237400161125e-7,9.924560175540345e-7,3.5735420675865967e-9,2.8135345004350772e-9,4.8669913737374395e-9
con/LocallyNameless.TypedOtt/con/14,1.121753500905464e-6,1.1189357737797756e-6,1.1256746816221531e-6,1.1730756559113473e-8,7.928615019322872e-9,1.764303029437004e-8
con/LocallyNameless.TypedOtt/con/15,1.2425209141896528e-6,1.2408093366546606e-6,1.244878799224744e-6,6.64128987826508e-9,5.457682052356996e-9,9.278861682562648e-9
con/LocallyNameless.TypedOtt/con/16,1.3859240904330452e-6,1.3831119528413787e-6,1.3894547562890343e-6,1.0362503180551368e-8,7.720624433600445e-9,1.815256334017015e-8
con/LocallyNameless.TypedOtt/con/17,1.5188093463763685e-6,1.5158259011055481e-6,1.5229006280537146e-6,1.1132936634399445e-8,8.705074071106027e-9,1.5108116288963145e-8
con/LocallyNameless.TypedOtt/con/18,1.6299038640500345e-6,1.627065903273734e-6,1.6338751170317106e-6,1.1402299383487704e-8,8.483883029779964e-9,1.4864875062498547e-8
con/LocallyNameless.TypedOtt/con/19,1.8021067690434663e-6,1.8000214479551475e-6,1.805120727685141e-6,8.582664644056265e-9,6.826205869837701e-9,1.3201964855894483e-8
con/LocallyNameless.TypedOtt/con/20,1.994001707493821e-6,1.9904820256666142e-6,2.0005162819627027e-6,1.5824195764021673e-8,1.050986275187277e-8,2.396944923130617e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.TypedOtt/con/1,4.642523817648998e-8,4.63802384691786e-8,4.647924012323599e-8,1.684517605567733e-10,1.2006572248777169e-10,2.685855170723622e-10
con/LocallyNameless.TypedOtt/con/2,8.598018686522202e-8,8.590463684303296e-8,8.61189629942692e-8,3.2934705028371255e-10,2.2274814662171524e-10,5.447753518213858e-10
con/LocallyNameless.TypedOtt/con/3,1.295425403592791e-7,1.2936380637264556e-7,1.2982717945908696e-7,7.237654389994257e-10,5.046337386685546e-10,9.920401294641544e-10
con/LocallyNameless.TypedOtt/con/4,1.7853840570254678e-7,1.78097516560743e-7,1.8016315930590393e-7,2.587599178369114e-9,4.5075613925487733e-10,5.40616258072045e-9
con/LocallyNameless.TypedOtt/con/5,2.3203833984121125e-7,2.3195588539185737e-7,2.3214242440792267e-7,3.0770390728049405e-10,2.18937865262208e-10,4.0587966006829046e-10
con/LocallyNameless.TypedOtt/con/6,3.1761746846824255e-7,3.1740247075190684e-7,3.1791064859780424e-7,8.35209112400557e-10,6.508011286552559e-10,1.1255262764264159e-9
con/LocallyNameless.TypedOtt/con/7,3.8531164722115103e-7,3.845223300232337e-7,3.861647091904653e-7,2.841354155863782e-9,2.5239761388042248e-9,3.5507347628460575e-9
con/LocallyNameless.TypedOtt/con/8,4.6093714186951077e-7,4.606853647156484e-7,4.6128439713220027e-7,9.926231070879349e-10,7.27282509010787e-10,1.4656913634778662e-9
