Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOtt/ids/1,4.350990316136675e-8,4.3447699088998876e-8,4.361608585879637e-8,2.6505953019401965e-10,1.782312267137551e-10,3.8410685268695075e-10
ids/LocallyNameless.TypedOtt/ids/2,5.59084677946296e-8,5.581981424984981e-8,5.601862611983121e-8,3.4069229174016535e-10,2.9292753021343023e-10,4.3326537471873333e-10
ids/LocallyNameless.TypedOtt/ids/3,6.784099227211455e-8,6.773807309476178e-8,6.798505057952715e-8,4.0407162702837893e-10,2.9656367945607696e-10,6.084593620500266e-10
ids/LocallyNameless.TypedOtt/ids/4,8.867927585846724e-8,8.846069112847066e-8,8.900790557126031e-8,9.003211389422729e-10,6.668528736976292e-10,1.4529930514900349e-9
ids/LocallyNameless.TypedOtt/ids/5,9.734474483861495e-8,9.688280554531919e-8,9.845088923952165e-8,2.3835672575779573e-9,1.0031860844587556e-9,3.9042139827922165e-9
ids/LocallyNameless.TypedOtt/ids/6,1.0829486681487616e-7,1.0811320731640192e-7,1.0851476016174565e-7,6.901604512420369e-10,5.592772019260803e-10,8.553374146518283e-10
ids/LocallyNameless.TypedOtt/ids/7,1.2145835974108544e-7,1.2132787172729899e-7,1.215923348794578e-7,4.4605271024413124e-10,3.365598809334219e-10,6.12749330426873e-10
ids/LocallyNameless.TypedOtt/ids/8,1.3367006015119566e-7,1.3348961529244516e-7,1.3397753073959314e-7,7.546797504329623e-10,5.057306522425604e-10,1.257914667096912e-9
ids/LocallyNameless.TypedOtt/ids/9,1.451532758176689e-7,1.449575335868622e-7,1.4547217280610247e-7,8.701827193869945e-10,6.005390931746291e-10,1.4142735172406052e-9
ids/LocallyNameless.TypedOtt/ids/10,1.564777195953278e-7,1.560786658217814e-7,1.570949801765595e-7,1.7226957578396363e-9,1.120035000381688e-9,2.722108265143176e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOtt/ids/1,4.644969167022456e-8,4.6374834289877356e-8,4.656909744481674e-8,3.1375397373096355e-10,2.20067072824331e-10,4.66665342003111e-10
ids/LocallyNameless.TypedOtt/ids/2,6.024520128048776e-8,6.01731446916986e-8,6.046161772802744e-8,4.064221864159427e-10,1.4657414191396243e-10,8.115482863104162e-10
ids/LocallyNameless.TypedOtt/ids/3,7.219701506656327e-8,7.211586236473082e-8,7.234009219160608e-8,3.4623026168964397e-10,1.8591337914754888e-10,5.498056834031788e-10
ids/LocallyNameless.TypedOtt/ids/4,9.37489429658124e-8,9.367683396086426e-8,9.383038024116348e-8,2.5812840929570225e-10,2.0552251416187596e-10,3.6465901164267585e-10
ids/LocallyNameless.TypedOtt/ids/5,1.0511112942365855e-7,1.0502853411773248e-7,1.0525342790732782e-7,3.4805642102166976e-10,2.0607521010404427e-10,6.27534055153645e-10
ids/LocallyNameless.TypedOtt/ids/6,1.1659334588825637e-7,1.1652937111009752e-7,1.1666403642282663e-7,2.1835605496842252e-10,1.8152945567905787e-10,2.793314352111101e-10
ids/LocallyNameless.TypedOtt/ids/7,1.3039998559939588e-7,1.3028836872068985e-7,1.305321924269397e-7,4.112129469857885e-10,3.321225463153231e-10,5.769541675980762e-10
ids/LocallyNameless.TypedOtt/ids/8,1.4471121885931297e-7,1.4457899152965058e-7,1.450458645188439e-7,6.88193776599804e-10,3.878162608332892e-10,1.2466119328902503e-9
ids/LocallyNameless.TypedOtt/ids/9,1.5524908689493905e-7,1.5516417088220166e-7,1.5550617777410455e-7,4.5129107990572897e-10,1.7320927118403317e-10,9.026288404325978e-10
ids/LocallyNameless.TypedOtt/ids/10,1.6819627619677698e-7,1.680937068151947e-7,1.6831497667386656e-7,3.61213220935029e-10,2.925533755152826e-10,4.50547632547866e-10
