Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.UnboundRep/capt/1,1.6076566217665256e-6,1.6003706035783816e-6,1.6233995205699953e-6,3.538771302046073e-8,1.7020345150010865e-8,6.70824513830531e-8
capt/LocallyNameless.UnboundRep/capt/2,2.607444506882202e-6,2.60298609130553e-6,2.6133858898269432e-6,1.695553835509009e-8,1.3008259990764093e-8,2.293047308326014e-8
capt/LocallyNameless.UnboundRep/capt/3,3.674161070900788e-6,3.6655533745649233e-6,3.6836732934047627e-6,2.7323621384269373e-8,2.1260605040463036e-8,3.470780498242877e-8
capt/LocallyNameless.UnboundRep/capt/4,4.8110906813044854e-6,4.8051150510952866e-6,4.817838716845483e-6,2.1222591321742103e-8,1.7657631771932538e-8,2.6190180093485646e-8
capt/LocallyNameless.UnboundRep/capt/5,6.236150182167863e-6,6.221044051312691e-6,6.259634280239616e-6,6.393295438493643e-8,4.614906440580495e-8,8.49692943682161e-8
capt/LocallyNameless.UnboundRep/capt/6,7.779127833568234e-6,7.733728725593625e-6,7.883832502714002e-6,2.0183216196089679e-7,1.0132222425300079e-7,3.8837060943594797e-7
capt/LocallyNameless.UnboundRep/capt/7,9.502452932229689e-6,9.481352312352087e-6,9.527085360891082e-6,7.641656464403292e-8,6.116684125557573e-8,9.273343137754379e-8
capt/LocallyNameless.UnboundRep/capt/8,1.1043795882322843e-5,1.1023611152544443e-5,1.1073211241787699e-5,8.341582232545658e-8,6.188838375824217e-8,1.2678603067124511e-7
capt/LocallyNameless.UnboundRep/capt/9,1.3235862500852658e-5,1.32112568960556e-5,1.3269343191788188e-5,9.965517332311252e-8,7.836349968056126e-8,1.331034807900465e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.UnboundRep/capt/1,1.6111149101725641e-6,1.6086415028553084e-6,1.614902243734041e-6,1.0119721141108962e-8,7.359755951344569e-9,1.4440808449656061e-8
capt/LocallyNameless.UnboundRep/capt/2,2.6524691361708735e-6,2.6504676381461238e-6,2.655579666645406e-6,8.536891034254997e-9,5.938421525967442e-9,1.3786707334610425e-8
capt/LocallyNameless.UnboundRep/capt/3,3.7126481887742285e-6,3.7093491331970042e-6,3.7168769381968957e-6,1.2788712389259801e-8,8.492503993998515e-9,1.9293347094784814e-8
capt/LocallyNameless.UnboundRep/capt/4,4.866477312499183e-6,4.855902394780473e-6,4.880463935473628e-6,4.1266656527644534e-8,3.3339373997748466e-8,5.477676832457982e-8
capt/LocallyNameless.UnboundRep/capt/5,6.2961775662225e-6,6.292044986592647e-6,6.3022431559561676e-6,1.678243445651042e-8,1.3058319637850759e-8,2.359896164479962e-8
capt/LocallyNameless.UnboundRep/capt/6,7.707550021391384e-6,7.701050087511319e-6,7.717455309555828e-6,2.6453538939375816e-8,1.9189031752742954e-8,3.718336364437536e-8
capt/LocallyNameless.UnboundRep/capt/7,9.599376231752901e-6,9.591005598874161e-6,9.609959623401237e-6,3.292448461238195e-8,2.5778753790532018e-8,4.2708370933629354e-8
capt/LocallyNameless.UnboundRep/capt/8,1.117968540036263e-5,1.1169895702826795e-5,1.1192539715575775e-5,3.6488237173306106e-8,2.7278322761894e-8,4.9432121443745603e-8
capt/LocallyNameless.UnboundRep/capt/9,1.3350644295639609e-5,1.3342212173929368e-5,1.335915487174617e-5,2.8580915224408345e-8,2.313210411805642e-8,3.726960971198952e-8
