Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.UnboundRep/con/1,2.1704958083705388e-7,2.1587490751667948e-7,2.1829482705405245e-7,4.00697499340045e-9,3.391939977127081e-9,5.075247717109884e-9
con/LocallyNameless.UnboundRep/con/2,7.287507560070116e-7,7.27218935336484e-7,7.317409482272196e-7,7.294157027052949e-9,5.05050014618951e-9,1.2574307839896421e-8
con/LocallyNameless.UnboundRep/con/3,1.4950125272276993e-6,1.4901338945349935e-6,1.5022207354715684e-6,1.8472864042002765e-8,1.3693306584852246e-8,2.573545596709266e-8
con/LocallyNameless.UnboundRep/con/4,2.2726534090879645e-6,2.266765619113094e-6,2.2826383918396786e-6,2.551675323971612e-8,1.709198875703324e-8,3.704594310845542e-8
con/LocallyNameless.UnboundRep/con/5,3.277901584653709e-6,3.265048525700282e-6,3.296693860449824e-6,5.185422785441187e-8,3.5699137756927635e-8,7.681183591860888e-8
con/LocallyNameless.UnboundRep/con/6,4.383246964654754e-6,4.375114617507867e-6,4.395956862092549e-6,3.2554828738152924e-8,2.3757022066714432e-8,5.053157913763141e-8
con/LocallyNameless.UnboundRep/con/7,5.616496740623156e-6,5.60884620765485e-6,5.628825445977205e-6,3.1614624773032173e-8,2.1791013760403586e-8,4.2785877392514426e-8
con/LocallyNameless.UnboundRep/con/8,7.080980366202313e-6,7.065735053345832e-6,7.10056268512913e-6,5.950290788057929e-8,4.4786672702808916e-8,8.24152592850086e-8
con/LocallyNameless.UnboundRep/con/9,8.605153191791297e-6,8.584057491642689e-6,8.653358970115616e-6,9.849817247114687e-8,4.631360728548546e-8,1.9944524301998167e-7
con/LocallyNameless.UnboundRep/con/10,1.0072117949153631e-5,1.0051882540485808e-5,1.0120317239675704e-5,9.694349677053298e-8,5.8182524305480334e-8,1.5135242450151515e-7
con/LocallyNameless.UnboundRep/con/11,1.2080987972244332e-5,1.2058723187770067e-5,1.211251437133681e-5,9.244636865812237e-8,7.824179439900208e-8,1.0950659073443243e-7
con/LocallyNameless.UnboundRep/con/12,1.4113167147301444e-5,1.4091179894556064e-5,1.414239519442395e-5,8.59330695269871e-8,6.408510558927512e-8,1.1607541802823267e-7
con/LocallyNameless.UnboundRep/con/13,1.6127567079724114e-5,1.610949403495411e-5,1.615322693485686e-5,6.86175368360271e-8,5.094574035639022e-8,9.724219290960364e-8
con/LocallyNameless.UnboundRep/con/14,1.8413495852980357e-5,1.838219426150593e-5,1.8463568794038368e-5,1.2761430483251984e-7,1.0301847069267498e-7,1.658240979823978e-7
con/LocallyNameless.UnboundRep/con/15,2.1047909614192687e-5,2.0974995690206052e-5,2.127073927405e-5,3.790032215082145e-7,1.6992655373885975e-7,7.133819006040052e-7
con/LocallyNameless.UnboundRep/con/16,2.3303282832886808e-5,2.328760275918692e-5,2.332605031730986e-5,6.213490908103458e-8,4.3253069372763585e-8,9.01059510646657e-8
con/LocallyNameless.UnboundRep/con/17,2.614500543544368e-5,2.6096251253707427e-5,2.6207357302065696e-5,1.732190665436049e-7,1.3865947812537595e-7,2.2248468660499828e-7
con/LocallyNameless.UnboundRep/con/18,2.9040004853051388e-5,2.9000750883430416e-5,2.9089183461210493e-5,1.4693862130544804e-7,1.0881978969719763e-7,2.0292479060906418e-7
con/LocallyNameless.UnboundRep/con/19,3.1968769705018393e-5,3.191768861725903e-5,3.2032021540373185e-5,1.8488390101550847e-7,1.45019316771912e-7,2.5534821791419473e-7
con/LocallyNameless.UnboundRep/con/20,3.5340088273047614e-5,3.525890461740031e-5,3.543797528249112e-5,2.91030671028715e-7,2.1685350911092726e-7,4.2333213550446803e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.UnboundRep/con/1,2.1838889780779415e-7,2.1804492618365804e-7,2.1887586424608606e-7,1.35596348862647e-9,9.59588605246797e-10,2.115320038118029e-9
con/LocallyNameless.UnboundRep/con/2,7.483914024077884e-7,7.470470361689389e-7,7.529704337267556e-7,7.443511818678125e-9,2.4862832120052982e-9,1.494908975202035e-8
con/LocallyNameless.UnboundRep/con/3,1.5189424784114665e-6,1.5178192961539427e-6,1.5210659810507884e-6,4.982843146985233e-9,3.091736789464205e-9,7.640227632956881e-9
con/LocallyNameless.UnboundRep/con/4,2.3308584070913817e-6,2.3283005753708157e-6,2.3350698155208852e-6,1.1524860656275366e-8,8.304196449657491e-9,1.745512260999427e-8
con/LocallyNameless.UnboundRep/con/5,3.368447902259912e-6,3.365461889642996e-6,3.3722557861698405e-6,1.1416333958834895e-8,8.635013766215272e-9,1.6315004835012397e-8
con/LocallyNameless.UnboundRep/con/6,4.505603800424375e-6,4.502530360042796e-6,4.511401783066365e-6,1.4238417820326581e-8,8.31795679204623e-9,2.6751131160115437e-8
con/LocallyNameless.UnboundRep/con/7,5.8004873308365325e-6,5.787283058169563e-6,5.824806576396467e-6,5.9217765500103005e-8,4.350450886737304e-8,9.166462223729411e-8
con/LocallyNameless.UnboundRep/con/8,7.247531935610443e-6,7.236259606744883e-6,7.272946277725933e-6,5.4823765315777565e-8,3.4713314782315595e-8,9.097010661070954e-8
con/LocallyNameless.UnboundRep/con/9,8.764319660031295e-6,8.753978260683252e-6,8.782171093940454e-6,4.512770325635768e-8,2.2767720441437172e-8,7.08738227294577e-8
con/LocallyNameless.UnboundRep/con/10,1.0342494813155299e-5,1.0324034350149478e-5,1.0365789798968498e-5,6.899434549294908e-8,5.563245726754695e-8,9.142420064838408e-8
con/LocallyNameless.UnboundRep/con/11,1.2428798303072095e-5,1.2409414775303817e-5,1.2450692415413762e-5,6.890499711913758e-8,5.552406557700066e-8,8.634414047016546e-8
con/LocallyNameless.UnboundRep/con/12,1.4448318325420205e-5,1.4431310670792871e-5,1.4474900849877925e-5,7.022434534648207e-8,4.758231574777719e-8,1.094966862230761e-7
