Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UnboundRep/ids/1,2.2138326271868315e-7,2.1981271906031798e-7,2.230815125981522e-7,5.234039881285029e-9,4.453599568478559e-9,6.147294018857801e-9
ids/LocallyNameless.UnboundRep/ids/2,2.2862690259276834e-7,2.2715501928316845e-7,2.303029279884711e-7,5.335124508015698e-9,4.120841584601049e-9,8.521083971589528e-9
ids/LocallyNameless.UnboundRep/ids/3,2.3260116652653558e-7,2.3125285365822267e-7,2.3381859119602112e-7,4.3139777223411525e-9,3.768797894388558e-9,5.0089454271421595e-9
ids/LocallyNameless.UnboundRep/ids/4,2.532090859158899e-7,2.5215565827772217e-7,2.545181400410077e-7,3.783083366751741e-9,3.276495273828449e-9,4.403767018939825e-9
ids/LocallyNameless.UnboundRep/ids/5,2.561925522497934e-7,2.5501904062293135e-7,2.572080330550991e-7,3.734340817369188e-9,3.098408514390785e-9,4.5529884155777514e-9
ids/LocallyNameless.UnboundRep/ids/6,2.623311937807854e-7,2.6118276131655836e-7,2.634601201447851e-7,3.823773143873748e-9,3.1209643774512568e-9,4.825302649572485e-9
ids/LocallyNameless.UnboundRep/ids/7,2.680311198419503e-7,2.6670067060987984e-7,2.697894008824683e-7,4.9349491612639495e-9,4.168630340653414e-9,6.004634034497688e-9
ids/LocallyNameless.UnboundRep/ids/8,2.752882946186549e-7,2.7329156919598083e-7,2.785982337270608e-7,8.754778699474843e-9,5.724147236834389e-9,1.5691387892543907e-8
ids/LocallyNameless.UnboundRep/ids/9,2.771601513840973e-7,2.7590283126032576e-7,2.787211873018692e-7,4.754864841882364e-9,4.0590686987631356e-9,5.532594013979529e-9
ids/LocallyNameless.UnboundRep/ids/10,2.871822152330301e-7,2.8584967483035833e-7,2.8867109914203035e-7,4.683411806783585e-9,3.93466001078082e-9,5.774770499158638e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UnboundRep/ids/1,2.1877030212388495e-7,2.1814812631196566e-7,2.2000674287063958e-7,2.9081652242922523e-9,1.7163172188073174e-9,5.030369754196572e-9
ids/LocallyNameless.UnboundRep/ids/2,2.2448577309078998e-7,2.2425993981454168e-7,2.2522694495972318e-7,1.1842127814866402e-9,5.252595210569623e-10,2.2567105213352205e-9
ids/LocallyNameless.UnboundRep/ids/3,2.326771400312317e-7,2.3247439580386836e-7,2.3297998224236003e-7,8.572353850627598e-10,5.86205447774985e-10,1.2130789287103629e-9
ids/LocallyNameless.UnboundRep/ids/4,2.5193907023361013e-7,2.5165442651997883e-7,2.5235746972775747e-7,1.167039263989151e-9,8.575534967126272e-10,1.5440916001647954e-9
ids/LocallyNameless.UnboundRep/ids/5,2.530448717060633e-7,2.527600512411372e-7,2.533877352328659e-7,1.0705032423897812e-9,8.949156327551653e-10,1.4520150745219541e-9
ids/LocallyNameless.UnboundRep/ids/6,2.612553122979793e-7,2.608367120045505e-7,2.620688659932735e-7,1.945818107791025e-9,1.1138088262129395e-9,3.807054199386119e-9
ids/LocallyNameless.UnboundRep/ids/7,2.689865259606072e-7,2.6769347513797335e-7,2.7426064722125013e-7,6.680135011340387e-9,2.5560708838719345e-9,1.4719800548593722e-8
ids/LocallyNameless.UnboundRep/ids/8,2.735909263630382e-7,2.733530604510712e-7,2.740894270216387e-7,1.1489629644114939e-9,7.578278848428577e-10,1.9280248629637524e-9
ids/LocallyNameless.UnboundRep/ids/9,2.8297597742886223e-7,2.8196651488901305e-7,2.867241418255698e-7,5.807012887778208e-9,6.97038403151469e-10,1.203857233509774e-8
ids/LocallyNameless.UnboundRep/ids/10,2.8946526280601975e-7,2.8927085591051185e-7,2.897264750437396e-7,8.076709129279103e-10,6.25231263678731e-10,1.0670995107211289e-9
